judet ,TOTAL ,Sub 25 ani,25 - 29 ani,30 - 39 ani,40 - 49 ani,50 - 55 ani,peste 55 ani
ALBA,4788,507,282,920,1265,903,911
ARAD,3740,605,112,474,955,810,784
ARGES,8441,732,423,1496,2362,1902,1526
BACAU,11916,1421,551,1813,3065,2333,2733
BIHOR,4288,454,229,771,1193,744,897
BISTRITA NASAUD,4075,790,204,555,946,841,739
BOTOSANI,3157,481,99,354,759,612,852
BRAILA,3987,367,161,596,1088,787,988
BRASOV,6504,1501,309,1157,1393,1055,1089
BUZAU,9497,954,336,1356,2574,2092,2185
CALARASI,3052,296,132,626,819,559,620
CARAS-SEVERIN,3189,453,123,450,813,680,670
CLUJ,5026,587,250,917,1251,1114,907
CONSTANTA,5316,881,199,832,1210,989,1205
COVASNA,3612,752,254,747,871,510,478
DAMBOVITA,5661,736,319,784,1366,1264,1192
DOLJ,15571,1396,705,2495,4417,3299,3259
GALATI,10915,1373,353,1407,3045,2121,2616
GIURGIU,2165,464,81,287,454,434,445
GORJ,4218,631,137,540,1034,1010,866
HARGHITA,4956,1026,247,974,1193,800,716
HUNEDOARA,6700,727,386,998,1858,1668,1063
IALOMITA,4091,578,145,525,1035,786,1022
IASI,8759,730,207,1180,2506,1893,2243
ILFOV,1211,122,39,196,369,271,214
MARAMURES,4614,1327,246,718,996,757,570
MEHEDINTI,6006,511,194,873,1626,1411,1391
MUNICIPIUL BUCURESTI,14602,296,1334,3371,4083,3120,2398
MURES,5897,1242,320,1110,1510,821,894
NEAMT,7024,855,272,971,1859,1490,1577
OLT,8289,1126,303,1048,2128,1806,1878
PRAHOVA,7024,937,231,1070,1836,1662,1288
SALAJ,4835,877,282,1002,1172,789,713
SATU-MARE,4483,641,269,984,1293,681,615
SIBIU,3843,541,193,729,1043,598,739
SUCEAVA,10271,2101,593,1804,2484,1519,1770
TELEORMAN,8632,1117,472,1386,2080,1823,1754
TIMIS,3255,738,116,440,738,629,594
TULCEA,2546,374,107,319,672,647,427
VALCEA,4964,815,173,677,1220,1120,959
VASLUI ,9179,555,237,1218,2878,1974,2317
VRANCEA,5781,880,267,887,1411,1179,1157
TOTAL,256080,33497,11892,41057,66870,51503,51261
