JUDET  ,"Total someri, din care: ",fara studii,invatamant primar ,invatamant gimnazial ,invatamant liceal,invatamant posticeal,invatamant profesional/arte si meserii,invatamant universitar
ALBA ,4788,437,729,1451,1137,52,675,307
ARAD,3740,611,526,855,1027,43,404,274
ARGES,8441,537,1852,2462,1627,100,1441,422
BACAU,11916,574,2841,4118,2836,73,1181,293
BIHOR,4288,344,818,1079,985,74,539,449
BISTRITA,4075,196,481,1120,1261,57,702,258
BOTOSANI,3157,159,862,784,732,35,478,107
BRAILA,3987,707,952,1284,420,63,412,149
BRASOV,6504,963,1493,1427,1589,60,550,422
BUZAU,9497,1003,2264,3173,1448,62,1417,130
CALARASI,3052,354,784,1029,440,25,364,56
CARAS,3189,429,453,710,958,55,405,179
CLUJ,5026,596,752,1160,1012,111,826,569
CONSTANTA,5316,783,881,1119,1528,53,608,344
COVASNA,3612,467,1434,721,571,33,273,113
DAMBOVITA,5661,440,1160,1830,1183,33,776,239
DOLJ,15571,755,4968,4462,3294,147,1570,375
GALATI,10915,1233,2299,4018,1629,70,1308,358
GIURGIU,2165,236,432,727,546,10,149,65
GORJ,4218,0,438,1289,1330,53,815,293
HARGHITA,4956,809,1528,896,1027,43,482,171
HUNEDOARA,6700,301,668,1471,1959,280,1284,737
IALOMITA,4091,335,937,1342,790,33,583,71
IASI,8759,597,1818,2885,777,63,2209,410
ILFOV,1211,97,300,189,330,10,134,151
MARAMURES,4614,131,1012,814,1608,92,617,340
MEHEDINTI,6006,625,1062,2229,1189,85,711,105
MUN. BUC.,14602,21,140,2535,5197,449,2660,3600
MURES,5897,750,1854,1213,1058,49,699,274
NEAMT,7024,601,1054,2301,1499,64,1244,261
OLT,8289,675,1036,3008,1852,147,1409,162
PRAHOVA,7024,552,1064,1792,1645,127,1320,524
SALAJ,4835,425,1550,1245,798,38,561,218
SATU M.,4483,598,1798,1303,369,22,299,94
SIBIU,3843,378,997,804,789,67,531,277
SUCEAVA,10271,1076,1959,2979,2164,94,1660,339
TELEORMAN,8632,324,1862,3745,1500,66,985,150
TIMIS,3255,330,219,531,1212,46,461,456
TULCEA,2546,0,650,702,769,0,342,83
VALCEA,4964,169,496,1367,1597,83,928,324
VASLUI,9179,375,2157,3689,1456,46,1340,116
VRANCEA,5781,361,1584,1910,1134,75,605,112
Total general,256080,20354,52164,73768,56272,3188,35957,14377
