JUDET, Numar total someri , Numar total someri femei  , Numar total someri barbati  , Numar  someri indemnizati  , Numar someri neindemnizati ,  Rata somajului (%)  ,  Rata somajului Feminina (%)  ,  Rata somajului Masculina (%)  ,
ALBA ," 4,757     "," 2,303     "," 2,454     "," 1,148     "," 3,609     ", 2.81     , 2.95     , 2.70     ,
ARAD," 2,378     "," 1,268     "," 1,110     ", 779     ," 1,599     ", 1.13     , 1.31     , 0.98     ,
ARGES," 7,934     "," 3,888     "," 4,046     "," 1,730     "," 6,204     ", 3.10     , 3.24     , 2.98     ,
BACAU," 5,862     "," 2,549     "," 3,313     "," 1,262     "," 4,600     ", 2.73     , 2.71     , 2.74     ,
BIHOR," 2,699     "," 1,491     "," 1,208     "," 1,015     "," 1,684     ", 1.02     , 1.25     , 0.83     ,
BISTRITA NASAUD," 3,934     "," 1,978     "," 1,956     "," 1,409     "," 2,525     ", 3.04     , 3.50     , 2.68     ,
BOTOSANI," 3,361     "," 1,623     "," 1,738     ", 651     ," 2,710     ", 2.46     , 2.53     , 2.39     ,
BRAILA," 3,392     "," 1,465     "," 1,927     ", 340     ," 3,052     ", 2.78     , 2.69     , 2.85     ,
BRASOV," 5,186     "," 2,553     "," 2,633     ", 706     ," 4,480     ", 1.98     , 2.29     , 1.76     ,
BUZAU," 7,446     "," 3,221     "," 4,225     ", 897     ," 6,549     ", 4.35     , 4.09     , 4.57     ,
CALARASI," 3,328     "," 1,719     "," 1,609     ", 724     ," 2,604     ", 3.69     , 3.96     , 3.43     ,
CARA?-SEVERIN," 2,337     "," 1,102     "," 1,235     ", 935     ," 1,402     ", 2.21     , 2.40     , 2.06     ,
CLUJ," 4,069     "," 2,103     "," 1,966     ", 951     ," 3,118     ", 1.09     , 1.28     , 0.93     ,
CONSTANTA," 4,726     "," 2,610     "," 2,116     ", 912     ," 3,814     ", 1.60     , 2.04     , 1.26     ,
COVASNA," 3,564     "," 1,728     "," 1,836     ", 356     ," 3,208     ", 4.18     , 4.35     , 4.04     ,
DAMBOVITA," 4,729     "," 2,364     "," 2,365     ", 899     ," 3,830     ", 2.44     , 2.97     , 2.08     ,
DOLJ," 15,072     "," 6,517     "," 8,555     "," 1,476     "," 13,596     ", 5.64     , 5.41     , 5.84     ,
GALATI," 10,872     "," 4,962     "," 5,910     ", 942     ," 9,930     ", 5.78     , 5.87     , 5.72     ,
GIURGIU," 2,066     "," 1,138     ", 928     , 318     ," 1,748     ", 2.56     , 3.08     , 2.12     ,
GORJ," 4,030     "," 2,017     "," 2,013     ", 998     ," 3,032     ", 2.97     , 3.23     , 2.76     ,
HARGHITA," 4,605     "," 2,199     "," 2,406     ", 875     ," 3,730     ", 3.39     , 3.73     , 3.12     ,
HUNEDOARA," 5,795     "," 3,204     "," 2,591     "," 1,840     "," 3,955     ", 3.39     , 4.04     , 2.83     ,
IALOMITA," 3,296     "," 1,544     "," 1,752     ", 475     ," 2,821     ", 3.54     , 3.62     , 3.46     ,
IASI," 8,200     "," 3,675     "," 4,525     ", 764     ," 7,436     ", 2.75     , 2.70     , 2.79     ,
ILFOV, 895     , 503     , 392     , 258     , 637     , 0.42     , 0.57     , 0.32     ,
MARAMURES," 3,273     "," 1,677     "," 1,596     "," 1,031     "," 2,242     ", 1.64     , 1.84     , 1.47     ,
MEHEDINTI," 5,149     "," 2,191     "," 2,958     ", 708     ," 4,441     ", 5.10     , 4.65     , 5.49     ,
MUN. BUC.," 13,270     "," 6,926     "," 6,344     "," 1,206     "," 12,064     ", 1.08     , 1.13     , 1.03     ,
MURES," 5,852     "," 2,739     "," 3,113     ", 888     ," 4,964     ", 2.49     , 2.71     , 2.32     ,
