JUDET, Numar total someri , Numar total someri femei  , Numar total someri barbati  , Numar  someri indemnizati  , Numar someri neindemnizati ,  Rata somajului (%)  ,  Rata somajului Feminina (%)  ,  Rata somajului Masculina (%)  ,
ALBA ," 6,391     "," 3,118     "," 3,273     "," 2,814     "," 3,577     ", 3.79     , 4.01     , 3.60     ,
ARAD," 4,675     "," 2,706     "," 1,969     "," 2,697     "," 1,978     ", 2.21     , 2.91     , 1.66     ,
ARGES," 9,382     "," 4,823     "," 4,559     "," 4,163     "," 5,219     ", 3.62     , 3.99     , 3.30     ,
BACAU," 11,121     "," 4,825     "," 6,296     "," 2,854     "," 8,267     ", 5.22     , 5.16     , 5.26     ,
BIHOR," 5,524     "," 3,246     "," 2,278     "," 3,183     "," 2,341     ", 2.09     , 2.67     , 1.60     ,
BISTRITA NASAUD," 4,131     "," 2,295     "," 1,836     "," 2,231     "," 1,900     ", 3.21     , 3.95     , 2.61     ,
BOTOSANI," 3,917     "," 1,965     "," 1,952     "," 1,172     "," 2,745     ", 2.85     , 3.00     , 2.71     ,
BRAILA," 4,906     "," 2,100     "," 2,806     ", 929     ," 3,977     ", 4.01     , 3.80     , 4.19     ,
BRASOV," 6,704     "," 3,197     "," 3,507     "," 2,170     "," 4,534     ", 2.55     , 2.84     , 2.34     ,
BUZAU," 11,824     "," 5,018     "," 6,806     "," 2,200     "," 9,624     ", 6.89     , 6.27     , 7.42     ,
CALARASI," 3,730     "," 1,944     "," 1,786     ", 900     ," 2,830     ", 4.09     , 4.41     , 3.78     ,
CARA?-SEVERIN," 3,602     "," 1,704     "," 1,898     "," 1,588     "," 2,014     ", 3.38     , 3.62     , 3.20     ,
CLUJ," 6,308     "," 3,557     "," 2,751     "," 2,992     "," 3,316     ", 1.69     , 2.16     , 1.32     ,
CONSTANTA," 7,870     "," 4,552     "," 3,318     "," 2,926     "," 4,944     ", 2.67     , 3.55     , 1.99     ,
COVASNA," 4,373     "," 2,233     "," 2,140     "," 1,275     "," 3,098     ", 5.10     , 5.46     , 4.77     ,
DAMBOVITA," 6,257     "," 3,066     "," 3,191     "," 1,691     "," 4,566     ", 3.25     , 3.73     , 2.89     ,
DOLJ," 17,456     "," 7,675     "," 9,781     "," 3,176     "," 14,280     ", 6.56     , 6.34     , 6.74     ,
GALATI," 11,677     "," 5,189     "," 6,488     "," 2,152     "," 9,525     ", 6.15     , 6.05     , 6.23     ,
GIURGIU," 2,097     "," 1,140     ", 957     , 740     ," 1,357     ", 2.61     , 3.07     , 2.21     ,
