judet ,TOTAL ,Sub 25 ani,25 - 29 ani,30 - 39 ani,40 - 49 ani,50 - 55 ani,peste 55 ani
ALBA,6391,973,378,1208,1687,1144,1001
ARAD,4675,1091,234,680,1139,848,683
ARGES,9382,944,543,1727,2591,2002,1575
BACAU,11121,1676,777,1644,2561,2039,2424
BIHOR,5524,741,349,1102,1543,1019,770
BISTRITA NASAUD,4131,695,250,710,1007,749,720
BOTOSANI,3917,646,125,529,1001,721,895
BRAILA,4906,591,232,781,1381,833,1088
BRASOV,6704,1087,405,1371,1633,1133,1075
BUZAU,11824,1321,486,1915,3246,2329,2527
CALARASI,3730,525,140,722,947,694,702
CARAS-SEVERIN,3602,583,195,556,922,669,677
CLUJ,6308,482,330,1339,1789,1470,898
CONSTANTA,7870,1780,321,1216,1779,1385,1389
COVASNA,4373,957,299,877,1084,594,562
DAMBOVITA,6257,952,344,1025,1529,1172,1235
DOLJ,17456,1858,882,2934,4900,3472,3410
GALATI,11677,1621,415,1623,3280,2375,2363
GIURGIU,2097,426,68,305,463,411,424
GORJ,5159,722,268,794,1355,972,1048
HARGHITA,6108,1189,344,1270,1540,954,811
HUNEDOARA,5963,812,332,954,1670,1386,809
IALOMITA,4073,581,169,612,1100,764,847
IASI,9026,895,241,1283,2552,1839,2216
ILFOV,1423,373,120,236,296,213,185
MARAMURES,5042,1807,337,715,973,718,492
MEHEDINTI,6227,604,338,1286,2029,909,1061
MUNICIPIUL BUCURESTI,15317,390,1417,3643,4434,3053,2380
MURES,5999,1192,387,1156,1459,987,818
NEAMT,7869,1165,331,1243,2071,1505,1554
OLT,9332,1300,314,1286,2508,1967,1957
PRAHOVA,8935,1189,375,1540,2447,2023,1361
SALAJ,5253,935,318,1073,1314,891,722
SATU-MARE,5280,793,357,1194,1470,665,801
SIBIU,5207,669,302,1006,1384,997,849
SUCEAVA,12034,2917,650,2014,2858,1734,1861
TELEORMAN,8381,1119,444,1423,2226,1588,1581
TIMIS,4055,586,245,738,1027,782,677
TULCEA,2597,505,130,374,680,534,374
VALCEA,5909,1103,252,843,1522,1241,948
VASLUI ,9011,852,303,1331,2803,1954,1768
VRANCEA,5586,825,256,870,1393,1124,1118
TOTAL,285731,41472,15003,49148,75593,53859,50656
