JUDET ,NUMAR TOTAL SOMERI ,NUMAR TOTAL SOMERI FEMEI  ,NUMAR TOTAL SOMERI BARBATI ,NUMAR TOTAL SOMERI DIN MEDIUL URBAN ,NUMAR SOMERI FEMEI DIN MEDIUL URBAN ,NUMAR SOMERI BARBATI DIN MEDIUL URBAN ,NUMAR TOTAL SOMERI DIN MEDIUL RURAL ,NUMAR SOMERI FEMEI DIN MEDIUL RURAL ,NUMAR SOMERI BARBATI DIN MEDIUL RURAL ,
 ALBA,6391,3118,3273,2515,1362,1153,3876,1756,2120,
 ARAD,4675,2706,1969,2233,1317,916,2442,1389,1053,
 ARGES,9382,4823,4559,2383,1495,888,6999,3328,3671,
 BACAU,11121,4825,6296,2957,1279,1678,8164,3546,4618,
 BIHOR,5524,3246,2278,1904,1199,705,3620,2047,1573,
 BISTRITA-NASAUD,4131,2295,1836,1505,890,615,2626,1405,1221,
 BOTOSANI,3917,1965,1952,1473,826,647,2444,1139,1305,
 BRAILA,4906,2100,2806,1349,754,595,3557,1346,2211,
 BRASOV,6704,3197,3507,2798,1512,1286,3906,1685,2221,
 BUZAU,11824,5018,6806,2441,1268,1173,9383,3750,5633,
 CALARASI,3730,1944,1786,1085,598,487,2645,1346,1299,
 CARAS-SEVERIN,3602,1704,1898,1585,779,806,2017,925,1092,
 CLUJ,6308,3557,2751,3143,1957,1186,3165,1600,1565,
 CONSTANTA,7870,4552,3318,4187,2651,1536,3683,1901,1782,
 COVASNA,4373,2233,2140,1513,841,672,2860,1392,1468,
 DAMBOVITA,6257,3066,3191,1151,643,508,5106,2423,2683,
 DOLJ,17456,7675,9781,3231,1868,1363,14225,5807,8418,
 GALATI,11677,5189,6488,2673,1501,1172,9004,3688,5316,
 GIURGIU,2097,1140,957,531,324,207,1566,816,750,
 GORJ,5159,2463,2696,1640,951,689,3519,1512,2007,
 HARGHITA,6108,3141,2967,1991,1148,843,4117,1993,2124,
 HUNEDOARA,5963,3365,2598,4180,2456,1724,1783,909,874,
 IALOMITA,4073,1897,2176,1412,738,674,2661,1159,1502,
 IASI,9026,4215,4811,1874,1038,836,7152,3177,3975,
 ILFOV,1423,876,547,357,228,129,1066,648,418,
 MARAMURES,5042,2510,2532,2939,1452,1487,2103,1058,1045,
 MEHEDINTI,6227,2831,3396,1790,967,823,4437,1864,2573,
 MURES,5999,2959,3040,1864,1041,823,4135,1918,2217,
 NEAMT,7869,3809,4060,1684,1000,684,6185,2809,3376,
 OLT,9332,4371,4961,2328,1447,881,7004,2924,4080,
 PRAHOVA,8935,4778,4157,3442,1990,1452,5493,2788,2705,
 SALAJ,5253,2521,2732,1317,787,530,3936,1734,2202,
 SATU MARE,5280,2471,2809,1155,599,556,4125,1872,2253,
 SIBIU,5207,2626,2581,2215,1232,983,2992,1394,1598,
 SUCEAVA,12034,5815,6219,3801,2019,1782,8233,3796,4437,
 TELEORMAN,8381,3807,4574,1946,1072,874,6435,2735,3700,
 TIMIS,4055,2316,1739,2121,1261,860,1934,1055,879,
 TULCEA,2597,1333,1264,849,507,342,1748,826,922,
 VALCEA,5909,2996,2913,2297,1289,1008,3612,1707,1905,
 VASLUI,9011,3988,5023,1716,990,726,7295,2998,4297,
 VRANCEA,5586,2503,3083,1229,636,593,4357,1867,2490,
BUCURESTI,15317,8220,7097,15317,8220,7097,0,0,0,
Total TARA ,285731,140164,145567,100121,56132,43989,185610,84032,101578,
