JUDET  ,"Total someri, din care: ",fara studii,invatamant primar ,invatamant gimnazial ,invatamant liceal,invatamant posticeal,invatamant profesional/arte si meserii,invatamant universitar
ALBA ,5275,330,840,1839,1247,48,769,202
ARAD,2261,469,267,647,406,27,270,175
ARGES,7926,421,2054,2748,1131,81,1237,254
BACAU,5026,306,824,1965,838,51,855,187
BIHOR,2810,233,603,713,564,54,385,258
BISTRITA,3539,317,513,1166,749,41,596,157
BOTOSANI,3211,139,608,1398,497,29,457,83
BRAILA,3311,449,797,1275,289,37,369,95
BRASOV,5990,807,1727,2023,707,30,468,228
BUZAU,7441,807,1820,2739,834,33,1112,96
CALARASI,3635,507,1030,1240,469,37,294,58
CARAS,2110,276,348,565,502,30,271,118
CLUJ,4022,685,740,1037,597,91,582,290
CONSTANTA,4775,741,917,1248,1112,34,466,257
COVASNA,3013,432,1130,752,410,19,227,43
DAMBOVITA,4898,385,1041,1769,960,46,554,143
DOLJ,15730,963,4718,5340,2595,104,1707,303
GALATI,9729,1175,2083,3936,1130,68,1126,211
GIURGIU,2068,275,368,870,389,10,119,37
GORJ,3884,0,464,1181,1097,58,861,223
HARGHITA,4641,804,1505,1082,645,62,422,121
HUNEDOARA,6086,473,764,1612,1657,144,978,458
IALOMITA,3881,386,861,1544,490,12,549,39
IASI,8142,488,1710,2715,861,69,1897,402
ILFOV,956,136,287,248,135,7,77,66
MARAMURES,4201,137,815,1173,895,89,674,418
MEHEDINTI,5727,706,965,2258,1051,43,605,99
MUN. BUC.,12244,22,67,2158,4298,385,2124,3190
MURES,5695,826,1973,1609,586,36,540,125
NEAMT,6570,548,1139,2362,892,53,1402,174
OLT,7085,611,651,2876,1440,68,1324,115
PRAHOVA,5829,450,1069,1691,1101,70,1128,320
SALAJ,4572,547,1468,1339,527,43,506,142
SATU MARE,4450,757,1845,1304,226,12,251,55
SIBIU,4659,368,1552,1172,535,40,608,384
SUCEAVA,10288,996,2412,3715,1238,104,1535,288
TELEORMAN,8491,772,1541,3909,1195,41,924,109
TIMIS,1974,291,246,406,447,33,263,288
TULCEA,2653,0,274,1211,626,0,414,128
VALCEA,4219,153,545,1275,1089,62,863,232
VASLUI,8540,401,2026,3943,912,36,1158,64
VRANCEA,4385,315,1393,1687,498,39,396,57
Total general,225942,19904,48000,75740,37867,2376,31363,10692
