JUDET ,NUMAR TOTAL SOMERI ,NUMAR TOTAL SOMERI FEMEI  ,NUMAR TOTAL SOMERI BARBATI ,NUMAR TOTAL SOMERI DIN MEDIUL URBAN ,NUMAR SOMERI FEMEI DIN MEDIUL URBAN ,NUMAR SOMERI BARBATI DIN MEDIUL URBAN ,NUMAR TOTAL SOMERI DIN MEDIUL RURAL ,NUMAR SOMERI FEMEI DIN MEDIUL RURAL ,NUMAR SOMERI BARBATI DIN MEDIUL RURAL ,
 ALBA,5275,2607,2668,1584,885,699,3691,1722,1969,
 ARAD,2261,1270,991,823,509,314,1438,761,677,
 ARGES,7926,3762,4164,1129,653,476,6797,3109,3688,
 BACAU,5026,2160,2866,1749,831,918,3277,1329,1948,
 BIHOR,2810,1526,1284,794,482,312,2016,1044,972,
 BISTRITA-NASAUD,3539,1802,1737,1055,642,413,2484,1160,1324,
 BOTOSANI,3211,1534,1677,1030,527,503,2181,1007,1174,
 BRAILA,3311,1493,1818,743,386,357,2568,1107,1461,
 BRASOV,5990,3001,2989,1658,926,732,4332,2075,2257,
 BUZAU,7441,3181,4260,1154,603,551,6287,2578,3709,
 CALARASI,3635,1730,1905,901,403,498,2734,1327,1407,
 CARAS-SEVERIN,2110,989,1121,798,399,399,1312,590,722,
 CLUJ,4022,1983,2039,1549,932,617,2473,1051,1422,
 CONSTANTA,4775,2849,1926,1891,1261,630,2884,1588,1296,
 COVASNA,3013,1422,1591,754,391,363,2259,1031,1228,
 DAMBOVITA,4898,2707,2191,853,522,331,4045,2185,1860,
 DOLJ,15730,6922,8808,2145,1203,942,13585,5719,7866,
 GALATI,9729,4421,5308,1526,894,632,8203,3527,4676,
 GIURGIU,2068,1116,952,368,237,131,1700,879,821,
 GORJ,3884,2078,1806,1091,654,437,2793,1424,1369,
 HARGHITA,4641,2118,2523,1281,645,636,3360,1473,1887,
 HUNEDOARA,6086,3189,2897,3950,2074,1876,2136,1115,1021,
 IALOMITA,3881,1989,1892,1042,569,473,2839,1420,1419,
 IASI,8142,3741,4401,1423,820,603,6719,2921,3798,
 ILFOV,956,540,416,152,100,52,804,440,364,
 MARAMURES,4201,2231,1970,2204,1252,952,1997,979,1018,
 MEHEDINTI,5727,2525,3202,944,515,429,4783,2010,2773,
 MURES,5695,2671,3024,1498,798,700,4197,1873,2324,
 NEAMT,6570,2799,3771,1061,565,496,5509,2234,3275,
 OLT,7085,3268,3817,1356,735,621,5729,2533,3196,
 PRAHOVA,5829,2996,2833,1756,1054,702,4073,1942,2131,
 SALAJ,4572,2024,2548,789,451,338,3783,1573,2210,
 SATU MARE,4450,1982,2468,768,376,392,3682,1606,2076,
 SIBIU,4659,2414,2245,1507,860,647,3152,1554,1598,
 SUCEAVA,10288,4489,5799,2654,1275,1379,7634,3214,4420,
 TELEORMAN,8491,3580,4911,1693,838,855,6798,2742,4056,
 TIMIS,1974,997,977,902,495,407,1072,502,570,
 TULCEA,2653,1320,1333,740,414,326,1913,906,1007,
 VALCEA,4219,2051,2168,1214,668,546,3005,1383,1622,
 VASLUI,8540,3522,5018,976,505,471,7564,3017,4547,
 VRANCEA,4385,1898,2487,664,332,332,3721,1566,2155,
BUCURESTI,12244,7021,5223,12244,7021,5223,0,0,0,
Total TARA ,225942,107918,118024,64413,35702,28711,161529,72216,89313,
