JUDET, Numar total someri , Numar total someri femei  , Numar total someri barbati  , Numar  someri indemnizati  , Numar someri neindemnizati ,  Rata somajului (%)  ,  Rata somajului Feminina (%)  ,  Rata somajului Masculina (%)  ,
ALBA ," 5,275     "," 2,607     "," 2,668     "," 1,293     "," 3,982     ", 3.50     , 3.76     , 3.28     ,
ARAD," 2,261     "," 1,270     ", 991     , 928     ," 1,333     ", 1.19     , 1.54     , 0.92     ,
ARGES," 7,926     "," 3,762     "," 4,164     "," 1,617     "," 6,309     ", 3.49     , 3.65     , 3.37     ,
BACAU," 5,026     "," 2,160     "," 2,866     "," 1,190     "," 3,836     ", 2.71     , 2.74     , 2.68     ,
BIHOR," 2,810     "," 1,526     "," 1,284     "," 1,089     "," 1,721     ", 1.20     , 1.47     , 0.99     ,
BISTRITA NASAUD," 3,539     "," 1,802     "," 1,737     "," 1,307     "," 2,232     ", 3.15     , 3.70     , 2.73     ,
BOTOSANI," 3,211     "," 1,534     "," 1,677     ", 508     ," 2,703     ", 2.98     , 3.10     , 2.88     ,
BRAILA," 3,311     "," 1,493     "," 1,818     ", 305     ," 3,006     ", 3.08     , 3.10     , 3.06     ,
BRASOV," 5,990     "," 3,001     "," 2,989     ", 637     ," 5,353     ", 2.38     , 2.74     , 2.10     ,
BUZAU," 7,441     "," 3,181     "," 4,260     ", 791     ," 6,650     ", 5.24     , 5.03     , 5.41     ,
CALARASI," 3,635     "," 1,730     "," 1,905     ", 345     ," 3,290     ", 4.96     , 5.29     , 4.69     ,
CARA?-SEVERIN," 2,110     ", 989     ," 1,121     ", 668     ," 1,442     ", 2.33     , 2.64     , 2.11     ,
CLUJ," 4,022     "," 1,983     "," 2,039     ", 924     ," 3,098     ", 1.15     , 1.29     , 1.04     ,
CONSTANTA," 4,775     "," 2,849     "," 1,926     "," 1,225     "," 3,550     ", 1.75     , 2.48     , 1.22     ,
COVASNA," 3,013     "," 1,422     "," 1,591     ", 352     ," 2,661     ", 3.87     , 4.17     , 3.64     ,
DAMBOVITA," 4,898     "," 2,707     "," 2,191     ", 990     ," 3,908     ", 2.98     , 4.16     , 2.21     ,
DOLJ," 15,730     "," 6,922     "," 8,808     "," 1,422     "," 14,308     ", 6.99     , 7.03     , 6.96     ,
GALATI," 9,729     "," 4,421     "," 5,308     ", 816     ," 8,913     ", 5.87     , 6.06     , 5.71     ,
GIURGIU," 2,068     "," 1,116     ", 952     , 259     ," 1,809     ", 3.21     , 3.94     , 2.63     ,
GORJ," 3,884     "," 2,078     "," 1,806     ", 893     ," 2,991     ", 3.25     , 3.79     , 2.80     ,
HARGHITA," 4,641     "," 2,118     "," 2,523     ", 889     ," 3,752     ", 3.92     , 4.26     , 3.67     ,
HUNEDOARA," 6,086     "," 3,189     "," 2,897     "," 2,090     "," 3,996     ", 3.91     , 4.59     , 3.36     ,
IALOMITA," 3,881     "," 1,989     "," 1,892     ", 550     ," 3,331     ", 4.98     , 5.75     , 4.36     ,
IASI," 8,142     "," 3,741     "," 4,401     ", 714     ," 7,428     ", 3.04     , 3.05     , 3.02     ,
ILFOV, 956     , 540     , 416     , 257     , 699     , 0.46     , 0.66     , 0.33     ,
MARAMURES," 4,201     "," 2,231     "," 1,970     "," 1,082     "," 3,119     ", 2.39     , 2.82     , 2.04     ,
