JUDET, Numar total someri , Numar total someri femei  , Numar total someri barbati  , Numar  someri indemnizati  , Numar someri neindemnizati ,  Rata somajului (%)  ,  Rata somajului Feminina (%)  ,  Rata somajului Masculina (%)  ,
ALBA ," 5,601     "," 2,803     "," 2,798     "," 1,486     "," 4,115     ", 3.55     , 3.94     , 3.23     ,
ARAD," 2,285     "," 1,244     "," 1,041     ", 818     ," 1,467     ", 1.18     , 1.50     , 0.94     ,
ARGES," 8,283     "," 4,061     "," 4,222     "," 1,723     "," 6,560     ", 3.55     , 3.75     , 3.37     ,
BACAU," 4,555     "," 2,049     "," 2,506     "," 1,253     "," 3,302     ", 2.40     , 2.54     , 2.30     ,
BIHOR," 3,108     "," 1,730     "," 1,378     "," 1,359     "," 1,749     ", 1.31     , 1.66     , 1.03     ,
BISTRITA NASAUD," 3,627     "," 1,891     "," 1,736     "," 1,217     "," 2,410     ", 3.13     , 3.84     , 2.61     ,
BOTOSANI," 3,314     "," 1,625     "," 1,689     ", 602     ," 2,712     ", 2.97     , 3.19     , 2.79     ,
BRAILA," 3,428     "," 1,505     "," 1,923     ", 427     ," 3,001     ", 3.11     , 2.97     , 3.23     ,
BRASOV," 6,344     "," 3,212     "," 3,132     ", 699     ," 5,645     ", 2.44     , 2.82     , 2.15     ,
BUZAU," 7,619     "," 3,250     "," 4,369     "," 1,017     "," 6,602     ", 5.24     , 5.18     , 5.29     ,
CALARASI," 3,889     "," 1,864     "," 2,025     ", 516     ," 3,373     ", 5.10     , 5.40     , 4.84     ,
CARA?-SEVERIN," 2,269     "," 1,048     "," 1,221     ", 803     ," 1,466     ", 2.43     , 2.64     , 2.28     ,
CLUJ," 4,201     "," 2,211     "," 1,990     "," 1,106     "," 3,095     ", 1.16     , 1.38     , 0.99     ,
CONSTANTA," 5,473     "," 3,400     "," 2,073     "," 1,741     "," 3,732     ", 1.96     , 2.82     , 1.30     ,
COVASNA," 4,278     "," 2,160     "," 2,118     ", 468     ," 3,810     ", 5.33     , 6.02     , 4.77     ,
DAMBOVITA," 5,039     "," 2,679     "," 2,360     "," 1,024     "," 4,015     ", 2.96     , 3.84     , 2.35     ,
DOLJ," 16,378     "," 7,239     "," 9,139     "," 1,357     "," 15,021     ", 7.10     , 7.13     , 7.07     ,
GALATI," 8,248     "," 3,692     "," 4,556     ", 980     ," 7,268     ", 4.90     , 4.87     , 4.93     ,
GIURGIU," 2,238     "," 1,198     "," 1,040     ", 292     ," 1,946     ", 3.36     , 4.12     , 2.77     ,
GORJ," 3,699     "," 1,854     "," 1,845     ", 900     ," 2,799     ", 3.02     , 3.35     , 2.76     ,
HARGHITA," 4,746     "," 2,185     "," 2,561     ", 923     ," 3,823     ", 3.85     , 4.20     , 3.60     ,
HUNEDOARA," 6,829     "," 3,697     "," 3,132     "," 2,030     "," 4,799     ", 4.38     , 5.08     , 3.77     ,
IALOMITA," 3,725     "," 1,852     "," 1,873     ", 550     ," 3,175     ", 4.69     , 5.22     , 4.26     ,
IASI," 8,486     "," 3,880     "," 4,606     ", 765     ," 7,721     ", 3.08     , 3.08     , 3.07     ,
ILFOV, 973     , 576     , 397     , 322     , 651     , 0.46     , 0.66     , 0.31     ,
MARAMURES," 4,179     "," 2,219     "," 1,960     "," 1,275     "," 2,904     ", 2.34     , 2.80     , 1.97     ,
MEHEDINTI," 5,709     "," 2,536     "," 3,173     ", 762     ," 4,947     ", 6.69     , 6.60     , 6.77     ,
MUN. BUC.," 11,596     "," 6,712     "," 4,884     "," 1,287     "," 10,309     ", 0.92     , 1.06     , 0.78     ,
MURES," 6,242     "," 2,970     "," 3,272     ", 981     ," 5,261     ", 2.93     , 3.31     , 2.65     ,
NEAMT," 6,776     "," 2,993     "," 3,783     "," 1,260     "," 5,516     ", 4.37     , 4.33     , 4.41     ,
OLT," 6,940     "," 3,210     "," 3,730     ", 878     ," 6,062     ", 5.19     , 5.52     , 4.93     ,
PRAHOVA," 6,860     "," 3,604     "," 3,256     "," 1,847     "," 5,013     ", 2.51     , 3.19     , 2.03     ,
SALAJ," 4,540     "," 2,083     "," 2,457     ", 946     ," 3,594     ", 4.90     , 5.25     , 4.64     ,
SATU MARE," 4,634     "," 2,124     "," 2,510     ", 562     ," 4,072     ", 3.54     , 3.58     , 3.52     ,
SIBIU," 5,169     "," 2,692     "," 2,477     ", 832     ," 4,337     ", 2.70     , 3.14     , 2.34     ,
SUCEAVA," 10,181     "," 4,521     "," 5,660     "," 2,415     "," 7,766     ", 5.19     , 5.26     , 5.13     ,
TELEORMAN," 8,581     "," 3,678     "," 4,903     "," 1,054     "," 7,527     ", 7.76     , 7.28     , 8.16     ,
TIMIS," 2,921     "," 1,619     "," 1,302     "," 1,285     "," 1,636     ", 0.87     , 1.10     , 0.69     ,
TULCEA," 2,811     "," 1,483     "," 1,328     ", 559     ," 2,252     ", 3.81     , 4.35     , 3.35     ,
VALCEA," 4,773     "," 2,390     "," 2,383     "," 1,391     "," 3,382     ", 3.33     , 3.82     , 2.96     ,
VASLUI," 8,131     "," 3,391     "," 4,740     ", 710     ," 7,421     ", 7.49     , 6.66     , 8.23     ,
VRANCEA," 4,416     "," 2,006     "," 2,410     ", 640     ," 3,776     ", 3.81     , 3.79     , 3.83     ,
Total ," 233,094     "," 113,136     "," 119,958     "," 43,062     "," 190,032     ", 2.90     , 3.12     , 2.71     ,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
