JUDET  ,"Total someri, din care: ",fara studii,invatamant primar ,invatamant gimnazial ,invatamant liceal,invatamant posticeal,invatamant profesional/arte si meserii,invatamant universitar
ALBA ,5601,355,937,1875,1317,46,839,232
ARAD,2285,491,254,611,487,31,260,151
ARGES,8283,412,2193,2785,1340,84,1194,275
BACAU,4555,284,847,1551,835,44,754,240
BIHOR,3108,275,697,829,627,48,384,248
BISTRITA,3627,256,478,1179,872,61,587,194
BOTOSANI,3314,129,575,1333,599,57,511,110
BRAILA,3428,491,787,1202,414,41,398,95
BRASOV,6344,764,1798,2134,845,40,532,231
BUZAU,7619,808,1867,2695,921,33,1187,108
CALARASI,3889,555,1039,1277,619,30,308,61
CARAS,2269,242,403,573,617,39,272,123
CLUJ,4201,659,744,1072,653,82,622,369
CONSTANTA,5473,740,913,1313,1486,66,694,261
COVASNA,4278,440,1311,882,1103,29,442,71
DAMBOVITA,5039,346,1051,1723,1099,50,623,147
DOLJ,16378,1053,4843,5343,3100,116,1627,296
GALATI,8248,1030,1799,3089,1116,62,945,207
GIURGIU,2238,261,375,827,604,7,133,31
GORJ,3699,0,455,1050,1113,73,809,199
HARGHITA,4746,844,1450,977,838,59,451,127
HUNEDOARA,6829,483,883,1830,1896,125,1093,519
IALOMITA,3725,427,822,1389,482,30,536,39
IASI,8486,439,1742,2784,940,61,2011,509
ILFOV,973,119,252,263,173,8,79,79
MARAMURES,4179,142,938,1179,835,76,646,363
MEHEDINTI,5709,577,1020,2285,1081,50,595,101
MUN. BUC.,11596,20,67,2014,3821,231,2039,3404
MURES,6242,811,1922,1635,999,60,638,177
NEAMT,6776,568,1160,2363,932,52,1487,214
OLT,6940,566,800,2662,1500,88,1201,123
PRAHOVA,6860,430,1061,1942,1539,79,1409,400
SALAJ,4540,526,1410,1263,607,41,567,126
SATU M.,4634,756,1855,1373,285,17,278,70
SIBIU,5169,371,1491,1228,812,42,690,535
SUCEAVA,10181,944,2263,3478,1505,111,1555,325
TELEORMAN,8581,711,1496,3830,1535,40,857,112
TIMIS,2921,321,283,684,717,42,438,436
TULCEA,2811,0,270,1256,701,0,438,146
VALCEA,4773,152,593,1301,1510,58,941,218
VASLUI,8131,360,1890,3743,907,27,1130,74
VRANCEA,4416,293,1272,1646,702,40,391,72
Total general,233094,19451,48306,74468,44084,2376,32591,11818
