judet ,TOTAL ,Sub 25 ani,25 - 29 ani,30 - 39 ani,40 - 49 ani,50 - 55 ani,peste 55 ani
ALBA,5533,678,424,962,1328,1069,1072
ARAD,2623,161,98,427,729,634,574
ARGES,8486,811,534,1535,2166,1658,1782
BACAU,5574,479,245,753,1432,1227,1438
BIHOR,4064,304,269,776,1024,709,982
BISTRITA-NASAUD,4891,563,276,610,1154,941,1347
BOTOSANI,4568,305,200,828,1255,956,1024
BRAILA,3998,378,188,611,1035,688,1098
BRASOV,6531,1007,532,1322,1503,1033,1134
BUZAU,7851,512,311,1047,1978,1955,2048
CALARASI,4068,632,186,808,1041,618,783
CARAS-SEVERIN,2840,240,162,435,719,593,691
CLUJ,4728,458,285,923,1214,884,964
CONSTANTA,5899,583,303,842,1526,1127,1518
COVASNA,3356,614,247,709,809,524,453
DAMBOVITA,4752,640,363,759,1079,924,987
DOLJ,17147,1600,1186,2923,4371,3453,3614
GALATI,8896,680,357,1201,2426,1724,2508
GIURGIU,2252,345,200,333,538,398,438
GORJ,3984,275,182,603,978,943,1003
HARGHITA,5477,867,410,1154,1339,875,832
HUNEDOARA,7527,852,577,1317,1813,1616,1352
IALOMITA,4153,361,212,639,1077,719,1145
IASI,8728,593,334,1357,2449,1511,2484
ILFOV,1003,131,65,150,232,197,228
MARAMURES,4395,734,281,826,1120,796,638
MEHEDINTI,6450,434,299,945,1630,1477,1665
MUNICIPIUL BUCURESTI,10715,235,909,2451,2736,2439,1945
MURES,7301,1259,700,1433,1737,908,1264
NEAMT,6838,499,260,1046,1815,1524,1694
OLT,7415,688,584,988,1866,1642,1647
PRAHOVA,6616,791,324,1129,1665,1397,1310
SALAJ,5144,698,348,1131,1313,840,814
SATU-MARE,5643,757,410,1270,1567,866,773
SIBIU,4789,585,364,1051,1225,679,885
SUCEAVA,11898,1360,795,2366,3082,1766,2529
TELEORMAN,8218,779,483,1326,2044,1710,1876
TIMIS,2790,176,121,499,740,521,733
TULCEA,2588,314,213,422,519,553,567
VALCEA,5123,589,323,681,1167,1255,1108
VASLUI ,9004,364,271,1209,2661,2293,2206
VRANCEA,2845,329,149,473,658,611,625
TOTAL,246701,24660,14980,42270,62760,48253,53778
