JUDET, Numar total someri , Numar total someri femei  , Numar total someri barbati  , Numar  someri indemnizati  , Numar someri neindemnizati ,  Rata somajului (%)  ,  Rata somajului Feminina (%)  ,  Rata somajului Masculina (%)  ,
ALBA ," 5,533     "," 2,698     "," 2,835     "," 1,975     "," 3,558     ", 3.51     , 3.79     , 3.27     ,
ARAD," 2,623     "," 1,352     "," 1,271     ", 981     ," 1,642     ", 1.35     , 1.63     , 1.14     ,
ARGES," 8,486     "," 3,973     "," 4,513     "," 1,901     "," 6,585     ", 3.63     , 3.67     , 3.60     ,
BACAU," 5,574     "," 2,311     "," 3,263     "," 1,588     "," 3,986     ", 2.94     , 2.86     , 2.99     ,
BIHOR," 4,064     "," 2,177     "," 1,887     "," 1,660     "," 2,404     ", 1.71     , 2.08     , 1.41     ,
BISTRITA-NASAUD," 4,891     "," 2,355     "," 2,536     "," 2,290     "," 2,601     ", 4.22     , 4.79     , 3.81     ,
BOTOSANI," 4,568     "," 2,069     "," 2,499     ", 847     ," 3,721     ", 4.09     , 4.06     , 4.12     ,
BRAILA," 3,998     "," 1,681     "," 2,317     ", 710     ," 3,288     ", 3.63     , 3.32     , 3.89     ,
BRASOV," 6,531     "," 3,113     "," 3,418     "," 1,029     "," 5,502     ", 2.52     , 2.73     , 2.35     ,
BUZAU," 7,851     "," 3,287     "," 4,564     "," 1,237     "," 6,614     ", 5.40     , 5.23     , 5.53     ,
CALARASI," 4,068     "," 1,955     "," 2,113     ", 539     ," 3,529     ", 5.33     , 5.67     , 5.06     ,
CARA?-SEVERIN," 2,840     "," 1,323     "," 1,517     "," 1,107     "," 1,733     ", 3.05     , 3.33     , 2.84     ,
CLUJ," 4,728     "," 2,428     "," 2,300     "," 1,415     "," 3,313     ", 1.31     , 1.51     , 1.15     ,
CONSTANTA," 5,899     "," 3,873     "," 2,026     "," 2,804     "," 3,095     ", 2.11     , 3.21     , 1.27     ,
COVASNA," 3,356     "," 1,534     "," 1,822     ", 557     ," 2,799     ", 4.18     , 4.27     , 4.10     ,
DAMBOVITA," 4,752     "," 2,462     "," 2,290     "," 1,101     "," 3,651     ", 2.79     , 3.53     , 2.28     ,
DOLJ," 17,147     "," 7,559     "," 9,588     "," 1,800     "," 15,347     ", 7.43     , 7.44     , 7.42     ,
GALATI," 8,896     "," 3,749     "," 5,147     "," 1,101     "," 7,795     ", 5.29     , 4.95     , 5.56     ,
GIURGIU," 2,252     "," 1,168     "," 1,084     ", 368     ," 1,884     ", 3.38     , 4.01     , 2.89     ,
GORJ," 3,984     "," 2,007     "," 1,977     "," 1,073     "," 2,911     ", 3.26     , 3.62     , 2.96     ,
HARGHITA," 5,477     "," 2,448     "," 3,029     "," 1,270     "," 4,207     ", 4.45     , 4.71     , 4.25     ,
HUNEDOARA," 7,527     "," 4,117     "," 3,410     "," 2,314     "," 5,213     ", 4.83     , 5.66     , 4.11     ,
IALOMITA," 4,153     "," 1,917     "," 2,236     ", 836     ," 3,317     ", 5.22     , 5.40     , 5.08     ,
IASI," 8,728     "," 3,763     "," 4,965     "," 1,126     "," 7,602     ", 3.16     , 2.99     , 3.31     ,
ILFOV," 1,003     ", 613     , 390     , 400     , 603     , 0.47     , 0.70     , 0.31     ,
MARAMURES," 4,395     "," 2,210     "," 2,185     "," 1,438     "," 2,957     ", 2.46     , 2.79     , 2.19     ,
MEHEDINTI," 6,450     "," 2,827     "," 3,623     "," 1,018     "," 5,432     ", 7.56     , 7.36     , 7.72     ,
MUN. BUCURESTI," 10,715     "," 6,206     "," 4,509     "," 1,750     "," 8,965     ", 0.85     , 0.98     , 0.72     ,
MURES," 7,301     "," 3,312     "," 3,989     "," 1,303     "," 5,998     ", 3.42     , 3.69     , 3.23     ,
NEAMT," 6,838     "," 3,026     "," 3,812     "," 1,705     "," 5,133     ", 4.41     , 4.38     , 4.44     ,
OLT," 7,415     "," 3,353     "," 4,062     "," 1,391     "," 6,024     ", 5.55     , 5.77     , 5.37     ,
PRAHOVA," 6,616     "," 3,310     "," 3,306     "," 2,213     "," 4,403     ", 2.42     , 2.93     , 2.06     ,
SALAJ," 5,144     "," 2,254     "," 2,890     "," 1,098     "," 4,046     ", 5.55     , 5.68     , 5.45     ,
SATU-MARE," 5,643     "," 2,578     "," 3,065     ", 763     ," 4,880     ", 4.31     , 4.34     , 4.29     ,
SIBIU," 4,789     "," 2,341     "," 2,448     ", 987     ," 3,802     ", 2.50     , 2.73     , 2.32     ,
SUCEAVA," 11,898     "," 4,966     "," 6,932     "," 3,303     "," 8,595     ", 6.06     , 5.78     , 6.28     ,
TELEORMAN," 8,218     "," 3,474     "," 4,744     "," 1,329     "," 6,889     ", 7.43     , 6.88     , 7.89     ,
TIMIS," 2,790     "," 1,480     "," 1,310     "," 1,592     "," 1,198     ", 0.83     , 1.01     , 0.69     ,
TULCEA," 2,588     "," 1,279     "," 1,309     ", 735     ," 1,853     ", 3.51     , 3.75     , 3.31     ,
VALCEA," 5,123     "," 2,705     "," 2,418     "," 2,221     "," 2,902     ", 3.58     , 4.32     , 3.00     ,
VASLUI," 9,004     "," 3,743     "," 5,261     "," 1,210     "," 7,794     ", 8.30     , 7.35     , 9.13     ,
VRANCEA," 2,845     "," 1,350     "," 1,495     ", 619     ," 2,226     ", 2.45     , 2.55     , 2.37     ,
Total ," 246,701     "," 116,346     "," 130,355     "," 56,704     "," 189,997     ", 3.06     , 3.21     , 2.94     ,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
