JUDET  ,"Total someri, din care: ",fara studii,invatamant primar ,invatamant gimnazial ,invatamant liceal,invatamant posticeal,invatamant profesional/arte si meserii,invatamant universitar
ALBA ,5533,363,906,1767,1164,52,919,362
ARAD,2623,637,341,765,394,33,281,172
ARGES,8486,425,2290,2916,1133,93,1331,298
BACAU,5574,312,900,2168,836,57,1065,236
BIHOR,4064,435,1068,1074,639,60,442,346
BISTRITA-NASAUD,4891,281,592,1751,1136,61,844,226
BOTOSANI,4568,165,884,2013,596,59,758,93
BRAILA,3998,541,927,1523,348,53,478,128
BRASOV,6531,681,1627,2720,648,48,495,312
BUZAU,7851,861,1923,2879,824,52,1195,117
CALARASI,4068,494,1035,1252,669,43,477,98
CARAS,2840,260,465,846,657,60,387,165
CLUJ,4728,767,847,1188,703,107,679,437
CONSTANTA,5899,775,848,1626,1339,90,906,315
COVASNA,3356,505,1414,754,338,21,258,66
DAMBOVITA,4752,376,1145,1640,811,52,570,158
DOLJ,17147,1146,5021,6148,2546,101,1848,337
GALATI,8896,1076,1998,3607,872,59,1017,267
GIURGIU,2252,255,451,911,409,18,170,38
GORJ,3984,0,559,1262,968,74,910,211
HARGHITA,5477,1052,1642,1321,692,62,579,129
HUNEDOARA,7527,568,1016,2066,2013,129,1156,579
IALOMITA,4153,411,973,1611,439,28,648,43
IASI,8728,468,1919,3043,790,64,2138,306
ILFOV,1003,98,244,296,161,6,100,98
MARAMURES,4395,201,998,1250,800,87,773,286
MEHEDINTI,6450,599,1137,2725,1081,57,730,121
MUN. BUCURESTI,10715,18,71,1827,3474,235,1981,3109
MURES,7301,923,2683,2007,699,61,745,183
NEAMT,6838,492,1038,2442,887,75,1651,253
OLT,7415,601,889,3060,1344,92,1293,136
PRAHOVA,6616,481,1172,1981,1134,91,1411,346
SALAJ,5144,610,1609,1492,580,59,658,136
SATU-MARE,5643,931,2232,1685,335,28,349,83
SIBIU,4789,438,1758,1236,495,37,582,243
SUCEAVA,11898,1013,2647,4347,1490,131,1943,327
TELEORMAN,8218,707,1219,4030,1176,51,904,131
TIMIS,2790,413,261,627,604,53,458,374
TULCEA,2588,0,338,1212,525,0,431,82
VALCEA,5123,144,532,1419,1471,93,1208,256
VASLUI,9004,401,1791,4328,965,51,1387,81
VRANCEA,2845,164,794,1074,394,43,295,81
Total general,246701,21088,52204,83889,38579,2726,36450,11765
