JUDET  ,"Total someri, din care: ",fara studii,invatamant primar ,invatamant gimnazial ,invatamant liceal,invatamant posticeal,invatamant profesional/arte si meserii,invatamant universitar
ALBA ,5659,359,921,1802,1306,49,947,275
ARAD,2225,496,252,648,401,28,258,142
ARGES,8223,399,2176,2821,1251,89,1219,268
BACAU,4950,310,859,1848,794,49,879,211
BIHOR,3238,320,712,853,627,54,398,274
BISTRITA,3861,253,452,1340,902,65,657,192
BOTOSANI,3439,118,602,1424,587,54,575,79
BRAILA,3555,508,824,1269,373,44,431,106
BRASOV,6694,641,1534,2884,771,39,552,273
BUZAU,7960,865,1933,2859,932,42,1234,95
CALARASI,3897,485,1021,1206,608,36,461,80
CARAS,2438,231,417,652,627,55,321,135
CLUJ,4182,651,750,1075,662,93,606,345
CONSTANTA,6263,751,900,1662,1618,85,954,293
COVASNA,4089,460,1347,826,898,31,457,70
DAMBOVITA,4691,356,1074,1586,916,51,567,141
DOLJ,16870,1054,4974,5581,3116,116,1734,295
GALATI,8755,1071,1917,3453,1029,56,1008,221
GIURGIU,2211,263,406,833,524,12,144,29
GORJ,3714,0,481,1071,1059,72,840,191
HARGHITA,5101,937,1519,1107,775,70,557,136
HUNEDOARA,7062,498,921,1909,1962,131,1102,539
IALOMITA,3846,403,828,1501,462,32,584,36
IASI,8136,445,1746,2816,820,52,1988,269
ILFOV,998,97,251,297,175,4,94,80
MARAMURES,4155,189,966,1178,813,80,713,216
MEHEDINTI,5930,544,1046,2382,1156,57,636,109
MUN. BUC.,10811,24,71,1842,3484,235,2044,3111
MURES,6260,672,2090,1630,926,65,706,171
NEAMT,7080,589,1192,2477,952,77,1590,203
OLT,7303,568,773,2840,1551,91,1353,127
PRAHOVA,6339,422,1016,1827,1321,87,1346,320
SALAJ,4855,546,1513,1358,601,57,633,147
SATU M.,5006,801,1929,1528,318,22,341,67
SIBIU,4561,382,1538,1168,627,32,577,237
SUCEAVA,11059,1003,2475,3955,1484,117,1724,301
TELEORMAN,8293,690,1412,3758,1434,47,837,115
TIMIS,2936,355,257,707,727,46,461,383
TULCEA,2468,0,402,1037,564,0,396,69
VALCEA,5026,146,567,1396,1547,72,1064,234
VASLUI,8582,371,1943,3970,935,37,1258,68
VRANCEA,2915,185,843,1074,427,30,287,69
Total general,235636,19458,48850,77450,42062,2561,34533,10722
