JUDET, Numar total someri , Numar total someri femei  , Numar total someri barbati  , Numar  someri indemnizati  , Numar someri neindemnizati ,  Rata somajului (%)  ,  Rata somajului Feminina (%)  ,  Rata somajului Masculina (%)  ,
ALBA ," 5,659     "," 2,806     "," 2,853     "," 1,829     "," 3,830     ", 3.59     , 3.95     , 3.29     ,
ARAD," 2,225     "," 1,178     "," 1,047     ", 913     ," 1,312     ", 1.14     , 1.42     , 0.94     ,
ARGES," 8,223     "," 3,946     "," 4,277     "," 1,863     "," 6,360     ", 3.52     , 3.65     , 3.41     ,
BACAU," 4,950     "," 2,133     "," 2,817     "," 1,482     "," 3,468     ", 2.61     , 2.64     , 2.58     ,
BIHOR," 3,238     "," 1,790     "," 1,448     "," 1,527     "," 1,711     ", 1.36     , 1.71     , 1.09     ,
BISTRITA NASAUD," 3,861     "," 1,940     "," 1,921     "," 1,731     "," 2,130     ", 3.33     , 3.94     , 2.88     ,
BOTOSANI," 3,439     "," 1,647     "," 1,792     ", 816     ," 2,623     ", 3.08     , 3.23     , 2.96     ,
BRAILA," 3,555     "," 1,510     "," 2,045     ", 601     ," 2,954     ", 3.23     , 2.98     , 3.44     ,
BRASOV," 6,694     "," 3,343     "," 3,351     ", 911     ," 5,783     ", 2.58     , 2.94     , 2.30     ,
BUZAU," 7,960     "," 3,312     "," 4,648     "," 1,220     "," 6,740     ", 5.47     , 5.27     , 5.63     ,
CALARASI," 3,897     "," 1,858     "," 2,039     ", 539     ," 3,358     ", 5.11     , 5.39     , 4.88     ,
CARA?-SEVERIN," 2,438     "," 1,142     "," 1,296     ", 933     ," 1,505     ", 2.62     , 2.88     , 2.42     ,
CLUJ," 4,182     "," 2,141     "," 2,041     "," 1,228     "," 2,954     ", 1.16     , 1.33     , 1.02     ,
CONSTANTA," 6,263     "," 4,101     "," 2,162     "," 2,678     "," 3,585     ", 2.24     , 3.40     , 1.36     ,
COVASNA," 4,089     "," 1,992     "," 2,097     ", 559     ," 3,530     ", 5.09     , 5.55     , 4.72     ,
DAMBOVITA," 4,691     "," 2,457     "," 2,234     "," 1,111     "," 3,580     ", 2.75     , 3.52     , 2.22     ,
DOLJ," 16,870     "," 7,456     "," 9,414     "," 1,649     "," 15,221     ", 7.31     , 7.34     , 7.29     ,
GALATI," 8,755     "," 3,732     "," 5,023     "," 1,144     "," 7,611     ", 5.20     , 4.92     , 5.43     ,
GIURGIU," 2,211     "," 1,146     "," 1,065     ", 317     ," 1,894     ", 3.32     , 3.94     , 2.84     ,
GORJ," 3,714     "," 1,854     "," 1,860     ", 967     ," 2,747     ", 3.04     , 3.35     , 2.78     ,
HARGHITA," 5,101     "," 2,227     "," 2,874     "," 1,245     "," 3,856     ", 4.14     , 4.28     , 4.04     ,
HUNEDOARA," 7,062     "," 3,820     "," 3,242     "," 2,250     "," 4,812     ", 4.53     , 5.25     , 3.91     ,
IALOMITA," 3,846     "," 1,828     "," 2,018     ", 765     ," 3,081     ", 4.84     , 5.15     , 4.59     ,
IASI," 8,136     "," 3,581     "," 4,555     "," 1,034     "," 7,102     ", 2.95     , 2.85     , 3.03     ,
ILFOV, 998     , 600     , 398     , 390     , 608     , 0.47     , 0.69     , 0.32     ,
MARAMURES," 4,155     "," 2,105     "," 2,050     "," 1,464     "," 2,691     ", 2.32     , 2.66     , 2.06     ,
MEHEDINTI," 5,930     "," 2,648     "," 3,282     ", 958     ," 4,972     ", 6.95     , 6.90     , 7.00     ,
MUN. BUC.," 10,811     "," 6,294     "," 4,517     "," 1,462     "," 9,349     ", 0.86     , 0.99     , 0.72     ,
MURES," 6,260     "," 2,918     "," 3,342     "," 1,221     "," 5,039     ", 2.93     , 3.25     , 2.70     ,
