judet ,TOTAL ,Sub 25 ani,25 - 29 ani,30 - 39 ani,40 - 49 ani,50 - 55 ani,peste 55 ani
ALBA,5659,976,496,915,1256,1038,978
ARAD,2225,159,72,309,604,573,508
ARGES,8223,1078,543,1378,1935,1595,1694
BACAU,4950,609,264,551,1212,1112,1202
BIHOR,3238,319,172,516,786,631,814
BISTRITA NASAUD,3861,640,216,472,860,665,1008
BOTOSANI,3439,457,118,392,792,775,905
BRAILA,3555,472,165,480,848,591,999
BRASOV,6694,1487,630,1144,1418,959,1056
BUZAU,7960,668,336,1027,1932,1970,2027
CALARASI,3897,549,174,781,1020,603,770
CARAS-SEVERIN,2438,294,121,337,579,505,602
CLUJ,4182,425,240,748,1059,832,878
CONSTANTA,6263,1003,347,730,1415,1000,1768
COVASNA,4089,1432,283,641,750,520,463
DAMBOVITA,4691,900,411,684,977,856,863
DOLJ,16870,2354,1262,2486,4095,3266,3407
GALATI,8755,952,369,1068,2303,1654,2409
GIURGIU,2211,432,243,328,432,363,413
GORJ,3714,455,167,489,855,864,884
HARGHITA,5101,989,342,1032,1176,803,759
HUNEDOARA,7062,897,557,1089,1739,1555,1225
IALOMITA,3846,488,214,490,911,668,1075
IASI,8136,730,315,1158,2185,1388,2360
ILFOV,998,180,64,129,229,182,214
MARAMURES,4155,877,289,694,976,720,599
MEHEDINTI,5930,602,287,782,1439,1344,1476
MUNICIPIUL BUCURESTI,10811,263,874,2506,2751,2459,1958
MURES,6260,1555,612,1020,1339,740,994
NEAMT,7080,637,295,1003,1831,1579,1735
OLT,7303,847,613,990,1690,1547,1616
PRAHOVA,6339,1193,350,855,1453,1348,1140
SALAJ,4855,754,315,1006,1198,798,784
SATU-MARE,5006,661,323,1063,1417,823,719
SIBIU,4561,868,330,795,1055,631,882
SUCEAVA,11059,1584,699,2005,2811,1661,2299
TELEORMAN,8293,1125,542,1245,1955,1646,1780
TIMIS,2936,349,138,504,742,494,709
TULCEA,2468,437,296,288,464,549,434
VALCEA,5026,980,323,575,1017,1111,1020
VASLUI ,8582,417,236,1078,2528,2177,2146
VRANCEA,2915,449,161,472,640,595,598
TOTAL,235636,32543,14804,36255,56674,45190,50170
