judet ,TOTAL ,Sub 25 ani,25 - 29 ani,30 - 39 ani,40 - 49 ani,50 - 55 ani,peste 55 ani
,,,,,,,
ALBA,5666,884,343,1055,1487,920,977
ARAD,2914,314,119,435,780,530,736
ARGES,8199,1007,459,1618,2288,1397,1430
BACAU,12639,1806,1818,2835,2561,2015,1604
BIHOR,4346,617,278,854,1153,791,653
BISTRITA NASAUD,3768,544,224,714,996,671,619
BOTOSANI,4052,474,164,615,1234,673,892
BRAILA,4661,582,221,813,1382,600,1063
BRASOV,5820,830,449,1300,1406,883,952
BUCURESTI,15776,285,1560,3881,4611,2753,2686
BUZAU,12322,1251,537,2127,3674,2044,2689
CALARASI,3848,510,174,781,1010,603,770
CARAS SEVERIN,3523,453,180,611,985,620,674
CLUJ,4794,615,314,805,1261,913,886
CONSTANTA,7660,665,301,1382,2206,1526,1580
COVASNA,3093,815,205,628,694,324,427
DAMBOVITA,8456,1957,402,1240,1946,1323,1588
DOLJ,19561,1959,1098,3587,5766,3381,3770
GALATI,12663,1958,420,1818,3654,2182,2631
GIURGIU,2091,441,92,290,472,355,441
GORJ,5952,681,253,931,1610,945,1532
HARGHITA,5575,1108,390,1215,1345,738,779
HUNEDOARA,6046,782,358,998,1713,1317,878
IALOMITA,5063,578,209,844,1424,917,1091
IASI,9323,1005,214,1380,2602,1791,2331
ILFOV,1295,465,54,204,271,134,167
MARAMURES,6448,1180,503,1171,1684,1205,705
MEHEDINTI,8044,582,280,1787,2719,1194,1482
MURES,7079,1111,572,1672,1808,960,956
NEAMT,8146,939,390,1363,2356,1460,1638
OLT,10079,1091,423,1619,2997,1791,2158
PRAHOVA,7642,1080,340,1305,2126,1206,1585
SALAJ,4575,738,371,930,1130,724,682
SATU-MARE,3813,531,283,944,1052,499,504
SIBIU,3525,367,236,707,906,586,723
SUCEAVA,11915,2662,745,2132,2994,1485,1897
TELEORMAN,11644,1362,690,2292,3205,2067,2028
TIMIS,2767,335,184,459,789,418,582
TULCEA,2801,406,255,457,674,520,489
VALCEA,5008,838,253,849,1348,927,793
VASLUI,11242,865,363,1957,3851,2041,2165
VRANCEA,5742,816,293,928,1494,980,1231
Total,289576,37489,17017,53533,79664,48409,53464
