JUDET ,NUMAR TOTAL SOMERI ,NUMAR TOTAL SOMERI FEMEI  ,NUMAR TOTAL SOMERI BARBATI ,NUMAR TOTAL SOMERI DIN MEDIUL URBAN ,NUMAR SOMERI FEMEI DIN MEDIUL URBAN ,NUMAR SOMERI BARBATI DIN MEDIUL URBAN ,NUMAR TOTAL SOMERI DIN MEDIUL RURAL ,NUMAR SOMERI FEMEI DIN MEDIUL RURAL ,NUMAR SOMERI BARBATI DIN MEDIUL RURAL ,
 ALBA,6881,3289,3592,2454,1333,1121,4427,1956,2471,
 ARAD,4144,2323,1821,1884,1041,843,2260,1282,978,
 ARGES,9986,4978,5008,2406,1486,920,7580,3492,4088,
 BACAU,12186,5096,7090,3053,1431,1622,9133,3665,5468,
 BIHOR,5880,3308,2572,1998,1253,745,3882,2055,1827,
 BISTRITA-NASAUD,4566,2364,2202,1575,885,690,2991,1479,1512,
 BOTOSANI,4154,1859,2295,1504,756,748,2650,1103,1547,
 BRAILA,5391,2263,3128,1522,800,722,3869,1463,2406,
 BRASOV,6493,3039,3454,2450,1325,1125,4043,1714,2329,
 BUZAU,12033,4837,7196,2164,1049,1115,9869,3788,6081,
 CALARASI,3428,1660,1768,1048,499,549,2380,1161,1219,
 CARAS-SEVERIN,3779,1770,2009,1661,826,835,2118,944,1174,
 CLUJ,6158,3385,2773,2916,1833,1083,3242,1552,1690,
 CONSTANTA,8485,5004,3481,4271,2844,1427,4214,2160,2054,
 COVASNA,4220,2076,2144,1276,712,564,2944,1364,1580,
 DAMBOVITA,5700,2765,2935,1125,622,503,4575,2143,2432,
 DOLJ,19037,8146,10891,3207,1812,1395,15830,6334,9496,
 GALATI,11733,4972,6761,2356,1272,1084,9377,3700,5677,
 GIURGIU,2150,1139,1011,509,303,206,1641,836,805,
 GORJ,5166,2295,2871,1624,866,758,3542,1429,2113,
 HARGHITA,6030,3028,3002,2004,1137,867,4026,1891,2135,
 HUNEDOARA,5875,3153,2722,4050,2260,1790,1825,893,932,
 IALOMITA,4857,2139,2718,1587,816,771,3270,1323,1947,
 IASI,9810,4481,5329,2024,1108,916,7786,3373,4413,
 ILFOV,1382,857,525,364,230,134,1018,627,391,
 MARAMURES,4048,2087,1961,2182,1208,974,1866,879,987,
 MEHEDINTI,6266,2798,3468,1738,924,814,4528,1874,2654,
 MURES,6442,3040,3402,1992,1054,938,4450,1986,2464,
 NEAMT,9097,4053,5044,1809,991,818,7288,3062,4226,
 OLT,9552,4330,5222,2164,1256,908,7388,3074,4314,
 PRAHOVA,8517,4450,4067,3123,1819,1304,5394,2631,2763,
 SALAJ,5267,2428,2839,1227,716,511,4040,1712,2328,
 SATU MARE,5398,2524,2874,1134,596,538,4264,1928,2336,
 SIBIU,5230,2527,2703,2029,1127,902,3201,1400,1801,
 SUCEAVA,11096,4929,6167,3332,1684,1648,7764,3245,4519,
 TELEORMAN,9319,3868,5451,1962,996,966,7357,2872,4485,
 TIMIS,4402,2423,1979,2198,1286,912,2204,1137,1067,
 TULCEA,2779,1307,1472,775,428,347,2004,879,1125,
 VALCEA,6053,3014,3039,2246,1258,988,3807,1756,2051,
 VASLUI,9672,4071,5601,1728,958,770,7944,3113,4831,
 VRANCEA,5793,2472,3321,1190,600,590,4603,1872,2731,
BUCURESTI,15006,8086,6920,15006,8086,6920,0,0,0,
Total TARA ,293461,138633,154828,96867,53486,43381,196594,85147,111447,
