JUDET, Numar total someri , Numar total someri femei  , Numar total someri barbati  , Numar  someri indemnizati  , Numar someri neindemnizati ,  Rata somajului (%)  ,  Rata somajului Feminina (%)  ,  Rata somajului Masculina (%)  ,
ALBA ," 6,350     "," 3,053     "," 3,297     "," 2,725     "," 3,625     ", 3.77     , 3.93     , 3.63     ,
ARAD," 4,572     "," 2,631     "," 1,941     "," 2,735     "," 1,837     ", 2.16     , 2.83     , 1.63     ,
ARGES," 9,840     "," 4,935     "," 4,905     "," 4,185     "," 5,655     ", 3.80     , 4.09     , 3.55     ,
BACAU," 11,505     "," 4,867     "," 6,638     "," 2,982     "," 8,523     ", 5.40     , 5.21     , 5.55     ,
BIHOR," 5,965     "," 3,440     "," 2,525     "," 3,425     "," 2,540     ", 2.26     , 2.82     , 1.77     ,
BISTRITA NASAUD," 4,375     "," 2,313     "," 2,062     "," 2,490     "," 1,885     ", 3.40     , 3.98     , 2.93     ,
BOTOSANI," 4,007     "," 1,887     "," 2,120     "," 1,302     "," 2,705     ", 2.92     , 2.89     , 2.95     ,
BRAILA," 5,263     "," 2,220     "," 3,043     "," 1,106     "," 4,157     ", 4.31     , 4.02     , 4.54     ,
BRASOV," 6,714     "," 3,146     "," 3,568     "," 2,152     "," 4,562     ", 2.56     , 2.79     , 2.38     ,
BUZAU," 13,468     "," 5,529     "," 7,939     "," 2,663     "," 10,805     ", 7.84     , 6.91     , 8.66     ,
CALARASI," 3,890     "," 1,889     "," 2,001     "," 1,090     "," 2,800     ", 4.26     , 4.28     , 4.24     ,
CARA?-SEVERIN," 3,607     "," 1,695     "," 1,912     "," 1,662     "," 1,945     ", 3.39     , 3.60     , 3.22     ,
CLUJ," 6,108     "," 3,379     "," 2,729     "," 3,038     "," 3,070     ", 1.64     , 2.05     , 1.31     ,
CONSTANTA," 8,732     "," 5,154     "," 3,578     "," 3,829     "," 4,903     ", 2.96     , 4.02     , 2.15     ,
COVASNA," 4,348     "," 2,124     "," 2,224     "," 1,182     "," 3,166     ", 5.07     , 5.19     , 4.95     ,
DAMBOVITA," 6,182     "," 3,008     "," 3,174     "," 1,764     "," 4,418     ", 3.21     , 3.66     , 2.88     ,
DOLJ," 18,872     "," 8,175     "," 10,697     "," 3,359     "," 15,513     ", 7.09     , 6.76     , 7.37     ,
