judet ,TOTAL ,Sub 25 ani,25 - 29 ani,30 - 39 ani,40 - 49 ani,50 - 55 ani,peste 55 ani
ALBA,5218,745,309,1082,1368,844,870
ARAD,2610,677,109,281,576,461,506
ARGES,7749,858,413,1500,2135,1441,1402
BACAU,11023,1221,775,1666,2737,2277,2347
BIHOR,3690,483,191,660,1034,699,623
BISTRITA NASAUD,3329,541,180,614,756,615,623
BOTOSANI,3571,436,119,496,975,687,858
BRAILA,4334,442,213,759,1242,667,1011
BRASOV,5233,732,330,1122,1273,858,918
BUZAU,11296,993,454,1895,3315,2070,2569
CALARASI,3242,431,132,642,854,567,616
CARAS-SEVERIN,3345,472,167,514,879,640,673
CLUJ,4483,607,261,884,1111,926,694
CONSTANTA,7471,854,282,1201,2026,1527,1581
COVASNA,2852,671,199,570,677,335,400
DAMBOVITA,6624,1349,343,994,1467,1112,1359
DOLJ,17945,1766,909,3095,5189,3430,3556
GALATI,10578,1050,358,1504,3153,2142,2371
GIURGIU,1645,276,51,250,358,321,389
GORJ,4735,626,170,735,1253,858,1093
HARGHITA,5146,970,341,1151,1280,723,681
HUNEDOARA,5157,653,380,887,1355,1007,875
IALOMITA,4231,430,178,714,1152,804,953
IASI,8035,1150,175,1077,2095,1507,2031
ILFOV,776,148,37,127,222,120,122
MARAMURES,5185,1280,269,791,1299,843,703
MEHEDINTI,6929,568,199,1575,2408,997,1182
MUNICIPIUL BUCURESTI,15248,247,1185,3757,4509,2972,2578
MURES,6372,1072,445,1423,1650,893,889
NEAMT,7346,952,314,1157,2016,1390,1517
OLT,8855,891,327,1268,2623,1796,1950
PRAHOVA,7118,847,248,1152,2109,1520,1242
SALAJ,4339,783,323,918,1016,665,634
SATU-MARE,3631,479,239,872,1027,509,505
SIBIU,3456,512,222,608,904,554,656
SUCEAVA,11031,2296,640,1949,2765,1557,1824
TELEORMAN,8825,999,461,1472,2336,1728,1829
TIMIS,2775,447,130,487,752,508,451
TULCEA,2906,509,136,423,761,543,534
VALCEA,4560,622,210,734,1251,969,774
VASLUI ,10024,651,309,1596,3334,2008,2126
VRANCEA,4947,618,221,754,1284,967,1103
TOTAL,257865,32354,12954,45356,70526,47057,49618
