judet ,TOTAL ,Sub 25 ani,25 - 29 ani,30 - 39 ani,40 - 49 ani,50 - 55 ani,peste 55 ani
ALBA,4746,533,263,909,1310,839,892
ARAD,3112,1198,102,307,559,431,515
ARGES,7623,886,398,1396,2059,1412,1472
BACAU,10925,1226,583,1731,2721,1993,2671
BIHOR,3456,544,161,591,896,558,706
BISTRITA NASAUD,3180,398,167,562,834,620,599
BOTOSANI,3893,613,137,532,1059,682,870
BRAILA,4537,452,207,814,1327,680,1057
BRASOV,5765,1100,359,1145,1324,896,941
BUZAU,11640,1332,471,1918,3246,2040,2633
CALARASI,3338,503,143,641,843,550,658
CARAS-SEVERIN,3266,434,155,476,874,615,712
CLUJ,4649,641,259,881,1195,846,827
CONSTANTA,5552,1081,233,895,1354,904,1085
COVASNA,2738,686,181,510,618,333,410
DAMBOVITA,6810,1456,270,915,1513,1154,1502
DOLJ,18238,1802,918,3115,5388,3395,3620
GALATI,11127,1318,350,1560,3285,2125,2489
GIURGIU,1855,454,79,249,355,314,404
GORJ,4778,777,162,725,1215,796,1103
HARGHITA,5051,1038,296,1037,1254,685,741
HUNEDOARA,5787,881,301,1117,1613,944,931
IALOMITA,4506,486,179,760,1274,803,1004
IASI,8387,926,205,1179,2272,1641,2164
ILFOV,874,165,35,158,248,119,149
MARAMURES,6440,1857,305,1047,1513,914,804
MEHEDINTI,6532,353,150,1537,2375,964,1153
MUNICIPIUL BUCURESTI,15502,285,1225,3760,4633,2928,2671
MURES,5917,1026,360,1354,1493,834,850
NEAMT,7779,1145,357,1237,2116,1358,1566
OLT,8746,977,331,1280,2513,1677,1968
PRAHOVA,6424,777,247,1038,1885,1119,1358
SALAJ,4449,887,283,918,1049,658,654
SATU-MARE,3357,450,207,819,934,451,496
SIBIU,3246,428,168,597,860,548,645
SUCEAVA,11596,2876,667,1921,2791,1517,1824
TELEORMAN,9770,1053,490,1569,2608,1932,2118
TIMIS,2944,427,136,496,818,533,534
TULCEA,2534,698,121,410,595,433,277
VALCEA,5167,996,237,821,1358,999,756
VASLUI ,10460,615,306,1703,3528,2071,2237
VRANCEA,5348,933,247,789,1286,839,1254
TOTAL,262044,36713,12451,45419,70991,45150,51320
