JUDET, Numar total someri , Numar total someri femei  , Numar total someri barbati  , Numar  someri indemnizati  , Numar someri neindemnizati ,  Rata somajului (%)  ,  Rata somajului Feminina (%)  ,  Rata somajului Masculina (%)  ,
ALBA ," 4,746     "," 2,146     "," 2,600     "," 1,290     "," 3,456     ", 2.82     , 2.81     , 2.83     ,
ARAD," 3,112     "," 1,606     "," 1,506     ", 654     ," 2,458     ", 2.82     , 2.81     , 2.83     ,
ARGES," 7,623     "," 3,620     "," 4,003     "," 1,699     "," 5,924     ", 2.82     , 2.81     , 2.83     ,
BACAU," 10,925     "," 4,449     "," 6,476     "," 1,322     "," 9,603     ", 2.82     , 2.81     , 2.83     ,
BIHOR," 3,456     "," 1,794     "," 1,662     "," 1,268     "," 2,188     ", 2.82     , 2.81     , 2.83     ,
BISTRITA NASAUD," 3,180     "," 1,652     "," 1,528     "," 1,247     "," 1,933     ", 2.82     , 2.81     , 2.83     ,
BOTOSANI," 3,893     "," 1,779     "," 2,114     ", 672     ," 3,221     ", 2.82     , 2.81     , 2.83     ,
BRAILA," 4,537     "," 1,836     "," 2,701     ", 544     ," 3,993     ", 2.82     , 2.81     , 2.83     ,
BRASOV," 5,765     "," 2,652     "," 3,113     ", 847     ," 4,918     ", 2.82     , 2.81     , 2.83     ,
BUZAU," 11,640     "," 4,825     "," 6,815     "," 1,207     "," 10,433     ", 2.82     , 2.81     , 2.83     ,
CALARASI," 3,338     "," 1,626     "," 1,712     ", 365     ," 2,973     ", 2.82     , 2.81     , 2.83     ,
CARA?-SEVERIN," 3,266     "," 1,494     "," 1,772     ", 764     ," 2,502     ", 2.82     , 2.81     , 2.83     ,
CLUJ," 4,649     "," 2,422     "," 2,227     "," 1,204     "," 3,445     ", 2.82     , 2.81     , 2.83     ,
CONSTANTA," 5,552     "," 2,879     "," 2,673     "," 1,273     "," 4,279     ", 2.82     , 2.81     , 2.83     ,
COVASNA," 2,738     "," 1,284     "," 1,454     ", 371     ," 2,367     ", 2.82     , 2.81     , 2.83     ,
DAMBOVITA," 6,810     "," 3,252     "," 3,558     ", 842     ," 5,968     ", 2.82     , 2.81     , 2.83     ,
DOLJ," 18,238     "," 7,585     "," 10,653     "," 1,664     "," 16,574     ", 2.82     , 2.81     , 2.83     ,
GALATI," 11,127     "," 4,904     "," 6,223     "," 1,156     "," 9,971     ", 2.82     , 2.81     , 2.83     ,
GIURGIU," 1,855     "," 1,049     ", 806     , 325     ," 1,530     ", 2.82     , 2.81     , 2.83     ,
GORJ," 4,778     "," 2,293     "," 2,485     "," 1,216     "," 3,562     ", 2.82     , 2.81     , 2.83     ,
HARGHITA," 5,051     "," 2,281     "," 2,770     ", 945     ," 4,106     ", 2.82     , 2.81     , 2.83     ,
HUNEDOARA," 5,787     "," 2,985     "," 2,802     "," 2,392     "," 3,395     ", 2.82     , 2.81     , 2.83     ,
IALOMITA," 4,506     "," 2,093     "," 2,413     ", 686     ," 3,820     ", 2.82     , 2.81     , 2.83     ,
IASI," 8,387     "," 3,756     "," 4,631     ", 831     ," 7,556     ", 2.82     , 2.81     , 2.83     ,
ILFOV, 874     , 481     , 393     , 293     , 581     , 2.82     , 2.81     , 2.83     ,
MARAMURES," 6,440     "," 3,275     "," 3,165     "," 1,106     "," 5,334     ", 2.82     , 2.81     , 2.83     ,
MEHEDINTI," 6,532     "," 2,709     "," 3,823     ", 876     ," 5,656     ", 2.82     , 2.81     , 2.83     ,
MUN. BUC.," 15,502     "," 8,306     "," 7,196     "," 1,983     "," 13,519     ", 2.82     , 2.81     , 2.83     ,
MURES," 5,917     "," 2,648     "," 3,269     ", 822     ," 5,095     ", 2.82     , 2.81     , 2.83     ,
NEAMT," 7,779     "," 3,455     "," 4,324     "," 1,142     "," 6,637     ", 2.82     , 2.81     , 2.83     ,
OLT," 8,746     "," 3,752     "," 4,994     ", 856     ," 7,890     ", 2.82     , 2.81     , 2.83     ,
PRAHOVA," 6,424     "," 3,167     "," 3,257     "," 1,993     "," 4,431     ", 2.82     , 2.81     , 2.83     ,
SALAJ," 4,449     "," 1,907     "," 2,542     ", 657     ," 3,792     ", 2.82     , 2.81     , 2.83     ,
SATU M.," 3,357     "," 1,518     "," 1,839     ", 365     ," 2,992     ", 2.82     , 2.81     , 2.83     ,
SIBIU," 3,246     "," 1,565     "," 1,681     ", 867     ," 2,379     ", 2.82     , 2.81     , 2.83     ,
SUCEAVA," 11,596     "," 5,198     "," 6,398     "," 2,387     "," 9,209     ", 2.82     , 2.81     , 2.83     ,
TELEORMAN," 9,770     "," 4,111     "," 5,659     "," 1,089     "," 8,681     ", 2.82     , 2.81     , 2.83     ,
TIMIS," 2,944     "," 1,635     "," 1,309     "," 1,597     "," 1,347     ", 2.82     , 2.81     , 2.83     ,
TULCEA," 2,534     "," 1,281     "," 1,253     ", 646     ," 1,888     ", 2.82     , 2.81     , 2.83     ,
VALCEA," 5,167     "," 2,486     "," 2,681     "," 1,520     "," 3,647     ", 2.82     , 2.81     , 2.83     ,
VASLUI," 10,460     "," 4,221     "," 6,239     ", 777     ," 9,683     ", 2.82     , 2.81     , 2.83     ,
VRANCEA," 5,348     "," 2,386     "," 2,962     ", 732     ," 4,616     ", 2.82     , 2.81     , 2.83     ,
Total ," 262,044     "," 120,363     "," 141,681     "," 44,492     "," 217,552     ", 2.82     , 2.81     , 2.83     ,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
