JUDET, Numar total someri , Numar total someri femei  , Numar total someri barbati  , Numar  someri indemnizati  , Numar someri neindemnizati ,  Rata somajului (%)  ,  Rata somajului Feminina (%)  ,  Rata somajului Masculina (%)  ,
ALBA ," 6,429     "," 3,139     "," 3,290     "," 2,729     "," 3,700     ", 3.82     , 4.04     , 3.62     ,
ARAD," 4,582     "," 2,672     "," 1,910     "," 2,611     "," 1,971     ", 2.16     , 2.87     , 1.61     ,
ARGES," 9,719     "," 4,967     "," 4,752     "," 4,055     "," 5,664     ", 3.75     , 4.11     , 3.44     ,
BACAU," 11,165     "," 4,780     "," 6,385     "," 2,832     "," 8,333     ", 5.24     , 5.11     , 5.33     ,
BIHOR," 5,833     "," 3,392     "," 2,441     "," 3,293     "," 2,540     ", 2.21     , 2.78     , 1.71     ,
BISTRITA NASAUD," 4,098     "," 2,251     "," 1,847     "," 2,279     "," 1,819     ", 3.19     , 3.87     , 2.62     ,
BOTOSANI," 3,898     "," 1,904     "," 1,994     "," 1,206     "," 2,692     ", 2.84     , 2.91     , 2.77     ,
BRAILA," 5,061     "," 2,174     "," 2,887     ", 962     ," 4,099     ", 4.14     , 3.94     , 4.31     ,
BRASOV," 7,050     "," 3,340     "," 3,710     "," 2,131     "," 4,919     ", 2.68     , 2.96     , 2.47     ,
BUZAU," 12,378     "," 5,165     "," 7,213     "," 2,538     "," 9,840     ", 7.21     , 6.46     , 7.87     ,
CALARASI," 3,809     "," 1,938     "," 1,871     ", 958     ," 2,851     ", 4.17     , 4.39     , 3.96     ,
CARA?-SEVERIN," 3,758     "," 1,767     "," 1,991     "," 1,616     "," 2,142     ", 3.53     , 3.75     , 3.35     ,
CLUJ," 6,003     "," 3,376     "," 2,627     "," 2,976     "," 3,027     ", 1.61     , 2.05     , 1.26     ,
CONSTANTA," 8,629     "," 5,063     "," 3,566     "," 3,543     "," 5,086     ", 2.93     , 3.95     , 2.14     ,
COVASNA," 4,492     "," 2,266     "," 2,226     "," 1,270     "," 3,222     ", 5.24     , 5.54     , 4.96     ,
DAMBOVITA," 6,236     "," 3,063     "," 3,173     "," 1,727     "," 4,509     ", 3.24     , 3.73     , 2.88     ,
DOLJ," 18,343     "," 7,964     "," 10,379     "," 3,185     "," 15,158     ", 6.89     , 6.58     , 7.15     ,
GALATI," 12,092     "," 5,306     "," 6,786     "," 2,215     "," 9,877     ", 6.36     , 6.18     , 6.51     ,
GIURGIU," 2,169     "," 1,194     ", 975     , 778     ," 1,391     ", 2.70     , 3.22     , 2.25     ,
GORJ," 5,325     "," 2,469     "," 2,856     "," 2,187     "," 3,138     ", 3.94     , 3.94     , 3.94     ,
HARGHITA," 6,504     "," 3,386     "," 3,118     "," 2,671     "," 3,833     ", 4.81     , 5.69     , 4.12     ,
HUNEDOARA," 5,925     "," 3,302     "," 2,623     "," 3,594     "," 2,331     ", 3.45     , 4.11     , 2.87     ,
IALOMITA," 4,237     "," 1,992     "," 2,245     "," 1,180     "," 3,057     ", 4.52     , 4.60     , 4.45     ,
IASI," 9,132     "," 4,242     "," 4,890     "," 1,988     "," 7,144     ", 3.07     , 3.04     , 3.10     ,
ILFOV," 1,450     ", 888     , 562     , 968     , 482     , 0.70     , 1.00     , 0.47     ,
MARAMURES," 4,999     "," 2,495     "," 2,504     "," 2,099     "," 2,900     ", 2.48     , 2.68     , 2.30     ,
MEHEDINTI," 6,238     "," 2,833     "," 3,405     "," 1,691     "," 4,547     ", 6.12     , 5.96     , 6.25     ,
MUN. BUC.," 15,287     "," 8,209     "," 7,078     "," 4,684     "," 10,603     ", 1.24     , 1.34     , 1.14     ,
MURES," 6,102     "," 2,949     "," 3,153     "," 2,145     "," 3,957     ", 2.59     , 2.81     , 2.41     ,
NEAMT," 7,722     "," 3,666     "," 4,056     "," 2,326     "," 5,396     ", 4.24     , 4.41     , 4.11     ,
OLT," 9,391     "," 4,398     "," 4,993     "," 2,212     "," 7,179     ", 5.83     , 5.94     , 5.73     ,
PRAHOVA," 8,670     "," 4,635     "," 4,035     "," 4,454     "," 4,216     ", 2.98     , 3.76     , 2.41     ,
SALAJ," 5,299     "," 2,522     "," 2,777     "," 1,692     "," 3,607     ", 5.12     , 5.57     , 4.78     ,
SATU M.," 5,369     "," 2,532     "," 2,837     ", 990     ," 4,379     ", 3.67     , 3.76     , 3.60     ,
SIBIU," 5,183     "," 2,622     "," 2,561     "," 2,390     "," 2,793     ", 2.64     , 3.06     , 2.31     ,
SUCEAVA," 12,130     "," 5,801     "," 6,329     "," 4,669     "," 7,461     ", 5.24     , 5.47     , 5.04     ,
TELEORMAN," 8,943     "," 3,907     "," 5,036     "," 1,791     "," 7,152     ", 6.37     , 5.70     , 7.00     ,
TIMIS," 4,129     "," 2,339     "," 1,790     "," 2,847     "," 1,282     ", 1.18     , 1.51     , 0.91     ,
TULCEA," 2,632     "," 1,304     "," 1,328     ", 829     ," 1,803     ", 3.18     , 3.37     , 3.01     ,
VALCEA," 5,818     "," 2,937     "," 2,881     "," 2,686     "," 3,132     ", 3.61     , 4.07     , 3.23     ,
VASLUI," 8,830     "," 3,905     "," 4,925     "," 1,702     "," 7,128     ", 6.61     , 6.04     , 7.16     ,
VRANCEA," 5,617     "," 2,492     "," 3,125     "," 1,204     "," 4,413     ", 4.12     , 3.91     , 4.30     ,
Total ," 290,676     "," 141,546     "," 149,130     "," 95,903     "," 194,773     ", 3.32     , 3.53     , 3.15     ,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
