judet ,TOTAL ,Sub 25 ani,25 - 29 ani,30 - 39 ani,40 - 49 ani,50 - 55 ani,peste 55 ani
ALBA,6429,961,391,1247,1691,1157,982
ARAD,4582,1069,217,675,1106,851,664
ARGES,9719,922,561,1821,2720,2066,1629
BACAU,11165,1688,800,1666,2563,2054,2394
BIHOR,5833,749,372,1196,1651,1068,797
BISTRITA NASAUD,4098,678,258,727,1003,737,695
BOTOSANI,3898,610,135,518,967,738,930
BRAILA,5061,614,238,825,1421,861,1102
BRASOV,7050,1127,438,1463,1709,1181,1132
BUZAU,12378,1334,505,1977,3458,2479,2625
CALARASI,3809,523,145,727,995,714,705
CARAS-SEVERIN,3758,591,189,601,961,693,723
CLUJ,6003,777,349,1152,1536,1250,939
CONSTANTA,8629,1790,344,1326,2030,1586,1553
COVASNA,4492,963,317,916,1134,596,566
DAMBOVITA,6236,893,346,1030,1548,1188,1231
DOLJ,18343,1907,951,3097,5207,3637,3544
GALATI,12092,1633,436,1692,3418,2432,2481
GIURGIU,2169,418,69,347,480,413,442
GORJ,5325,736,291,826,1380,1001,1091
HARGHITA,6504,1179,367,1356,1664,1068,870
HUNEDOARA,5925,786,325,952,1663,1363,836
IALOMITA,4237,560,188,626,1172,835,856
IASI,9132,897,245,1329,2576,1859,2226
ILFOV,1450,354,134,260,308,212,182
MARAMURES,4999,1675,263,771,1058,784,448
MEHEDINTI,6238,601,352,1277,2033,914,1061
MUNICIPIUL BUCURESTI,15287,361,1408,3665,4423,3050,2380
MURES,6102,1116,404,1199,1538,1023,822
NEAMT,7722,1172,336,1209,2003,1480,1522
OLT,9391,1257,334,1295,2576,1959,1970
PRAHOVA,8670,1157,366,1497,2395,1967,1288
SALAJ,5299,947,319,1079,1330,891,733
SATU-MARE,5369,803,362,1198,1511,672,823
SIBIU,5183,608,321,1025,1379,989,861
SUCEAVA,12130,2918,649,1969,2887,1768,1939
TELEORMAN,8943,1056,415,1436,2334,1835,1867
TIMIS,4129,548,247,741,1047,829,717
TULCEA,2632,405,123,424,696,579,405
VALCEA,5818,1106,251,832,1471,1266,892
VASLUI ,8830,848,309,1360,2720,1897,1696
VRANCEA,5617,802,272,903,1406,1127,1107
TOTAL,290676,41139,15342,50232,77168,55069,51726
