JUDET, Numar total someri , Numar total someri femei  , Numar total someri barbati  , Numar  someri indemnizati  , Numar someri neindemnizati ,  Rata somajului (%)  ,  Rata somajului Feminina (%)  ,  Rata somajului Masculina (%)  ,
ALBA ," 5,677     "," 2,746     "," 2,931     "," 1,365     "," 4,312     ", 3.77     , 3.96     , 3.60     ,
ARAD," 2,126     "," 1,135     ", 991     , 886     ," 1,240     ", 1.12     , 1.37     , 0.92     ,
ARGES," 8,270     "," 3,930     "," 4,340     "," 1,831     "," 6,439     ", 3.64     , 3.81     , 3.51     ,
BACAU," 5,091     "," 2,152     "," 2,939     "," 1,281     "," 3,810     ", 2.74     , 2.73     , 2.75     ,
BIHOR," 2,933     "," 1,537     "," 1,396     "," 1,079     "," 1,854     ", 1.25     , 1.48     , 1.07     ,
BISTRITA NASAUD," 3,539     "," 1,764     "," 1,775     "," 1,631     "," 1,908     ", 3.15     , 3.62     , 2.79     ,
BOTOSANI," 3,424     "," 1,581     "," 1,843     ", 593     ," 2,831     ", 3.18     , 3.19     , 3.17     ,
BRAILA," 3,427     "," 1,488     "," 1,939     ", 377     ," 3,050     ", 3.18     , 3.09     , 3.26     ,
BRASOV," 5,998     "," 2,956     "," 3,042     ", 693     ," 5,305     ", 2.38     , 2.70     , 2.14     ,
BUZAU," 7,786     "," 3,303     "," 4,483     ", 884     ," 6,902     ", 5.49     , 5.23     , 5.70     ,
CALARASI," 3,871     "," 1,850     "," 2,021     ", 421     ," 3,450     ", 5.28     , 5.66     , 4.98     ,
CARA?-SEVERIN," 2,297     "," 1,077     "," 1,220     ", 737     ," 1,560     ", 2.53     , 2.87     , 2.29     ,
CLUJ," 4,211     "," 2,079     "," 2,132     ", 993     ," 3,218     ", 1.20     , 1.35     , 1.08     ,
CONSTANTA," 6,314     "," 4,111     "," 2,203     "," 2,493     "," 3,821     ", 2.32     , 3.58     , 1.39     ,
COVASNA," 3,020     "," 1,430     "," 1,590     ", 377     ," 2,643     ", 3.88     , 4.19     , 3.64     ,
DAMBOVITA," 5,212     "," 2,795     "," 2,417     "," 1,012     "," 4,200     ", 3.17     , 4.29     , 2.43     ,
DOLJ," 16,509     "," 7,201     "," 9,308     "," 1,521     "," 14,988     ", 7.34     , 7.31     , 7.36     ,
GALATI," 9,868     "," 4,586     "," 5,282     ", 920     ," 8,948     ", 5.95     , 6.29     , 5.69     ,
GIURGIU," 2,223     "," 1,200     "," 1,023     ", 290     ," 1,933     ", 3.45     , 4.24     , 2.83     ,
GORJ," 4,134     "," 2,189     "," 1,945     ", 993     ," 3,141     ", 3.46     , 3.99     , 3.01     ,
HARGHITA," 5,134     "," 2,348     "," 2,786     "," 1,134     "," 4,000     ", 4.33     , 4.72     , 4.05     ,
HUNEDOARA," 6,016     "," 3,201     "," 2,815     "," 1,852     "," 4,164     ", 3.87     , 4.61     , 3.27     ,
IALOMITA," 4,155     "," 2,126     "," 2,029     ", 620     ," 3,535     ", 5.33     , 6.14     , 4.68     ,
IASI," 8,125     "," 3,581     "," 4,544     ", 782     ," 7,343     ", 3.03     , 2.92     , 3.12     ,
ILFOV, 934     , 540     , 394     , 247     , 687     , 0.45     , 0.66     , 0.32     ,
MARAMURES," 3,783     "," 1,959     "," 1,824     "," 1,052     "," 2,731     ", 2.15     , 2.48     , 1.89     ,
MEHEDINTI," 6,059     "," 2,685     "," 3,374     ", 736     ," 5,323     ", 7.34     , 7.48     , 7.22     ,
MUN. BUCURESTI," 12,369     "," 6,750     "," 5,619     "," 1,168     "," 11,201     ", 1.01     , 1.10     , 0.92     ,
MURES," 6,360     "," 2,939     "," 3,421     ", 992     ," 5,368     ", 3.06     , 3.32     , 2.87     ,
NEAMT," 6,806     "," 2,902     "," 3,904     "," 1,300     "," 5,506     ", 4.52     , 4.46     , 4.57     ,
OLT," 8,065     "," 3,748     "," 4,317     "," 1,001     "," 7,064     ", 6.23     , 6.77     , 5.83     ,
PRAHOVA," 5,822     "," 2,889     "," 2,933     "," 1,686     "," 4,136     ", 2.19     , 2.63     , 1.88     ,
SALAJ," 4,645     "," 2,006     "," 2,639     ", 700     ," 3,945     ", 5.18     , 5.29     , 5.09     ,
SATU MARE," 4,873     "," 2,161     "," 2,712     ", 587     ," 4,286     ", 3.81     , 3.79     , 3.83     ,
SIBIU," 4,508     "," 2,213     "," 2,295     ", 805     ," 3,703     ", 2.44     , 2.71     , 2.24     ,
SUCEAVA," 10,996     "," 4,692     "," 6,304     "," 2,702     "," 8,294     ", 5.75     , 5.69     , 5.79     ,
TELEORMAN," 9,024     "," 3,819     "," 5,205     ", 974     ," 8,050     ", 8.32     , 7.61     , 8.93     ,
TIMIS," 2,124     "," 1,064     "," 1,060     ", 809     ," 1,315     ", 0.65     , 0.76     , 0.56     ,
TULCEA," 2,827     "," 1,378     "," 1,449     ", 777     ," 2,050     ", 3.90     , 4.24     , 3.62     ,
VALCEA," 4,421     "," 2,211     "," 2,210     "," 1,415     "," 3,006     ", 3.18     , 3.70     , 2.79     ,
VASLUI," 8,988     "," 3,707     "," 5,281     ", 753     ," 8,235     ", 8.48     , 7.49     , 9.35     ,
VRANCEA," 4,762     "," 2,066     "," 2,696     ", 553     ," 4,209     ", 4.21     , 3.97     , 4.41     ,
Total ," 236,726     "," 112,095     "," 124,631     "," 43,022     "," 193,704     ", 3.02     , 3.20     , 2.87     ,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
