judet ,TOTAL ,Sub 25 ani,25 - 29 ani,30 - 39 ani,40 - 49 ani,50 - 55 ani,peste 55 ani
ALBA,5170,732,473,922,1225,913,905
ARAD,2623,276,138,360,650,608,591
ARGES,7834,847,559,1391,2038,1567,1432
BACAU,6610,1007,405,872,1573,1302,1451
BIHOR,3087,317,164,503,803,588,712
BISTRITA NASAUD,4226,574,255,594,1031,908,864
BOTOSANI,2826,250,129,332,687,648,780
BRAILA,3482,433,179,484,865,674,847
BRASOV,5410,1050,506,990,1147,861,856
BUZAU,8060,595,406,1162,2170,1968,1759
CALARASI,2963,240,147,620,812,520,624
CARAS-SEVERIN,2325,238,113,326,572,543,533
CLUJ,4287,456,229,773,1050,922,857
CONSTANTA,5961,770,371,841,1408,1111,1460
COVASNA,3781,1281,601,500,634,397,368
DAMBOVITA,4702,684,371,691,1038,962,956
DOLJ,15599,1584,1011,2443,4191,3256,3114
GALATI,10537,1495,801,1217,2623,2243,2158
GIURGIU,1921,323,172,251,307,353,515
GORJ,3902,325,192,546,1027,978,834
HARGHITA,4633,826,346,910,1143,744,664
HUNEDOARA,6634,628,396,1046,1795,1689,1080
IALOMITA,3827,444,227,493,974,739,950
IASI,8137,959,377,1033,2065,1709,1994
ILFOV,897,127,37,137,229,202,165
MARAMURES,3456,640,294,564,835,620,503
MEHEDINTI,5450,367,244,776,1533,1275,1255
MUNICIPIUL BUCURESTI,13648,197,1217,3053,3752,3129,2300
MURES,5470,1269,467,981,1286,720,747
NEAMT,5648,564,252,768,1542,1256,1266
OLT,7248,728,526,978,1747,1626,1643
PRAHOVA,5913,882,369,819,1490,1326,1027
SALAJ,4289,617,326,901,1087,680,678
SATU-MARE,4507,647,296,1037,1244,679,604
SIBIU,3458,432,273,670,879,565,639
SUCEAVA,10272,1451,720,1933,2704,1654,1810
TELEORMAN,8069,687,415,1333,2057,1765,1812
TIMIS,2371,244,149,379,661,481,457
TULCEA,2509,356,225,286,638,580,424
VALCEA,4621,622,389,590,1099,1030,891
VASLUI ,8880,571,304,1208,2722,2130,1945
VRANCEA,5045,609,317,805,1234,1054,1026
TOTAL,230288,27344,15388,36518,58567,46975,45496
