JUDET, Numar total someri , Numar total someri femei  , Numar total someri barbati  , Numar  someri indemnizati  , Numar someri neindemnizati ,  Rata somajului (%)  ,  Rata somajului Feminina (%)  ,  Rata somajului Masculina (%)  ,
ALBA ," 6,453     "," 3,133     "," 3,320     "," 2,949     "," 3,504     ", 3.83     , 4.03     , 3.66     ,
ARAD," 4,772     "," 2,784     "," 1,988     "," 2,800     "," 1,972     ", 2.25     , 2.99     , 1.67     ,
ARGES," 10,070     "," 5,143     "," 4,927     "," 4,272     "," 5,798     ", 3.89     , 4.26     , 3.57     ,
BACAU," 10,825     "," 4,721     "," 6,104     "," 2,813     "," 8,012     ", 5.08     , 5.05     , 5.10     ,
BIHOR," 5,317     "," 3,205     "," 2,112     "," 3,290     "," 2,027     ", 2.01     , 2.63     , 1.48     ,
BISTRITA NASAUD," 4,062     "," 2,280     "," 1,782     "," 2,200     "," 1,862     ", 3.16     , 3.92     , 2.53     ,
BOTOSANI," 3,933     "," 1,958     "," 1,975     "," 1,178     "," 2,755     ", 2.86     , 2.99     , 2.75     ,
BRAILA," 4,874     "," 2,122     "," 2,752     ", 929     ," 3,945     ", 3.99     , 3.84     , 4.11     ,
BRASOV," 6,831     "," 3,284     "," 3,547     "," 2,238     "," 4,593     ", 2.60     , 2.91     , 2.36     ,
BUZAU," 11,953     "," 5,085     "," 6,868     "," 2,226     "," 9,727     ", 6.96     , 6.36     , 7.49     ,
CALARASI," 3,714     "," 1,950     "," 1,764     ", 947     ," 2,767     ", 4.07     , 4.42     , 3.74     ,
CARA?-SEVERIN," 3,771     "," 1,786     "," 1,985     "," 1,638     "," 2,133     ", 3.54     , 3.79     , 3.34     ,
CLUJ," 6,595     "," 3,679     "," 2,916     "," 3,084     "," 3,511     ", 1.77     , 2.23     , 1.40     ,
CONSTANTA," 7,017     "," 3,827     "," 3,190     "," 2,270     "," 4,747     ", 2.38     , 2.99     , 1.92     ,
COVASNA," 4,290     "," 2,209     "," 2,081     "," 1,294     "," 2,996     ", 5.00     , 5.40     , 4.63     ,
DAMBOVITA," 6,083     "," 2,962     "," 3,121     "," 1,669     "," 4,414     ", 3.16     , 3.60     , 2.83     ,
DOLJ," 17,707     "," 7,742     "," 9,965     "," 3,091     "," 14,616     ", 6.65     , 6.40     , 6.86     ,
