JUDET ,NUMAR TOTAL SOMERI ,NUMAR TOTAL SOMERI FEMEI  ,NUMAR TOTAL SOMERI BARBATI ,NUMAR TOTAL SOMERI DIN MEDIUL URBAN ,NUMAR SOMERI FEMEI DIN MEDIUL URBAN ,NUMAR SOMERI BARBATI DIN MEDIUL URBAN ,NUMAR TOTAL SOMERI DIN MEDIUL RURAL ,NUMAR SOMERI FEMEI DIN MEDIUL RURAL ,NUMAR SOMERI BARBATI DIN MEDIUL RURAL ,
 ALBA,5673,2467,3206,1992,977,1015,3681,1490,2191,
 ARAD,2937,1448,1489,1007,529,478,1930,919,1011,
 ARGES,8391,3776,4615,1305,713,592,7086,3063,4023,
 BACAU,12574,4982,7592,2958,1284,1674,9616,3698,5918,
 BIHOR,3227,1667,1560,1043,589,454,2184,1078,1106,
 BISTRITA-NASAUD,4060,2040,2020,1368,840,528,2692,1200,1492,
 BOTOSANI,4331,1710,2621,1411,612,799,2920,1098,1822,
 BRAILA,5359,2068,3291,1330,577,753,4029,1491,2538,
 BRASOV,5967,2687,3280,1700,890,810,4267,1797,2470,
 BUZAU,12298,4827,7471,2059,969,1090,10239,3858,6381,
 CALARASI,3889,1786,2103,800,381,419,3089,1405,1684,
 CARAS-SEVERIN,3523,1535,1988,1421,642,779,2102,893,1209,
 CLUJ,4751,2393,2358,2086,1235,851,2665,1158,1507,
 CONSTANTA,8122,4934,3188,4198,2896,1302,3924,2038,1886,
 COVASNA,3091,1378,1713,792,380,412,2299,998,1301,
 DAMBOVITA,7161,3382,3779,1114,589,525,6047,2793,3254,
 DOLJ,20178,8164,12014,2969,1530,1439,17209,6634,10575,
 GALATI,11718,4994,6724,2008,1129,879,9710,3865,5845,
 GIURGIU,1941,1107,834,603,384,219,1338,723,615,
 GORJ,5814,2597,3217,1886,978,908,3928,1619,2309,
 HARGHITA,5625,2412,3213,1734,846,888,3891,1566,2325,
 HUNEDOARA,6340,3165,3175,4275,2157,2118,2065,1008,1057,
 IALOMITA,5262,2197,3065,1593,745,848,3669,1452,2217,
 IASI,8860,3765,5095,1334,678,656,7526,3087,4439,
 ILFOV,1065,570,495,201,119,82,864,451,413,
 MARAMURES,6336,3083,3253,3176,1595,1581,3160,1488,1672,
 MEHEDINTI,7821,3134,4687,1433,690,743,6388,2444,3944,
 MURES,6857,2842,4015,1236,599,637,5621,2243,3378,
 NEAMT,8428,3495,4933,1500,736,764,6928,2759,4169,
 OLT,9976,4118,5858,2024,1011,1013,7952,3107,4845,
 PRAHOVA,7308,3490,3818,2311,1237,1074,4997,2253,2744,
 SALAJ,4755,1892,2863,928,465,463,3827,1427,2400,
 SATU MARE,3919,1671,2248,772,380,392,3147,1291,1856,
 SIBIU,3695,1664,2031,1184,574,610,2511,1090,1421,
 SUCEAVA,11941,4956,6985,3167,1475,1692,8774,3481,5293,
 TELEORMAN,11289,4628,6661,2552,1268,1284,8737,3360,5377,
 TIMIS,2781,1448,1333,1290,715,575,1491,733,758,
 TULCEA,3250,1406,1844,831,464,367,2419,942,1477,
 VALCEA,5270,2527,2743,1857,995,862,3413,1532,1881,
 VASLUI,11584,4436,7148,1438,642,796,10146,3794,6352,
 VRANCEA,5540,2261,3279,1089,488,601,4451,1773,2678,
BUCURESTI,15661,8367,7294,15661,8367,7294,0,0,0,
Total TARA ,288568,127469,161099,85636,44370,41266,202932,83099,119833,
