JUDET  ,"Total someri, din care: ",fara studii,invatamant primar ,invatamant gimnazial ,invatamant liceal,invatamant posticeal,invatamant profesional/arte si meserii,invatamant universitar
ALBA ,5962,609,1002,1599,1354,79,960,359
ARAD,4201,110,1144,1005,952,62,531,397
ARGES,9531,543,1940,2728,1955,120,1744,501
BACAU,12118,1040,1610,3305,3103,125,2620,315
BIHOR,5449,330,925,1451,1282,95,810,556
BISTRITA,4356,181,572,1250,1243,72,793,245
BOTOSANI,3518,178,1039,924,607,61,565,144
BRAILA,5053,785,1195,1764,533,68,542,166
BRASOV,6148,978,1416,1507,944,85,714,504
BUZAU,9701,937,2223,3320,1304,105,1644,168
CALARASI,2924,331,739,1003,413,25,339,74
CARAS,3545,469,497,837,963,94,468,217
CLUJ,5967,696,835,1359,1301,164,957,655
CONSTANTA,7064,899,1074,1727,1774,79,963,548
COVASNA,4080,551,1529,908,629,36,318,109
DAMBOVITA,6139,422,1340,1950,1205,66,871,285
DOLJ,17416,2555,4168,4759,3510,238,1845,341
GALATI,10918,1254,2335,4111,1287,87,1448,396
GIURGIU,2315,249,490,765,556,23,166,66
GORJ,4564,0,561,1411,1238,85,938,331
HARGHITA,5577,819,1883,1049,946,75,670,135
HUNEDOARA,5615,228,615,1398,1749,133,951,541
IALOMITA,4316,342,964,1477,713,42,694,84
IASI,9214,603,1829,3038,844,80,2376,444
ILFOV,1453,109,377,252,335,12,186,182
MARAMURES,4132,98,772,873,1201,109,700,379
MEHEDINTI,6020,228,1181,2280,1349,127,762,93
MUN. BUC.,14891,27,141,2516,5099,314,2788,4006
MURES,6616,818,2158,1488,925,69,880,278
NEAMT,8154,666,1186,2648,1690,112,1540,312
OLT,8718,752,1107,3198,1930,138,1460,133
PRAHOVA,8103,600,1205,2097,1791,172,1629,609
SALAJ,5029,425,1600,1378,737,60,619,210
SATU M.,5011,639,1995,1422,451,26,364,114
SIBIU,4652,432,1228,1090,751,77,710,364
SUCEAVA,11106,1113,1889,3425,2059,150,2020,450
TELEORMAN,8934,682,1368,4219,1395,89,1057,124
TIMIS,4010,527,451,724,1048,81,608,571
TULCEA,2801,0,716,853,735,0,411,86
VALCEA,5681,177,535,1565,1715,130,1136,423
VASLUI,10072,420,2427,3901,1596,66,1551,111
VRANCEA,5824,370,1629,2047,913,60,663,142
Total general,276898,23192,53890,80621,56125,3891,43011,16168
