JUDET ,NUMAR TOTAL SOMERI ,NUMAR TOTAL SOMERI FEMEI  ,NUMAR TOTAL SOMERI BARBATI ,NUMAR TOTAL SOMERI DIN MEDIUL URBAN ,NUMAR SOMERI FEMEI DIN MEDIUL URBAN ,NUMAR SOMERI BARBATI DIN MEDIUL URBAN ,NUMAR TOTAL SOMERI DIN MEDIUL RURAL ,NUMAR SOMERI FEMEI DIN MEDIUL RURAL ,NUMAR SOMERI BARBATI DIN MEDIUL RURAL ,
 ALBA,5356,2430,2926,1921,973,948,3435,1457,1978,
 ARAD,2367,1215,1152,916,474,442,1451,741,710,
 ARGES,8094,3771,4323,1449,815,634,6645,2956,3689,
 BACAU,11107,4464,6643,2640,899,1741,8467,3565,4902,
 BIHOR,3972,2203,1769,1316,790,526,2656,1413,1243,
 BISTRITA-NASAUD,3482,1705,1777,1106,621,485,2376,1084,1292,
 BOTOSANI,3578,1529,2049,1238,613,625,2340,916,1424,
 BRAILA,4412,1796,2616,1150,563,587,3262,1233,2029,
 BRASOV,5148,2293,2855,1438,770,668,3710,1523,2187,
 BUZAU,11171,4508,6663,1922,959,963,9249,3549,5700,
 CALARASI,3200,1497,1703,725,348,377,2475,1149,1326,
 CARAS-SEVERIN,3351,1508,1843,1446,667,779,1905,841,1064,
 CLUJ,4465,2306,2159,1914,1127,787,2551,1179,1372,
 CONSTANTA,7213,4492,2721,3630,2577,1053,3583,1915,1668,
 COVASNA,2701,1194,1507,749,370,379,1952,824,1128,
 DAMBOVITA,6432,3073,3359,1130,608,522,5302,2465,2837,
 DOLJ,18067,7504,10563,2742,1423,1319,15325,6081,9244,
 GALATI,10414,4397,6017,1825,973,852,8589,3424,5165,
 GIURGIU,1624,844,780,347,207,140,1277,637,640,
 GORJ,4557,2134,2423,1350,728,622,3207,1406,1801,
 HARGHITA,5115,2213,2902,1492,756,736,3623,1457,2166,
 HUNEDOARA,5426,2783,2643,3600,1927,1673,1826,856,970,
 IALOMITA,4225,1807,2418,1230,599,631,2995,1208,1787,
 IASI,8011,3570,4441,1202,631,571,6809,2939,3870,
 ILFOV,776,451,325,228,139,89,548,312,236,
 MARAMURES,5062,2369,2693,2421,1093,1328,2641,1276,1365,
 MEHEDINTI,6960,2988,3972,1552,772,780,5408,2216,3192,
 MURES,6502,2828,3674,1260,644,616,5242,2184,3058,
 NEAMT,7610,3253,4357,1344,661,683,6266,2592,3674,
 OLT,8731,3791,4940,1948,1055,893,6783,2736,4047,
 PRAHOVA,7041,3429,3612,2369,1295,1074,4672,2134,2538,
 SALAJ,4325,1803,2522,837,449,388,3488,1354,2134,
 SATU MARE,3706,1625,2081,667,337,330,3039,1288,1751,
 SIBIU,3501,1590,1911,1117,561,556,2384,1029,1355,
 SUCEAVA,10937,4712,6225,2887,1404,1483,8050,3308,4742,
 TELEORMAN,9232,3774,5458,2063,986,1077,7169,2788,4381,
 TIMIS,2977,1591,1386,1444,817,627,1533,774,759,
 TULCEA,2842,1317,1525,804,453,351,2038,864,1174,
 VALCEA,4720,2310,2410,1589,871,718,3131,1439,1692,
 VASLUI,10318,4124,6194,1337,665,672,8981,3459,5522,
 VRANCEA,4998,2067,2931,991,476,515,4007,1591,2416,
BUCURESTI,15191,8044,7147,15191,8044,7147,0,0,0,
Total TARA ,258917,117302,141615,78527,41140,37387,180390,76162,104228,
