JUDET, Numar total someri , Numar total someri femei  , Numar total someri barbati  , Numar  someri indemnizati  , Numar someri neindemnizati ,  Rata somajului (%)  ,  Rata somajului Feminina (%)  ,  Rata somajului Masculina (%)  ,
ALBA ," 5,356     "," 2,430     "," 2,926     "," 1,811     "," 3,545     ", 3.18     , 3.14     , 3.23     ,
ARAD," 2,367     "," 1,215     "," 1,152     ", 858     ," 1,509     ", 1.11     , 1.27     , 0.97     ,
ARGES," 8,094     "," 3,771     "," 4,323     "," 2,437     "," 5,657     ", 3.12     , 3.07     , 3.16     ,
BACAU," 11,107     "," 4,464     "," 6,643     "," 1,778     "," 9,329     ", 5.24     , 4.89     , 5.50     ,
BIHOR," 3,972     "," 2,203     "," 1,769     "," 2,071     "," 1,901     ", 1.50     , 1.82     , 1.23     ,
BISTRITA NASAUD," 3,482     "," 1,705     "," 1,777     "," 1,625     "," 1,857     ", 2.70     , 2.99     , 2.47     ,
BOTOSANI," 3,578     "," 1,529     "," 2,049     ", 983     ," 2,595     ", 2.62     , 2.33     , 2.90     ,
BRAILA," 4,412     "," 1,796     "," 2,616     ", 697     ," 3,715     ", 3.59     , 3.24     , 3.87     ,
BRASOV," 5,148     "," 2,293     "," 2,855     ", 970     ," 4,178     ", 1.96     , 2.08     , 1.87     ,
BUZAU," 11,171     "," 4,508     "," 6,663     "," 1,273     "," 9,898     ", 6.51     , 5.65     , 7.25     ,
CALARASI," 3,200     "," 1,497     "," 1,703     ", 533     ," 2,667     ", 3.52     , 3.38     , 3.66     ,
CARA?-SEVERIN," 3,351     "," 1,508     "," 1,843     "," 1,008     "," 2,343     ", 3.14     , 3.25     , 3.05     ,
CLUJ," 4,465     "," 2,306     "," 2,159     "," 1,460     "," 3,005     ", 1.22     , 1.43     , 1.05     ,
CONSTANTA," 7,213     "," 4,492     "," 2,721     "," 3,482     "," 3,731     ", 2.47     , 3.57     , 1.63     ,
COVASNA," 2,701     "," 1,194     "," 1,507     ", 545     ," 2,156     ", 3.16     , 3.02     , 3.28     ,
DAMBOVITA," 6,432     "," 3,073     "," 3,359     ", 981     ," 5,451     ", 3.35     , 3.76     , 3.04     ,
DOLJ," 18,067     "," 7,504     "," 10,563     "," 2,230     "," 15,837     ", 6.79     , 6.33     , 7.16     ,
GALATI," 10,414     "," 4,397     "," 6,017     "," 1,428     "," 8,986     ", 5.48     , 5.07     , 5.82     ,
GIURGIU," 1,624     ", 844     , 780     , 390     ," 1,234     ", 2.00     , 2.23     , 1.80     ,
GORJ," 4,557     "," 2,134     "," 2,423     "," 1,507     "," 3,050     ", 3.36     , 3.46     , 3.27     ,
HARGHITA," 5,115     "," 2,213     "," 2,902     "," 1,320     "," 3,795     ", 3.80     , 3.73     , 3.85     ,
HUNEDOARA," 5,426     "," 2,783     "," 2,643     "," 2,585     "," 2,841     ", 3.15     , 3.39     , 2.93     ,
IALOMITA," 4,225     "," 1,807     "," 2,418     ", 966     ," 3,259     ", 4.52     , 4.21     , 4.78     ,
IASI," 8,011     "," 3,570     "," 4,441     ", 989     ," 7,022     ", 2.70     , 2.62     , 2.78     ,
ILFOV, 776     , 451     , 325     , 312     , 464     , 0.39     , 0.52     , 0.28     ,
MARAMURES," 5,062     "," 2,369     "," 2,693     "," 1,373     "," 3,689     ", 2.52     , 2.57     , 2.48     ,
MEHEDINTI," 6,960     "," 2,988     "," 3,972     "," 1,214     "," 5,746     ", 6.71     , 6.12     , 7.23     ,
MUN. BUC.," 15,191     "," 8,044     "," 7,147     "," 1,778     "," 13,413     ", 1.28     , 1.36     , 1.20     ,
MURES," 6,502     "," 2,828     "," 3,674     "," 1,132     "," 5,370     ", 2.76     , 2.73     , 2.79     ,
NEAMT," 7,610     "," 3,253     "," 4,357     "," 1,694     "," 5,916     ", 4.20     , 3.93     , 4.41     ,
OLT," 8,731     "," 3,791     "," 4,940     "," 1,622     "," 7,109     ", 5.40     , 5.10     , 5.65     ,
PRAHOVA," 7,041     "," 3,429     "," 3,612     "," 2,625     "," 4,416     ", 2.40     , 2.77     , 2.13     ,
SALAJ," 4,325     "," 1,803     "," 2,522     ", 866     ," 3,459     ", 4.22     , 4.02     , 4.37     ,
SATU M.," 3,706     "," 1,625     "," 2,081     ", 534     ," 3,172     ", 2.53     , 2.43     , 2.61     ,
SIBIU," 3,501     "," 1,590     "," 1,911     ", 964     ," 2,537     ", 1.78     , 1.83     , 1.75     ,
SUCEAVA," 10,937     "," 4,712     "," 6,225     "," 3,475     "," 7,462     ", 4.72     , 4.48     , 4.92     ,
TELEORMAN," 9,232     "," 3,774     "," 5,458     "," 1,264     "," 7,968     ", 6.43     , 5.37     , 7.45     ,
TIMIS," 2,977     "," 1,591     "," 1,386     "," 1,493     "," 1,484     ", 0.85     , 1.04     , 0.70     ,
TULCEA," 2,842     "," 1,317     "," 1,525     ", 806     ," 2,036     ", 3.46     , 3.45     , 3.47     ,
VALCEA," 4,720     "," 2,310     "," 2,410     "," 1,941     "," 2,779     ", 2.96     , 3.28     , 2.71     ,
VASLUI," 10,318     "," 4,124     "," 6,194     "," 1,251     "," 9,067     ", 7.66     , 6.43     , 8.77     ,
VRANCEA," 4,998     "," 2,067     "," 2,931     ", 807     ," 4,191     ", 3.68     , 3.29     , 4.02     ,
Total ," 258,917     "," 117,302     "," 141,615     "," 59,078     "," 199,839     ", 2.98     , 2.96     , 2.99     ,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
