judet ,TOTAL ,Sub 25 ani,25 - 29 ani,30 - 39 ani,40 - 49 ani,50 - 55 ani,peste 55 ani
ALBA,5356,630,314,1080,1470,932,930
ARAD,2367,344,108,290,636,475,514
ARGES,8094,734,429,1592,2288,1581,1470
BACAU,11107,1129,516,1755,3077,2132,2498
BIHOR,3972,410,218,731,1178,765,670
BISTRITA NASAUD,3482,517,184,653,825,661,642
BOTOSANI,3578,346,133,516,1002,714,867
BRAILA,4412,431,218,751,1274,699,1039
BRASOV,5148,650,316,1114,1274,868,926
BUZAU,11171,753,450,1898,3372,2126,2572
CALARASI,3200,325,135,666,857,581,636
CARAS-SEVERIN,3351,397,168,531,906,653,696
CLUJ,4465,567,261,884,1109,950,694
CONSTANTA,7213,652,283,1184,1987,1532,1575
COVASNA,2701,468,196,578,712,347,400
DAMBOVITA,6432,1048,367,1029,1491,1139,1358
DOLJ,18067,1576,936,3145,5267,3516,3627
GALATI,10414,748,374,1502,3191,2200,2399
GIURGIU,1624,175,57,265,391,350,386
GORJ,4557,460,162,717,1270,866,1082
HARGHITA,5115,790,338,1189,1328,747,723
HUNEDOARA,5426,565,397,1024,1480,1048,912
IALOMITA,4225,383,174,701,1186,824,957
IASI,8011,878,208,1098,2154,1575,2098
ILFOV,776,111,39,127,227,139,133
MARAMURES,5062,942,331,944,1285,867,693
MEHEDINTI,6960,551,216,1585,2416,1006,1186
MUNICIPIUL BUCURESTI,15191,220,1188,3774,4507,2956,2546
MURES,6502,1052,462,1500,1667,897,924
NEAMT,7610,856,348,1224,2124,1477,1581
OLT,8731,809,304,1248,2605,1811,1954
PRAHOVA,7041,669,247,1194,2110,1565,1256
SALAJ,4325,619,330,955,1069,693,659
SATU-MARE,3706,445,243,902,1074,516,526
SIBIU,3501,451,227,629,939,562,693
SUCEAVA,10937,1673,676,2054,2912,1676,1946
TELEORMAN,9232,847,472,1537,2478,1867,2031
TIMIS,2977,250,265,541,801,587,533
TULCEA,2842,412,132,436,858,570,434
VALCEA,4720,452,206,766,1360,1088,848
VASLUI ,10318,539,301,1630,3491,2144,2213
VRANCEA,4998,473,267,773,1350,1004,1131
TOTAL,258917,26347,13196,46712,72998,48706,50958
