JUDET, Numar total someri , Numar total someri femei  , Numar total someri barbati  , Numar  someri indemnizati  , Numar someri neindemnizati ,  Rata somajului (%)  ,  Rata somajului Feminina (%)  ,  Rata somajului Masculina (%)  ,
ALBA ," 5,432     "," 2,549     "," 2,883     "," 2,628     "," 2,804     ", 3.23     , 3.29     , 3.18     ,
ARAD," 3,327     "," 1,895     "," 1,432     "," 2,059     "," 1,268     ", 1.55     , 1.98     , 1.21     ,
ARGES," 9,412     "," 4,883     "," 4,529     "," 4,209     "," 5,203     ", 3.63     , 3.98     , 3.31     ,
BACAU," 10,454     "," 4,324     "," 6,130     "," 2,361     "," 8,093     ", 4.93     , 4.74     , 5.07     ,
BIHOR," 4,239     "," 2,566     "," 1,673     "," 2,994     "," 1,245     ", 1.60     , 2.12     , 1.16     ,
BISTRITA NASAUD," 3,307     "," 1,765     "," 1,542     "," 1,829     "," 1,478     ", 2.56     , 3.10     , 2.14     ,
BOTOSANI," 3,421     "," 1,641     "," 1,780     ", 967     ," 2,454     ", 2.51     , 2.50     , 2.52     ,
BRAILA," 4,508     "," 1,961     "," 2,547     ", 876     ," 3,632     ", 3.67     , 3.54     , 3.77     ,
BRASOV," 5,812     "," 2,793     "," 3,019     "," 1,834     "," 3,978     ", 2.21     , 2.53     , 1.98     ,
BUZAU," 11,506     "," 4,725     "," 6,781     "," 1,679     "," 9,827     ", 6.70     , 5.92     , 7.38     ,
CALARASI," 3,183     "," 1,615     "," 1,568     ", 692     ," 2,491     ", 3.51     , 3.65     , 3.37     ,
CARA?-SEVERIN," 3,319     "," 1,532     "," 1,787     "," 1,406     "," 1,913     ", 3.11     , 3.30     , 2.96     ,
CLUJ," 5,514     "," 3,085     "," 2,429     "," 2,640     "," 2,874     ", 1.51     , 1.92     , 1.18     ,
CONSTANTA," 6,497     "," 3,592     "," 2,905     "," 2,277     "," 4,220     ", 2.22     , 2.86     , 1.74     ,
COVASNA," 3,263     "," 1,572     "," 1,691     ", 810     ," 2,453     ", 3.82     , 3.98     , 3.68     ,
DAMBOVITA," 6,179     "," 2,916     "," 3,263     "," 1,414     "," 4,765     ", 3.22     , 3.57     , 2.96     ,
DOLJ," 18,996     "," 8,234     "," 10,762     "," 3,120     "," 15,876     ", 7.14     , 6.94     , 7.30     ,
GALATI," 10,768     "," 4,730     "," 6,038     "," 1,931     "," 8,837     ", 5.66     , 5.45     , 5.84     ,
GIURGIU," 1,944     "," 1,050     ", 894     , 591     ," 1,353     ", 2.39     , 2.77     , 2.06     ,
GORJ," 4,270     "," 2,111     "," 2,159     "," 1,826     "," 2,444     ", 3.14     , 3.42     , 2.91     ,
HARGHITA," 5,244     "," 2,451     "," 2,793     "," 1,590     "," 3,654     ", 3.89     , 4.13     , 3.70     ,
HUNEDOARA," 6,380     "," 3,635     "," 2,745     "," 3,703     "," 2,677     ", 3.70     , 4.43     , 3.05     ,
IALOMITA," 4,060     "," 1,896     "," 2,164     ", 979     ," 3,081     ", 4.34     , 4.42     , 4.28     ,
IASI," 8,446     "," 3,910     "," 4,536     "," 1,513     "," 6,933     ", 2.85     , 2.87     , 2.84     ,
ILFOV, 677     , 377     , 300     , 339     , 338     , 0.34     , 0.44     , 0.26     ,
MARAMURES," 4,536     "," 2,186     "," 2,350     "," 1,560     "," 2,976     ", 2.26     , 2.37     , 2.17     ,
MEHEDINTI," 6,328     "," 2,809     "," 3,519     "," 1,490     "," 4,838     ", 6.10     , 5.76     , 6.41     ,
MUN. BUC.," 15,241     "," 8,077     "," 7,164     "," 3,764     "," 11,477     ", 1.28     , 1.37     , 1.20     ,
MURES," 5,520     "," 2,580     "," 2,940     "," 1,625     "," 3,895     ", 2.35     , 2.49     , 2.23     ,
NEAMT," 6,286     "," 3,055     "," 3,231     "," 2,244     "," 4,042     ", 3.47     , 3.69     , 3.27     ,
OLT," 8,673     "," 3,955     "," 4,718     "," 1,765     "," 6,908     ", 5.36     , 5.32     , 5.40     ,
PRAHOVA," 7,888     "," 4,135     "," 3,753     "," 3,754     "," 4,134     ", 2.69     , 3.34     , 2.22     ,
SALAJ," 4,556     "," 2,061     "," 2,495     "," 1,222     "," 3,334     ", 4.44     , 4.60     , 4.32     ,
SATU M.," 4,659     "," 2,169     "," 2,490     ", 910     ," 3,749     ", 3.18     , 3.24     , 3.13     ,
SIBIU," 4,309     "," 2,086     "," 2,223     "," 1,918     "," 2,391     ", 2.20     , 2.40     , 2.03     ,
