judet ,TOTAL ,Sub 25 ani,25 - 29 ani,30 - 39 ani,40 - 49 ani,50 - 55 ani,peste 55 ani
ALBA,5469,993,477,889,1198,947,965
ARAD,2297,235,98,287,591,576,510
ARGES,7985,897,530,1408,1949,1655,1546
BACAU,4752,688,293,527,1122,1070,1052
BIHOR,3056,460,160,401,707,585,743
BISTRITA NASAUD,3980,741,245,461,870,698,965
BOTOSANI,3405,543,119,365,723,781,874
BRAILA,3400,485,192,469,813,552,889
BRASOV,6540,1698,573,1078,1271,938,982
BUZAU,7927,1050,313,1008,1779,1988,1789
CALARASI,3691,422,152,738,977,587,815
CARAS-SEVERIN,2153,253,106,291,487,481,535
CLUJ,3916,401,199,686,988,832,810
CONSTANTA,5289,1213,366,660,1022,672,1356
COVASNA,4295,1898,374,549,637,377,460
DAMBOVITA,4916,920,447,675,1059,863,952
DOLJ,16434,2533,1079,2392,3933,3330,3167
GALATI,9150,1196,514,1056,2274,1674,2436
GIURGIU,2262,624,196,251,425,396,370
GORJ,3783,629,179,483,798,871,823
HARGHITA,4651,1007,290,867,1043,759,685
HUNEDOARA,6316,848,527,957,1586,1372,1026
IALOMITA,3708,643,266,411,806,635,947
IASI,8687,1005,423,1248,2199,1391,2421
ILFOV,939,190,58,119,219,183,170
MARAMURES,3905,696,271,683,969,671,615
MEHEDINTI,5651,582,304,690,1396,1341,1338
MUNICIPIUL BUCURESTI,11592,242,944,2718,3063,2629,1996
MURES,5790,1663,518,886,1178,658,887
NEAMT,6370,507,262,884,1639,1472,1606
OLT,7055,914,767,934,1495,1520,1425
PRAHOVA,6443,1278,357,906,1443,1357,1102
SALAJ,4461,738,292,893,1096,741,701
SATU-MARE,4457,588,259,953,1253,737,667
SIBIU,4896,1055,351,927,1085,623,855
SUCEAVA,10051,1503,610,1811,2543,1476,2108
TELEORMAN,8623,1212,555,1247,1989,1776,1844
TIMIS,2757,545,133,471,586,423,599
TULCEA,2657,682,312,322,387,486,468
VALCEA,4393,810,308,521,923,990,841
VASLUI ,8065,349,195,1032,2402,2103,1984
VRANCEA,4378,665,194,688,960,920,951
TOTAL,230545,35601,14808,34842,53883,44136,47275
