JUDET, Numar total someri , Numar total someri femei  , Numar total someri barbati  , Numar  someri indemnizati  , Numar someri neindemnizati ,  Rata somajului (%)  ,  Rata somajului Feminina (%)  ,  Rata somajului Masculina (%)  ,
ALBA ," 5,469     "," 2,718     "," 2,751     "," 1,458     "," 4,011     ", 3.47     , 3.82     , 3.18     ,
ARAD," 2,297     "," 1,248     "," 1,049     ", 887     ," 1,410     ", 1.18     , 1.50     , 0.94     ,
ARGES," 7,985     "," 3,902     "," 4,083     "," 1,649     "," 6,336     ", 3.42     , 3.61     , 3.26     ,
BACAU," 4,752     "," 2,148     "," 2,604     "," 1,224     "," 3,528     ", 2.50     , 2.66     , 2.39     ,
BIHOR," 3,056     "," 1,723     "," 1,333     "," 1,411     "," 1,645     ", 1.28     , 1.65     , 1.00     ,
BISTRITA NASAUD," 3,980     "," 2,047     "," 1,933     "," 1,228     "," 2,752     ", 3.44     , 4.16     , 2.90     ,
BOTOSANI," 3,405     "," 1,648     "," 1,757     ", 533     ," 2,872     ", 3.05     , 3.23     , 2.90     ,
BRAILA," 3,400     "," 1,526     "," 1,874     ", 312     ," 3,088     ", 3.09     , 3.02     , 3.15     ,
BRASOV," 6,540     "," 3,367     "," 3,173     ", 691     ," 5,849     ", 2.52     , 2.96     , 2.18     ,
BUZAU," 7,927     "," 3,473     "," 4,454     ", 995     ," 6,932     ", 5.45     , 5.53     , 5.39     ,
CALARASI," 3,691     "," 1,767     "," 1,924     ", 439     ," 3,252     ", 4.84     , 5.12     , 4.60     ,
CARA?-SEVERIN," 2,153     "," 1,019     "," 1,134     ", 739     ," 1,414     ", 2.31     , 2.57     , 2.12     ,
CLUJ," 3,916     "," 2,017     "," 1,899     ", 980     ," 2,936     ", 1.08     , 1.25     , 0.95     ,
CONSTANTA," 5,289     "," 3,057     "," 2,232     "," 1,221     "," 4,068     ", 1.89     , 2.53     , 1.40     ,
COVASNA," 4,295     "," 2,180     "," 2,115     ", 445     ," 3,850     ", 5.35     , 6.07     , 4.76     ,
DAMBOVITA," 4,916     "," 2,623     "," 2,293     ", 995     ," 3,921     ", 2.88     , 3.76     , 2.28     ,
DOLJ," 16,434     "," 7,382     "," 9,052     "," 1,384     "," 15,050     ", 7.12     , 7.27     , 7.01     ,
GALATI," 9,150     "," 4,065     "," 5,085     ", 882     ," 8,268     ", 5.44     , 5.36     , 5.50     ,
GIURGIU," 2,262     "," 1,207     "," 1,055     ", 287     ," 1,975     ", 3.40     , 4.15     , 2.81     ,
GORJ," 3,783     "," 1,967     "," 1,816     ", 840     ," 2,943     ", 3.09     , 3.55     , 2.71     ,
HARGHITA," 4,651     "," 2,129     "," 2,522     ", 979     ," 3,672     ", 3.78     , 4.09     , 3.54     ,
HUNEDOARA," 6,316     "," 3,406     "," 2,910     "," 1,919     "," 4,397     ", 4.05     , 4.68     , 3.51     ,
IALOMITA," 3,708     "," 1,826     "," 1,882     ", 547     ," 3,161     ", 4.66     , 5.14     , 4.28     ,
IASI," 8,687     "," 4,012     "," 4,675     ", 694     ," 7,993     ", 3.15     , 3.19     , 3.11     ,
ILFOV, 939     , 546     , 393     , 299     , 640     , 0.44     , 0.63     , 0.31     ,
MARAMURES," 3,905     "," 2,106     "," 1,799     "," 1,234     "," 2,671     ", 2.18     , 2.66     , 1.81     ,
MEHEDINTI," 5,651     "," 2,515     "," 3,136     ", 686     ," 4,965     ", 6.62     , 6.55     , 6.69     ,
MUN. BUC.," 11,592     "," 6,762     "," 4,830     "," 1,182     "," 10,410     ", 0.92     , 1.06     , 0.77     ,
MURES," 5,790     "," 2,749     "," 3,041     ", 919     ," 4,871     ", 2.71     , 3.06     , 2.46     ,
NEAMT," 6,370     "," 2,776     "," 3,594     "," 1,086     "," 5,284     ", 4.11     , 4.02     , 4.19     ,
OLT," 7,055     "," 3,268     "," 3,787     ", 762     ," 6,293     ", 5.28     , 5.62     , 5.01     ,
PRAHOVA," 6,443     "," 3,387     "," 3,056     "," 1,749     "," 4,694     ", 2.36     , 3.00     , 1.91     ,
SALAJ," 4,461     "," 2,015     "," 2,446     ", 827     ," 3,634     ", 4.81     , 5.08     , 4.62     ,
SATU MARE," 4,457     "," 2,045     "," 2,412     ", 633     ," 3,824     ", 3.41     , 3.44     , 3.38     ,
SIBIU," 4,896     "," 2,595     "," 2,301     ", 804     ," 4,092     ", 2.56     , 3.03     , 2.18     ,
SUCEAVA," 10,051     "," 4,455     "," 5,596     "," 2,247     "," 7,804     ", 5.12     , 5.19     , 5.07     ,
TELEORMAN," 8,623     "," 3,657     "," 4,966     "," 1,034     "," 7,589     ", 7.80     , 7.24     , 8.26     ,
