JUDET, Numar total someri , Numar total someri femei  , Numar total someri barbati  , Numar  someri indemnizati  , Numar someri neindemnizati ,  Rata somajului (%)  ,  Rata somajului Feminina (%)  ,  Rata somajului Masculina (%)  ,
ALBA ," 5,397     "," 2,700     "," 2,697     "," 1,428     "," 3,969     ", 3.42     , 3.80     , 3.11     ,
ARAD," 2,305     "," 1,246     "," 1,059     ", 867     ," 1,438     ", 1.19     , 1.50     , 0.95     ,
ARGES," 8,068     "," 3,971     "," 4,097     "," 1,628     "," 6,440     ", 3.46     , 3.67     , 3.27     ,
BACAU," 4,670     "," 2,078     "," 2,592     "," 1,219     "," 3,451     ", 2.46     , 2.57     , 2.38     ,
BIHOR," 3,038     "," 1,710     "," 1,328     "," 1,394     "," 1,644     ", 1.28     , 1.64     , 1.00     ,
BISTRITA NASAUD," 4,028     "," 2,097     "," 1,931     "," 1,161     "," 2,867     ", 3.48     , 4.26     , 2.90     ,
BOTOSANI," 3,333     "," 1,637     "," 1,696     ", 541     ," 2,792     ", 2.99     , 3.21     , 2.80     ,
BRAILA," 3,468     "," 1,567     "," 1,901     ", 375     ," 3,093     ", 3.15     , 3.10     , 3.19     ,
BRASOV," 6,390     "," 3,274     "," 3,116     ", 731     ," 5,659     ", 2.46     , 2.87     , 2.14     ,
BUZAU," 7,595     "," 3,284     "," 4,311     "," 1,004     "," 6,591     ", 5.22     , 5.23     , 5.22     ,
CALARASI," 3,677     "," 1,772     "," 1,905     ", 343     ," 3,334     ", 4.82     , 5.14     , 4.56     ,
CARA?-SEVERIN," 2,233     "," 1,044     "," 1,189     ", 796     ," 1,437     ", 2.40     , 2.63     , 2.22     ,
CLUJ," 3,999     "," 2,092     "," 1,907     ", 999     ," 3,000     ", 1.11     , 1.30     , 0.95     ,
CONSTANTA," 5,084     "," 2,984     "," 2,100     "," 1,174     "," 3,910     ", 1.82     , 2.47     , 1.32     ,
COVASNA," 4,260     "," 2,127     "," 2,133     ", 455     ," 3,805     ", 5.31     , 5.92     , 4.80     ,
DAMBOVITA," 4,890     "," 2,588     "," 2,302     ", 984     ," 3,906     ", 2.87     , 3.71     , 2.29     ,
DOLJ," 16,381     "," 7,310     "," 9,071     "," 1,354     "," 15,027     ", 7.10     , 7.19     , 7.02     ,
GALATI," 8,621     "," 3,837     "," 4,784     ", 899     ," 7,722     ", 5.12     , 5.06     , 5.17     ,
GIURGIU," 2,154     "," 1,147     "," 1,007     ", 298     ," 1,856     ", 3.23     , 3.94     , 2.69     ,
GORJ," 3,740     "," 1,919     "," 1,821     ", 869     ," 2,871     ", 3.06     , 3.46     , 2.72     ,
HARGHITA," 4,574     "," 2,110     "," 2,464     ", 936     ," 3,638     ", 3.71     , 4.06     , 3.46     ,
HUNEDOARA," 6,681     "," 3,639     "," 3,042     "," 2,121     "," 4,560     ", 4.29     , 5.00     , 3.67     ,
IALOMITA," 3,698     "," 1,829     "," 1,869     ", 535     ," 3,163     ", 4.65     , 5.15     , 4.25     ,
IASI," 8,490     "," 3,923     "," 4,567     ", 714     ," 7,776     ", 3.08     , 3.12     , 3.04     ,
ILFOV, 969     , 570     , 399     , 298     , 671     , 0.45     , 0.66     , 0.32     ,
MARAMURES," 4,014     "," 2,171     "," 1,843     "," 1,222     "," 2,792     ", 2.24     , 2.74     , 1.85     ,
MEHEDINTI," 5,664     "," 2,478     "," 3,186     ", 719     ," 4,945     ", 6.64     , 6.45     , 6.79     ,
MUN. BUC.," 11,600     "," 6,717     "," 4,883     "," 1,257     "," 10,343     ", 0.92     , 1.06     , 0.78     ,
MURES," 5,743     "," 2,738     "," 3,005     ", 946     ," 4,797     ", 2.69     , 3.05     , 2.43     ,
NEAMT," 6,477     "," 2,865     "," 3,612     "," 1,148     "," 5,329     ", 4.18     , 4.15     , 4.21     ,
OLT," 7,038     "," 3,257     "," 3,781     ", 755     ," 6,283     ", 5.26     , 5.61     , 5.00     ,
PRAHOVA," 6,592     "," 3,472     "," 3,120     "," 1,798     "," 4,794     ", 2.41     , 3.08     , 1.95     ,
SALAJ," 4,446     "," 2,043     "," 2,403     ", 860     ," 3,586     ", 4.80     , 5.15     , 4.53     ,
SATU MARE," 4,490     "," 2,071     "," 2,419     ", 600     ," 3,890     ", 3.43     , 3.49     , 3.39     ,
SIBIU," 4,852     "," 2,520     "," 2,332     ", 776     ," 4,076     ", 2.54     , 2.94     , 2.21     ,
