judet ,TOTAL ,Sub 25 ani,25 - 29 ani,30 - 39 ani,40 - 49 ani,50 - 55 ani,peste 55 ani
ALBA,5397,1047,481,843,1147,944,935
ARAD,2305,231,83,277,618,579,517
ARGES,8068,1008,561,1407,1936,1616,1540
BACAU,4670,729,291,521,1104,999,1026
BIHOR,3038,440,165,402,695,595,741
BISTRITA NASAUD,4028,799,257,452,856,669,995
BOTOSANI,3333,526,128,342,696,752,889
BRAILA,3468,521,201,470,805,562,909
BRASOV,6390,1664,554,1001,1268,887,1016
BUZAU,7595,738,301,995,1775,1911,1875
CALARASI,3677,503,183,742,954,550,745
CARAS-SEVERIN,2233,283,101,301,500,474,574
CLUJ,3999,414,198,711,1026,821,829
CONSTANTA,5084,1155,355,639,970,644,1321
COVASNA,4260,1886,371,529,636,455,383
DAMBOVITA,4890,976,457,675,1013,872,897
DOLJ,16381,2557,1114,2343,3936,3304,3127
GALATI,8621,1238,467,996,2111,1541,2268
GIURGIU,2154,584,174,237,412,365,382
GORJ,3740,626,172,472,784,856,830
HARGHITA,4574,999,291,866,1022,720,676
HUNEDOARA,6681,905,540,983,1698,1454,1101
IALOMITA,3698,617,259,436,806,635,945
IASI,8490,953,388,1236,2146,1354,2413
ILFOV,969,217,56,119,210,182,185
MARAMURES,4014,868,285,670,937,668,586
MEHEDINTI,5664,586,277,694,1381,1343,1383
MUNICIPIUL BUCURESTI,11600,258,945,2720,3061,2628,1988
MURES,5743,1688,517,878,1161,622,877
NEAMT,6477,515,258,909,1678,1489,1628
OLT,7038,781,708,902,1503,1559,1585
PRAHOVA,6592,1407,381,906,1442,1350,1106
SALAJ,4446,691,276,892,1107,747,733
SATU-MARE,4490,610,260,940,1252,764,664
SIBIU,4852,1090,331,897,1070,614,850
SUCEAVA,10111,1563,616,1822,2517,1496,2097
TELEORMAN,8026,1249,564,1148,1770,1571,1724
TIMIS,2755,456,132,483,638,415,631
TULCEA,2689,707,294,329,433,479,447
VALCEA,4551,1027,282,523,904,956,859
VASLUI ,8083,405,186,1020,2363,2080,2029
VRANCEA,4415,717,201,670,949,916,962
TOTAL,229289,36234,14661,34398,53290,43438,47268
