JUDET  ,"Total someri, din care: ",fara studii,invatamant primar ,invatamant gimnazial ,invatamant liceal,invatamant posticeal,invatamant profesional/arte si meserii,invatamant universitar
ALBA ,5397,326,891,1831,1294,42,799,214
ARAD,2305,470,256,621,505,31,267,155
ARGES,8068,406,2138,2710,1308,79,1175,252
BACAU,4670,293,857,1656,875,41,735,213
BIHOR,3038,247,605,772,729,51,401,233
BISTRITA,4028,274,519,1361,992,62,627,193
BOTOSANI,3333,123,577,1344,638,54,482,115
BRAILA,3468,475,787,1246,440,43,386,91
BRASOV,6390,750,1759,2082,947,40,578,234
BUZAU,7595,809,1828,2679,967,32,1177,103
CALARASI,3677,516,1034,1209,573,27,267,51
CARAS,2233,250,351,574,629,36,273,120
CLUJ,3999,653,714,1027,605,84,588,328
CONSTANTA,5084,756,912,1174,1383,60,546,253
COVASNA,4260,413,1253,872,1159,28,470,65
DAMBOVITA,4890,350,1008,1656,1100,45,602,129
DOLJ,16381,1009,4770,5310,3231,118,1644,299
GALATI,8621,1101,1891,3279,1141,56,955,198
GIURGIU,2154,256,323,790,620,4,130,31
GORJ,3740,0,446,1021,1177,85,807,204
HARGHITA,4574,799,1329,944,877,53,457,115
HUNEDOARA,6681,463,818,1802,1899,119,1083,497
IALOMITA,3698,418,818,1376,503,22,520,41
IASI,8490,454,1696,2762,988,71,1996,523
ILFOV,969,124,259,258,170,8,75,75
MARAMURES,4014,142,855,1113,840,82,632,350
MEHEDINTI,5664,599,980,2232,1116,45,606,86
MUN. BUC.,11600,19,66,2017,3829,231,2044,3394
MURES,5743,717,1750,1442,960,53,637,184
NEAMT,6477,546,1118,2310,850,47,1428,178
OLT,7038,577,797,2668,1556,87,1232,121
PRAHOVA,6592,413,1050,1831,1539,77,1299,383
SALAJ,4446,518,1372,1258,620,38,532,108
SATU M.,4490,725,1763,1315,315,17,286,69
SIBIU,4852,347,1396,1124,787,42,616,540
SUCEAVA,10111,936,2230,3440,1501,109,1581,314
TELEORMAN,8026,679,1410,3580,1435,40,780,102
TIMIS,2755,276,273,639,749,40,370,408
TULCEA,2689,0,252,1197,676,0,425,139
VALCEA,4551,156,553,1270,1431,49,883,209
VASLUI,8083,363,1857,3731,904,26,1136,66
VRANCEA,4415,295,1268,1628,746,37,383,58
Total general,229289,19043,46829,73151,44604,2311,31910,11441
