JUDET, Numar total someri , Numar total someri femei  , Numar total someri barbati  , Numar  someri indemnizati  , Numar someri neindemnizati ,  Rata somajului (%)  ,  Rata somajului Feminina (%)  ,  Rata somajului Masculina (%)  ,
ALBA ," 4,581     "," 2,209     "," 2,372     "," 1,064     "," 3,517     ", 2.71     , 2.82     , 2.61     ,
ARAD," 2,311     "," 1,225     "," 1,086     ", 767     ," 1,544     ", 1.10     , 1.26     , 0.96     ,
ARGES," 7,820     "," 3,824     "," 3,996     "," 1,681     "," 6,139     ", 3.06     , 3.19     , 2.94     ,
BACAU," 5,969     "," 2,573     "," 3,396     "," 1,163     "," 4,806     ", 2.78     , 2.73     , 2.81     ,
BIHOR," 2,721     "," 1,461     "," 1,260     ", 944     ," 1,777     ", 1.03     , 1.22     , 0.87     ,
BISTRITA NASAUD," 4,043     "," 2,008     "," 2,035     "," 1,379     "," 2,664     ", 3.12     , 3.55     , 2.79     ,
BOTOSANI," 3,326     "," 1,602     "," 1,724     ", 516     ," 2,810     ", 2.43     , 2.50     , 2.37     ,
BRAILA," 3,331     "," 1,419     "," 1,912     ", 325     ," 3,006     ", 2.73     , 2.61     , 2.83     ,
BRASOV," 5,259     "," 2,628     "," 2,631     ", 710     ," 4,549     ", 2.01     , 2.35     , 1.76     ,
BUZAU," 8,580     "," 3,713     "," 4,867     ", 936     ," 7,644     ", 5.01     , 4.71     , 5.27     ,
CALARASI," 3,304     "," 1,590     "," 1,714     ", 309     ," 2,995     ", 3.66     , 3.66     , 3.65     ,
CARA?-SEVERIN," 2,292     "," 1,061     "," 1,231     ", 823     ," 1,469     ", 2.16     , 2.31     , 2.05     ,
CLUJ," 4,013     "," 2,054     "," 1,959     ", 879     ," 3,134     ", 1.07     , 1.25     , 0.93     ,
CONSTANTA," 4,742     "," 2,619     "," 2,123     ", 881     ," 3,861     ", 1.60     , 2.04     , 1.27     ,
COVASNA," 3,477     "," 1,740     "," 1,737     ", 339     ," 3,138     ", 4.08     , 4.38     , 3.82     ,
DAMBOVITA," 5,106     "," 2,564     "," 2,542     ", 775     ," 4,331     ", 2.64     , 3.22     , 2.23     ,
DOLJ," 14,795     "," 6,374     "," 8,421     "," 1,329     "," 13,466     ", 5.54     , 5.29     , 5.75     ,
GALATI," 10,817     "," 4,917     "," 5,900     ", 847     ," 9,970     ", 5.75     , 5.81     , 5.71     ,
GIURGIU," 2,027     "," 1,115     ", 912     , 256     ," 1,771     ", 2.51     , 3.01     , 2.08     ,
GORJ," 3,751     "," 1,833     "," 1,918     ", 892     ," 2,859     ", 2.77     , 2.93     , 2.63     ,
HARGHITA," 4,501     "," 2,111     "," 2,390     ", 744     ," 3,757     ", 3.31     , 3.58     , 3.10     ,
HUNEDOARA," 5,690     "," 3,117     "," 2,573     "," 1,808     "," 3,882     ", 3.33     , 3.93     , 2.81     ,
IALOMITA," 3,411     "," 1,603     "," 1,808     ", 476     ," 2,935     ", 3.66     , 3.76     , 3.57     ,
IASI," 7,955     "," 3,533     "," 4,422     ", 644     ," 7,311     ", 2.67     , 2.60     , 2.73     ,
ILFOV, 903     , 515     , 388     , 258     , 645     , 0.43     , 0.58     , 0.32     ,
MARAMURES," 3,170     "," 1,619     "," 1,551     ", 889     ," 2,281     ", 1.59     , 1.78     , 1.42     ,
MEHEDINTI," 5,077     "," 2,160     "," 2,917     ", 626     ," 4,451     ", 5.03     , 4.59     , 5.41     ,
MUN. BUC.," 13,386     "," 7,023     "," 6,363     "," 1,216     "," 12,170     ", 1.09     , 1.15     , 1.03     ,
MURES," 5,682     "," 2,644     "," 3,038     ", 840     ," 4,842     ", 2.41     , 2.62     , 2.26     ,
NEAMT," 5,486     "," 2,453     "," 3,033     ", 797     ," 4,689     ", 3.03     , 3.05     , 3.01     ,
OLT," 7,356     "," 3,273     "," 4,083     ", 730     ," 6,626     ", 4.59     , 4.51     , 4.65     ,
PRAHOVA," 5,806     "," 2,951     "," 2,855     "," 1,505     "," 4,301     ", 1.99     , 2.42     , 1.69     ,
SALAJ," 4,343     "," 1,930     "," 2,413     ", 589     ," 3,754     ", 4.17     , 4.22     , 4.13     ,
SATU M.," 4,377     "," 1,991     "," 2,386     ", 409     ," 3,968     ", 3.00     , 2.95     , 3.04     ,
SIBIU," 3,362     "," 1,590     "," 1,772     ", 751     ," 2,611     ", 1.71     , 1.85     , 1.60     ,
SUCEAVA," 10,071     "," 4,427     "," 5,644     "," 2,226     "," 7,845     ", 4.38     , 4.26     , 4.48     ,
TELEORMAN," 7,914     "," 3,334     "," 4,580     ", 800     ," 7,114     ", 5.67     , 5.00     , 6.29     ,
TIMIS," 2,745     "," 1,431     "," 1,314     ", 917     ," 1,828     ", 0.78     , 0.92     , 0.67     ,
TULCEA," 2,477     "," 1,269     "," 1,208     ", 412     ," 2,065     ", 3.00     , 3.32     , 2.71     ,
VALCEA," 4,226     "," 2,129     "," 2,097     "," 1,471     "," 2,755     ", 2.61     , 2.99     , 2.31     ,
VASLUI," 8,281     "," 3,461     "," 4,820     ", 625     ," 7,656     ", 6.31     , 5.37     , 7.23     ,
VRANCEA," 4,996     "," 2,223     "," 2,773     ", 460     ," 4,536     ", 3.66     , 3.48     , 3.82     ,
Total ," 223,480     "," 105,316     "," 118,164     "," 36,008     "," 187,472     ", 2.56     , 2.65     , 2.48     ,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
