judet ,TOTAL ,Sub 25 ani,25 - 29 ani,30 - 39 ani,40 - 49 ani,50 - 55 ani,peste 55 ani
ALBA,6736,645,394,1363,1844,1315,1175
ARAD,4077,437,192,654,1165,926,703
ARGES,9843,752,516,1829,2849,2170,1727
BACAU,12021,1450,831,2037,2938,2291,2474
BIHOR,5822,635,349,1193,1739,968,938
BISTRITA NASAUD,4368,681,253,747,1114,834,739
BOTOSANI,4108,483,148,558,1118,826,975
BRAILA,5389,615,240,861,1539,949,1185
BRASOV,6608,822,433,1406,1669,1174,1104
BUZAU,13102,1220,560,2144,3680,2653,2845
CALARASI,3610,446,167,682,935,692,688
CARAS-SEVERIN,3547,444,170,594,937,697,705
CLUJ,6407,714,390,1214,1700,1415,974
CONSTANTA,8330,908,344,1342,2240,1792,1704
COVASNA,4303,870,305,910,1083,583,552
DAMBOVITA,5775,800,290,961,1439,1112,1173
DOLJ,18848,1812,991,3216,5378,3787,3664
GALATI,11856,1039,435,1719,3565,2550,2548
GIURGIU,2062,295,102,312,488,438,427
GORJ,5121,602,299,784,1351,1154,931
HARGHITA,6303,1013,329,1300,1719,1108,834
HUNEDOARA,5426,565,397,1024,1480,1048,912
IALOMITA,4732,512,192,715,1341,924,1048
IASI,9708,932,265,1429,2736,1994,2352
ILFOV,1466,347,148,259,313,215,184
MARAMURES,3991,897,279,693,962,713,447
MEHEDINTI,6281,556,386,1296,2031,937,1075
MUNICIPIUL BUCURESTI,15074,302,1354,3609,4356,3074,2379
MURES,6241,1039,414,1227,1672,906,983
NEAMT,9252,1021,386,1458,2585,1890,1912
OLT,9546,1022,344,1353,2703,2062,2062
PRAHOVA,8445,934,350,1472,2401,1762,1526
SALAJ,5326,851,326,1126,1346,922,755
SATU-MARE,5516,756,373,1218,1591,826,752
SIBIU,5301,549,328,1084,1473,896,971
SUCEAVA,10635,1877,582,1838,2743,1735,1860
TELEORMAN,9267,902,448,1517,2512,1983,1905
TIMIS,4497,462,248,809,1175,929,874
TULCEA,2634,349,176,438,730,549,392
VALCEA,5656,772,236,791,1489,1341,1027
VASLUI ,9367,649,299,1409,2989,2142,1879
VRANCEA,5619,705,322,913,1368,1182,1129
TOTAL,292216,32682,15591,51504,80486,57464,54489
