JUDET ,NUMAR TOTAL SOMERI ,NUMAR TOTAL SOMERI FEMEI  ,NUMAR TOTAL SOMERI BARBATI ,NUMAR TOTAL SOMERI DIN MEDIUL URBAN ,NUMAR SOMERI FEMEI DIN MEDIUL URBAN ,NUMAR SOMERI BARBATI DIN MEDIUL URBAN ,NUMAR TOTAL SOMERI DIN MEDIUL RURAL ,NUMAR SOMERI FEMEI DIN MEDIUL RURAL ,NUMAR SOMERI BARBATI DIN MEDIUL RURAL ,
 ALBA,4787,2329,2458,1507,818,689,3280,1511,1769,
 ARAD,3115,1649,1466,1206,673,533,1909,976,933,
 ARGES,8117,3923,4194,1502,873,629,6615,3050,3565,
 BACAU,11530,4748,6782,2405,1124,1281,9125,3624,5501,
 BIHOR,3510,1875,1635,1069,641,428,2441,1234,1207,
 BISTRITA-NASAUD,4014,2084,1930,1322,758,564,2692,1326,1366,
 BOTOSANI,2778,1290,1488,885,435,450,1893,855,1038,
 BRAILA,3660,1532,2128,913,484,429,2747,1048,1699,
 BRASOV,5538,2560,2978,1867,984,883,3671,1576,2095,
 BUZAU,8341,3497,4844,1705,878,827,6636,2619,4017,
 CALARASI,2851,1347,1504,786,350,436,2065,997,1068,
 CARAS-SEVERIN,2344,1088,1256,974,464,510,1370,624,746,
 CLUJ,4431,2313,2118,1866,1145,721,2565,1168,1397,
 CONSTANTA,6241,3801,2440,2916,2009,907,3325,1792,1533,
 COVASNA,3112,1473,1639,882,471,411,2230,1002,1228,
 DAMBOVITA,4619,2191,2428,740,405,335,3879,1786,2093,
 DOLJ,15112,6446,8666,2302,1268,1034,12810,5178,7632,
 GALATI,10275,4486,5789,1732,935,797,8543,3551,4992,
 GIURGIU,1957,1024,933,461,300,161,1496,724,772,
 GORJ,4313,2080,2233,1291,756,535,3022,1324,1698,
 HARGHITA,4370,2053,2317,1304,670,634,3066,1383,1683,
 HUNEDOARA,5968,2886,3082,4134,2048,2086,1834,838,996,
 IALOMITA,3954,1788,2166,1116,549,567,2838,1239,1599,
 IASI,7923,3512,4411,1254,678,576,6669,2834,3835,
 ILFOV,524,324,200,226,154,72,298,170,128,
 MARAMURES,3772,1987,1785,2122,1147,975,1650,840,810,
 MEHEDINTI,5734,2430,3304,1012,524,488,4722,1906,2816,
 MURES,5348,2492,2856,1394,745,649,3954,1747,2207,
 NEAMT,6653,2996,3657,1148,629,519,5505,2367,3138,
 OLT,7833,3484,4349,1906,940,966,5927,2544,3383,
 PRAHOVA,5959,3044,2915,2004,1169,835,3955,1875,2080,
 SALAJ,4500,1981,2519,845,473,372,3655,1508,2147,
 SATU MARE,4480,2038,2442,785,401,384,3695,1637,2058,
 SIBIU,3520,1641,1879,1243,641,602,2277,1000,1277,
 SUCEAVA,10187,4470,5717,2704,1327,1377,7483,3143,4340,
 TELEORMAN,8611,3584,5027,1894,896,998,6717,2688,4029,
 TIMIS,2634,1457,1177,1166,695,471,1468,762,706,
 TULCEA,2402,1193,1209,632,353,279,1770,840,930,
 VALCEA,4651,2306,2345,1496,841,655,3155,1465,1690,
 VASLUI,8908,3702,5206,1238,667,571,7670,3035,4635,
 VRANCEA,5231,2272,2959,935,471,464,4296,1801,2495,
BUCURESTI,14080,7497,6583,14080,7497,6583,0,0,0,
Total TARA ,237887,110873,127014,72969,39286,33683,164918,71587,93331,
