JUDET, Numar total someri , Numar total someri femei  , Numar total someri barbati  , Numar  someri indemnizati  , Numar someri neindemnizati ,  Rata somajului (%)  ,  Rata somajului Feminina (%)  ,  Rata somajului Masculina (%)  ,
ALBA ," 4,787     "," 2,329     "," 2,458     "," 1,573     "," 3,214     ", 2.83     , 2.98     , 2.70     ,
ARAD," 3,115     "," 1,649     "," 1,466     "," 1,162     "," 1,953     ", 1.49     , 1.70     , 1.30     ,
ARGES," 8,117     "," 3,923     "," 4,194     "," 2,532     "," 5,585     ", 3.17     , 3.27     , 3.09     ,
BACAU," 11,530     "," 4,748     "," 6,782     "," 1,607     "," 9,923     ", 5.36     , 5.04     , 5.61     ,
BIHOR," 3,510     "," 1,875     "," 1,635     "," 1,601     "," 1,909     ", 1.32     , 1.57     , 1.12     ,
BISTRITA NASAUD," 4,014     "," 2,084     "," 1,930     "," 1,548     "," 2,466     ", 3.10     , 3.69     , 2.64     ,
BOTOSANI," 2,778     "," 1,290     "," 1,488     ", 695     ," 2,083     ", 2.03     , 2.01     , 2.05     ,
BRAILA," 3,660     "," 1,532     "," 2,128     ", 613     ," 3,047     ", 3.00     , 2.82     , 3.15     ,
BRASOV," 5,538     "," 2,560     "," 2,978     "," 1,031     "," 4,507     ", 2.12     , 2.29     , 1.99     ,
BUZAU," 8,341     "," 3,497     "," 4,844     "," 1,469     "," 6,872     ", 4.87     , 4.44     , 5.24     ,
CALARASI," 2,851     "," 1,347     "," 1,504     ", 495     ," 2,356     ", 3.16     , 3.10     , 3.21     ,
CARA?-SEVERIN," 2,344     "," 1,088     "," 1,256     "," 1,167     "," 1,177     ", 2.21     , 2.37     , 2.09     ,
CLUJ," 4,431     "," 2,313     "," 2,118     "," 1,376     "," 3,055     ", 1.18     , 1.41     , 1.01     ,
CONSTANTA," 6,241     "," 3,801     "," 2,440     "," 2,492     "," 3,749     ", 2.11     , 2.96     , 1.46     ,
COVASNA," 3,112     "," 1,473     "," 1,639     ", 542     ," 2,570     ", 3.65     , 3.71     , 3.60     ,
DAMBOVITA," 4,619     "," 2,191     "," 2,428     "," 1,265     "," 3,354     ", 2.39     , 2.75     , 2.13     ,
DOLJ," 15,112     "," 6,446     "," 8,666     "," 2,102     "," 13,010     ", 5.66     , 5.35     , 5.92     ,
GALATI," 10,275     "," 4,486     "," 5,789     "," 1,358     "," 8,917     ", 5.47     , 5.30     , 5.60     ,
GIURGIU," 1,957     "," 1,024     ", 933     , 427     ," 1,530     ", 2.42     , 2.77     , 2.13     ,
GORJ," 4,313     "," 2,080     "," 2,233     "," 1,563     "," 2,750     ", 3.18     , 3.33     , 3.06     ,
HARGHITA," 4,370     "," 2,053     "," 2,317     "," 1,097     "," 3,273     ", 3.21     , 3.48     , 3.01     ,
HUNEDOARA," 5,968     "," 2,886     "," 3,082     "," 2,920     "," 3,048     ", 3.49     , 3.63     , 3.36     ,
IALOMITA," 3,954     "," 1,788     "," 2,166     ", 826     ," 3,128     ", 4.24     , 4.20     , 4.28     ,
IASI," 7,923     "," 3,512     "," 4,411     "," 1,035     "," 6,888     ", 2.66     , 2.58     , 2.72     ,
ILFOV, 524     , 324     , 200     , 443     , 81     , 0.25     , 0.36     , 0.16     ,
MARAMURES," 3,772     "," 1,987     "," 1,785     "," 1,440     "," 2,332     ", 1.89     , 2.18     , 1.64     ,
MEHEDINTI," 5,734     "," 2,430     "," 3,304     ", 967     ," 4,767     ", 5.68     , 5.16     , 6.13     ,
MUN. BUC.," 14,080     "," 7,497     "," 6,583     "," 2,346     "," 11,734     ", 1.15     , 1.23     , 1.07     ,
MURES," 5,348     "," 2,492     "," 2,856     "," 1,293     "," 4,055     ", 2.27     , 2.46     , 2.13     ,
NEAMT," 6,653     "," 2,996     "," 3,657     "," 1,331     "," 5,322     ", 3.67     , 3.72     , 3.63     ,
OLT," 7,833     "," 3,484     "," 4,349     "," 1,398     "," 6,435     ", 4.89     , 4.81     , 4.95     ,
PRAHOVA," 5,959     "," 3,044     "," 2,915     "," 2,232     "," 3,727     ", 2.04     , 2.50     , 1.72     ,
SALAJ," 4,500     "," 1,981     "," 2,519     ", 947     ," 3,553     ", 4.32     , 4.33     , 4.31     ,
SATU M.," 4,480     "," 2,038     "," 2,442     ", 624     ," 3,856     ", 3.07     , 3.01     , 3.11     ,
SIBIU," 3,520     "," 1,641     "," 1,879     "," 1,137     "," 2,383     ", 1.79     , 1.91     , 1.70     ,
SUCEAVA," 10,187     "," 4,470     "," 5,717     "," 2,862     "," 7,325     ", 4.43     , 4.30     , 4.54     ,
TELEORMAN," 8,611     "," 3,584     "," 5,027     "," 1,277     "," 7,334     ", 6.17     , 5.37     , 6.91     ,
