judet ,TOTAL ,Sub 25 ani,25 - 29 ani,30 - 39 ani,40 - 49 ani,50 - 55 ani,peste 55 ani
ALBA,4787,550,310,891,1244,909,883
ARAD,3115,610,104,385,725,600,691
ARGES,8117,795,459,1433,2184,1746,1500
BACAU,11530,1354,514,1767,2933,2286,2676
BIHOR,3510,364,152,602,946,646,800
BISTRITA NASAUD,4014,696,201,533,949,850,785
BOTOSANI,2778,325,81,327,669,591,785
BRAILA,3660,356,138,545,965,736,920
BRASOV,5538,1228,286,1028,1219,882,895
BUZAU,8341,813,316,1136,2294,1930,1852
CALARASI,2851,375,109,531,740,499,597
CARAS-SEVERIN,2344,293,78,322,594,513,544
CLUJ,4431,490,213,816,1119,927,866
CONSTANTA,6241,834,199,931,1519,1207,1551
COVASNA,3112,729,281,559,726,427,390
DAMBOVITA,4619,561,231,656,1066,1048,1057
DOLJ,15112,1505,791,2388,4121,3201,3106
GALATI,10275,1222,525,1265,2787,2287,2189
GIURGIU,1957,379,102,257,393,379,447
GORJ,4313,567,192,535,1022,1062,935
HARGHITA,4370,815,249,904,1067,708,627
HUNEDOARA,5968,559,286,882,1693,1542,1006
IALOMITA,3954,516,168,514,1013,744,999
IASI,7923,771,251,997,2142,1713,2049
ILFOV,524,14,9,81,170,151,99
MARAMURES,3772,777,226,637,884,674,574
MEHEDINTI,5734,431,208,809,1582,1328,1376
MUNICIPIUL BUCURESTI,14080,278,1284,3189,3851,3162,2316
MURES,5348,1088,355,993,1350,734,828
NEAMT,6653,730,261,919,1818,1415,1510
OLT,7833,893,403,1102,1944,1761,1730
PRAHOVA,5959,794,210,842,1561,1411,1141
SALAJ,4500,794,294,908,1101,722,681
SATU-MARE,4480,650,302,1002,1264,655,607
SIBIU,3520,502,198,666,929,563,662
SUCEAVA,10187,1992,571,1806,2484,1568,1766
TELEORMAN,8611,888,433,1436,2155,1890,1809
TIMIS,2634,402,112,338,695,560,527
TULCEA,2402,296,108,351,689,563,395
VALCEA,4651,579,226,664,1175,1108,899
VASLUI ,8908,473,250,1236,2604,2131,2214
VRANCEA,5231,661,250,836,1279,1096,1109
TOTAL,237887,28949,11936,38019,61665,48925,48393
