JUDET  ,"Total someri, din care: ",fara studii,invatamant primar ,invatamant gimnazial ,invatamant liceal,invatamant posticeal,invatamant profesional/arte si meserii,invatamant universitar
ALBA ,4787,389,772,1606,1067,47,666,240
ARAD,3115,527,428,729,874,43,305,209
ARGES,8117,437,1845,2507,1493,120,1375,340
BACAU,11530,540,2894,4006,2618,76,1120,276
BIHOR,3510,311,775,833,727,68,444,352
BISTRITA,4014,236,616,1106,1061,53,689,253
BOTOSANI,2778,94,651,983,492,29,433,96
BRAILA,3660,642,862,1191,386,58,392,129
BRASOV,5538,800,1361,1319,1259,52,444,303
BUZAU,8341,836,1894,2752,1321,76,1339,123
CALARASI,2851,318,720,931,491,25,314,52
CARAS,2344,304,325,479,689,55,344,148
CLUJ,4431,627,743,1039,815,89,705,413
CONSTANTA,6241,806,967,1561,1604,84,848,371
COVASNA,3112,467,1191,657,465,24,235,73
DAMBOVITA,4619,424,995,1534,817,33,644,172
DOLJ,15112,751,4791,4553,2995,124,1528,370
GALATI,10275,1094,2393,3869,1267,75,1254,323
GIURGIU,1957,163,459,677,455,16,130,57
GORJ,4313,0,430,1335,1277,84,875,312
HARGHITA,4370,760,1358,855,777,48,438,134
HUNEDOARA,5968,321,696,1410,1655,190,1112,584
IALOMITA,3954,341,955,1364,617,28,577,72
IASI,7923,584,1584,2532,1138,65,1748,272
ILFOV,524,16,39,104,174,2,87,102
MARAMURES,3772,125,1012,765,965,109,551,245
MEHEDINTI,5734,639,1083,2203,978,71,658,102
MUN. BUC.,14080,21,143,2537,5150,443,2436,3350
MURES,5348,760,1950,1083,715,58,560,222
NEAMT,6653,615,1065,2263,1239,69,1200,202
OLT,7833,650,865,2835,1910,96,1319,158
PRAHOVA,5959,568,983,1557,1228,103,1107,413
SALAJ,4500,430,1459,1166,736,54,474,181
SATU M.,4480,698,1778,1327,314,19,269,75
SIBIU,3520,346,1062,740,594,43,502,233
SUCEAVA,10187,1051,2030,3098,1893,140,1658,317
TELEORMAN,8611,668,1469,3993,1313,56,980,132
TIMIS,2634,292,237,492,791,42,383,397
TULCEA,2402,0,660,697,627,0,352,66
VALCEA,4651,175,484,1308,1259,102,1041,282
VASLUI,8908,383,2186,3644,1271,49,1271,104
VRANCEA,5231,344,1526,1829,814,83,541,94
Total general,237887,19553,49736,71469,48331,3101,33348,12349
