JUDET, Numar total someri , Numar total someri femei  , Numar total someri barbati  , Numar  someri indemnizati  , Numar someri neindemnizati ,  Rata somajului (%)  ,  Rata somajului Feminina (%)  ,  Rata somajului Masculina (%)  ,
ALBA ," 5,797     "," 2,721     "," 3,076     "," 1,410     "," 4,387     ", 3.85     , 3.93     , 3.78     ,
ARAD," 2,178     "," 1,120     "," 1,058     ", 937     ," 1,241     ", 1.15     , 1.35     , 0.99     ,
ARGES," 8,114     "," 3,821     "," 4,293     "," 1,792     "," 6,322     ", 3.58     , 3.70     , 3.47     ,
BACAU," 5,337     "," 2,351     "," 2,986     "," 1,390     "," 3,947     ", 2.88     , 2.99     , 2.80     ,
BIHOR," 2,844     "," 1,540     "," 1,304     "," 1,097     "," 1,747     ", 1.22     , 1.48     , 1.00     ,
BISTRITA NASAUD," 3,722     "," 1,858     "," 1,864     "," 1,562     "," 2,160     ", 3.31     , 3.82     , 2.93     ,
BOTOSANI," 3,384     "," 1,536     "," 1,848     ", 784     ," 2,600     ", 3.14     , 3.10     , 3.18     ,
BRAILA," 3,532     "," 1,570     "," 1,962     ", 419     ," 3,113     ", 3.28     , 3.26     , 3.30     ,
BRASOV," 5,833     "," 2,791     "," 3,042     ", 714     ," 5,119     ", 2.32     , 2.55     , 2.14     ,
BUZAU," 7,657     "," 3,225     "," 4,432     ", 902     ," 6,755     ", 5.40     , 5.10     , 5.63     ,
CALARASI," 3,642     "," 1,737     "," 1,905     ", 428     ," 3,214     ", 4.97     , 5.31     , 4.69     ,
CARA?-SEVERIN," 2,416     "," 1,126     "," 1,290     ", 900     ," 1,516     ", 2.66     , 3.00     , 2.42     ,
CLUJ," 4,322     "," 2,202     "," 2,120     "," 1,001     "," 3,321     ", 1.23     , 1.43     , 1.08     ,
CONSTANTA," 6,302     "," 3,989     "," 2,313     "," 2,489     "," 3,813     ", 2.31     , 3.48     , 1.46     ,
COVASNA," 3,212     "," 1,497     "," 1,715     ", 392     ," 2,820     ", 4.13     , 4.39     , 3.92     ,
DAMBOVITA," 5,004     "," 2,618     "," 2,386     "," 1,019     "," 3,985     ", 3.04     , 4.02     , 2.40     ,
DOLJ," 16,799     "," 7,275     "," 9,524     "," 1,586     "," 15,213     ", 7.47     , 7.39     , 7.53     ,
GALATI," 10,158     "," 4,633     "," 5,525     "," 1,046     "," 9,112     ", 6.13     , 6.36     , 5.95     ,
GIURGIU," 2,204     "," 1,213     ", 991     , 285     ," 1,919     ", 3.42     , 4.29     , 2.74     ,
GORJ," 4,308     "," 2,127     "," 2,181     "," 1,054     "," 3,254     ", 3.61     , 3.87     , 3.38     ,
HARGHITA," 5,409     "," 2,432     "," 2,977     "," 1,289     "," 4,120     ", 4.56     , 4.89     , 4.33     ,
HUNEDOARA," 6,170     "," 3,292     "," 2,878     "," 2,006     "," 4,164     ", 3.97     , 4.74     , 3.34     ,
IALOMITA," 3,970     "," 1,908     "," 2,062     ", 621     ," 3,349     ", 5.09     , 5.51     , 4.75     ,
IASI," 8,475     "," 3,773     "," 4,702     ", 858     ," 7,617     ", 3.16     , 3.08     , 3.23     ,
ILFOV, 887     , 525     , 362     , 239     , 648     , 0.43     , 0.64     , 0.29     ,
MARAMURES," 3,453     "," 1,780     "," 1,673     "," 1,144     "," 2,309     ", 1.97     , 2.25     , 1.73     ,
MEHEDINTI," 5,783     "," 2,513     "," 3,270     ", 795     ," 4,988     ", 7.00     , 7.00     , 7.00     ,
MUN. BUC.," 12,798     "," 6,575     "," 6,223     "," 1,188     "," 11,610     ", 1.04     , 1.07     , 1.02     ,
