judet ,TOTAL ,Sub 25 ani,25 - 29 ani,30 - 39 ani,40 - 49 ani,50 - 55 ani,peste 55 ani
ALBA,5482,531,318,1107,1548,1000,978
ARAD,2201,244,117,267,615,459,499
ARGES,8136,678,422,1579,2334,1626,1497
BACAU,11332,1014,497,1728,3151,2311,2631
BIHOR,3839,345,199,749,1144,752,650
BISTRITA NASAUD,3517,514,182,663,832,673,653
BOTOSANI,3371,276,112,492,957,682,852
BRAILA,4355,398,193,743,1260,721,1040
BRASOV,5029,555,306,1112,1266,872,918
BUZAU,11099,720,438,1888,3336,2129,2588
CALARASI,3136,307,128,645,844,564,648
CARAS-SEVERIN,3324,360,169,531,932,634,698
CLUJ,4357,476,287,893,1132,829,740
CONSTANTA,7048,564,286,1167,1930,1530,1571
COVASNA,2656,441,200,562,722,343,388
DAMBOVITA,6364,858,396,1044,1526,1162,1378
DOLJ,17999,1512,928,3115,5219,3541,3684
GALATI,10323,682,343,1483,3193,2218,2404
GIURGIU,1599,178,58,255,381,347,380
GORJ,4392,373,158,706,1233,866,1056
HARGHITA,4977,734,327,1182,1272,736,726
HUNEDOARA,5546,540,343,1021,1606,1139,897
IALOMITA,4243,354,172,719,1197,849,952
IASI,8106,824,204,1134,2233,1593,2118
ILFOV,777,105,34,135,235,138,130
MARAMURES,4713,795,347,884,1242,795,650
MEHEDINTI,7005,546,230,1590,2427,1017,1195
MUNICIPIUL BUCURESTI,15050,196,1166,3735,4459,2965,2529
MURES,6400,972,452,1473,1647,925,931
NEAMT,7604,795,323,1257,2139,1504,1586
OLT,8503,731,305,1186,2533,1805,1943
PRAHOVA,6854,599,237,1180,2069,1528,1241
SALAJ,4381,581,320,963,1114,741,662
SATU-MARE,3733,439,247,903,1070,535,539
SIBIU,3529,452,236,636,950,567,688
SUCEAVA,10871,1531,695,2046,2959,1695,1945
TELEORMAN,9696,794,501,1668,2687,1986,2060
TIMIS,2681,227,102,536,775,553,488
TULCEA,2856,400,127,445,751,665,468
VALCEA,4553,377,195,738,1376,1026,841
VASLUI ,10208,456,296,1609,3438,2083,2326
VRANCEA,4898,422,230,781,1350,1000,1115
TOTAL,256743,23896,12826,46550,73084,49104,51283
