JUDET, Numar total someri , Numar total someri femei  , Numar total someri barbati  , Numar  someri indemnizati  , Numar someri neindemnizati ,  Rata somajului (%)  ,  Rata somajului Feminina (%)  ,  Rata somajului Masculina (%)  ,
ALBA ," 5,482     "," 2,441     "," 3,041     "," 1,918     "," 3,564     ", 3.26     , 3.15     , 3.35     ,
ARAD," 2,201     "," 1,121     "," 1,080     ", 792     ," 1,409     ", 1.03     , 1.17     , 0.91     ,
ARGES," 8,136     "," 3,881     "," 4,255     "," 2,478     "," 5,658     ", 3.13     , 3.16     , 3.11     ,
BACAU," 11,332     "," 4,569     "," 6,763     "," 1,776     "," 9,556     ", 5.35     , 5.01     , 5.60     ,
BIHOR," 3,839     "," 2,118     "," 1,721     "," 1,898     "," 1,941     ", 1.45     , 1.75     , 1.19     ,
BISTRITA NASAUD," 3,517     "," 1,721     "," 1,796     "," 1,581     "," 1,936     ", 2.73     , 3.02     , 2.49     ,
BOTOSANI," 3,371     "," 1,460     "," 1,911     ", 876     ," 2,495     ", 2.47     , 2.22     , 2.70     ,
BRAILA," 4,355     "," 1,773     "," 2,582     ", 660     ," 3,695     ", 3.54     , 3.20     , 3.82     ,
BRASOV," 5,029     "," 2,266     "," 2,763     ", 942     ," 4,087     ", 1.91     , 2.05     , 1.81     ,
BUZAU," 11,099     "," 4,473     "," 6,626     "," 1,230     "," 9,869     ", 6.46     , 5.61     , 7.21     ,
CALARASI," 3,136     "," 1,488     "," 1,648     ", 472     ," 2,664     ", 3.45     , 3.36     , 3.54     ,
CARA?-SEVERIN," 3,324     "," 1,514     "," 1,810     ", 987     ," 2,337     ", 3.11     , 3.26     , 3.00     ,
CLUJ," 4,357     "," 2,258     "," 2,099     "," 1,401     "," 2,956     ", 1.19     , 1.40     , 1.02     ,
CONSTANTA," 7,048     "," 4,392     "," 2,656     "," 3,352     "," 3,696     ", 2.41     , 3.49     , 1.59     ,
COVASNA," 2,656     "," 1,167     "," 1,489     ", 500     ," 2,156     ", 3.11     , 2.95     , 3.24     ,
DAMBOVITA," 6,364     "," 3,025     "," 3,339     ", 964     ," 5,400     ", 3.31     , 3.70     , 3.02     ,
DOLJ," 17,999     "," 7,516     "," 10,483     "," 2,177     "," 15,822     ", 6.76     , 6.34     , 7.11     ,
GALATI," 10,323     "," 4,363     "," 5,960     "," 1,346     "," 8,977     ", 5.43     , 5.03     , 5.76     ,
GIURGIU," 1,599     ", 820     , 779     , 348     ," 1,251     ", 1.97     , 2.16     , 1.79     ,
GORJ," 4,392     "," 2,054     "," 2,338     "," 1,380     "," 3,012     ", 3.23     , 3.33     , 3.16     ,
HARGHITA," 4,977     "," 2,143     "," 2,834     "," 1,189     "," 3,788     ", 3.69     , 3.61     , 3.76     ,
HUNEDOARA," 5,546     "," 2,873     "," 2,673     "," 2,431     "," 3,115     ", 3.22     , 3.50     , 2.97     ,
IALOMITA," 4,243     "," 1,851     "," 2,392     ", 942     ," 3,301     ", 4.54     , 4.31     , 4.73     ,
IASI," 8,106     "," 3,554     "," 4,552     ", 937     ," 7,169     ", 2.74     , 2.61     , 2.85     ,
ILFOV, 777     , 449     , 328     , 303     , 474     , 0.39     , 0.52     , 0.29     ,
MARAMURES," 4,713     "," 2,244     "," 2,469     "," 1,278     "," 3,435     ", 2.35     , 2.43     , 2.28     ,
MEHEDINTI," 7,005     "," 3,000     "," 4,005     "," 1,237     "," 5,768     ", 6.76     , 6.15     , 7.30     ,
MUN. BUC.," 15,050     "," 7,937     "," 7,113     "," 1,731     "," 13,319     ", 1.27     , 1.34     , 1.19     ,
MURES," 6,400     "," 2,790     "," 3,610     "," 1,092     "," 5,308     ", 2.72     , 2.70     , 2.74     ,
NEAMT," 7,604     "," 3,244     "," 4,360     "," 1,555     "," 6,049     ", 4.19     , 3.92     , 4.42     ,
OLT," 8,503     "," 3,662     "," 4,841     "," 1,489     "," 7,014     ", 5.26     , 4.92     , 5.54     ,
PRAHOVA," 6,854     "," 3,380     "," 3,474     "," 2,472     "," 4,382     ", 2.34     , 2.73     , 2.05     ,
SALAJ," 4,381     "," 1,858     "," 2,523     ", 916     ," 3,465     ", 4.27     , 4.15     , 4.37     ,
SATU M.," 3,733     "," 1,626     "," 2,107     ", 505     ," 3,228     ", 2.55     , 2.43     , 2.65     ,
SIBIU," 3,529     "," 1,590     "," 1,939     ", 930     ," 2,599     ", 1.80     , 1.83     , 1.77     ,
SUCEAVA," 10,871     "," 4,677     "," 6,194     "," 3,301     "," 7,570     ", 4.69     , 4.45     , 4.90     ,
TELEORMAN," 9,696     "," 4,158     "," 5,538     "," 1,587     "," 8,109     ", 6.75     , 5.91     , 7.56     ,
TIMIS," 2,681     "," 1,404     "," 1,277     "," 1,384     "," 1,297     ", 0.76     , 0.92     , 0.64     ,
TULCEA," 2,856     "," 1,357     "," 1,499     ", 782     ," 2,074     ", 3.47     , 3.55     , 3.41     ,
VALCEA," 4,553     "," 2,272     "," 2,281     "," 1,793     "," 2,760     ", 2.85     , 3.22     , 2.56     ,
VASLUI," 10,208     "," 4,077     "," 6,131     "," 1,158     "," 9,050     ", 7.58     , 6.36     , 8.68     ,
VRANCEA," 4,898     "," 2,038     "," 2,860     ", 746     ," 4,152     ", 3.60     , 3.24     , 3.92     ,
Total ," 256,743     "," 116,604     "," 140,139     "," 56,836     "," 199,907     ", 2.95     , 2.94     , 2.96     ,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
