judet ,TOTAL ,Sub 25 ani,25 - 29 ani,30 - 39 ani,40 - 49 ani,50 - 55 ani,peste 55 ani
ALBA,5429,685,414,1032,1362,995,941
ARAD,1666,250,79,222,409,353,353
ARGES,8254,838,510,1428,2217,1737,1524
BACAU,6850,990,345,912,1644,1403,1556
BIHOR,3348,392,178,540,857,639,742
BISTRITA NASAUD,4093,615,206,566,987,884,835
BOTOSANI,2896,309,98,329,707,654,799
BRAILA,3613,338,142,533,965,732,903
BRASOV,4902,703,319,972,1177,877,854
BUZAU,8195,699,335,1147,2283,1975,1756
CALARASI,2866,427,124,577,743,463,532
CARAS-SEVERIN,2414,286,85,336,600,557,550
CLUJ,4473,493,229,829,1132,913,877
CONSTANTA,6117,576,236,910,1610,1222,1563
COVASNA,3359,856,392,569,718,435,389
DAMBOVITA,4601,602,290,646,1047,1020,996
DOLJ,15649,1598,898,2476,4195,3293,3189
GALATI,10710,1450,663,1296,2784,2320,2197
GIURGIU,1906,295,123,235,413,506,334
GORJ,4256,465,200,571,1066,1058,896
HARGHITA,4842,886,293,966,1231,789,677
HUNEDOARA,6723,639,387,1024,1860,1721,1092
IALOMITA,4163,531,217,533,1062,821,999
IASI,8155,853,322,1037,2157,1766,2020
ILFOV,789,60,30,123,238,182,156
MARAMURES,3564,717,247,587,849,624,540
MEHEDINTI,5592,404,201,834,1539,1309,1305
MUNICIPIUL BUCURESTI,13919,249,1314,3142,3788,3115,2311
MURES,5238,1053,374,936,1326,754,795
NEAMT,5895,644,236,805,1585,1298,1327
OLT,7556,696,261,953,2008,1702,1936
PRAHOVA,5970,824,260,848,1542,1387,1109
SALAJ,4450,704,306,910,1141,710,679
SATU-MARE,4661,687,293,1060,1305,686,630
SIBIU,3602,448,238,704,963,578,671
SUCEAVA,10263,1582,632,1883,2665,1689,1812
TELEORMAN,8804,850,470,1437,2213,1941,1893
TIMIS,2734,341,199,415,735,542,502
TULCEA,2404,298,137,291,664,567,447
VALCEA,4963,657,301,658,1199,1155,993
VASLUI ,8951,522,262,1217,2708,2167,2075
VRANCEA,5237,680,288,825,1261,1088,1095
TOTAL,234072,27192,13134,37314,60955,48627,46850
