JUDET  ,"Total someri, din care: ",fara studii,invatamant primar ,invatamant gimnazial ,invatamant liceal,invatamant posticeal,invatamant profesional/arte si meserii,invatamant universitar
ALBA ,4815,420,736,1516,1126,51,677,289
ARAD,3540,593,521,785,954,52,375,260
ARGES,8254,536,1878,2428,1556,103,1368,385
BACAU,11881,556,2961,4059,2758,80,1163,304
BIHOR,3864,346,785,981,844,70,458,380
BISTRITA,4044,210,527,1078,1194,59,717,259
BOTOSANI,2944,155,798,797,596,39,456,103
BRAILA,3932,698,950,1270,406,65,404,139
BRASOV,5934,877,1377,1319,1460,52,499,350
BUZAU,9373,929,2197,3108,1477,69,1468,125
CALARASI,3030,312,666,926,580,34,394,118
CARAS,3036,408,435,678,891,60,399,165
CLUJ,4756,586,713,1101,937,110,786,523
CONSTANTA,5360,807,898,1240,1420,69,582,344
COVASNA,3472,513,1346,691,511,30,283,98
DAMBOVITA,5412,436,1115,1744,1117,38,746,216
DOLJ,15452,742,4902,4509,3222,148,1548,381
GALATI,10780,1213,2241,3941,1629,71,1333,352
GIURGIU,2151,238,427,719,532,21,155,59
GORJ,4218,0,425,1297,1325,71,818,282
HARGHITA,4665,760,1400,867,928,67,463,180
HUNEDOARA,6275,287,711,1470,1832,207,1142,626
IALOMITA,4009,332,902,1344,730,36,598,67
IASI,8533,599,1795,2823,713,65,2178,360
ILFOV,1113,97,281,166,302,7,130,130
MARAMURES,4460,141,893,760,1628,116,626,296
MEHEDINTI,5793,600,941,2168,1095,78,800,111
MUN. BUC.,14445,21,139,2538,5162,446,2653,3486
MURES,5606,760,1777,1094,958,66,682,269
NEAMT,6935,622,1062,2282,1422,83,1221,243
OLT,8106,675,996,2915,1772,147,1439,162
PRAHOVA,6384,560,987,1630,1449,108,1187,463
SALAJ,4663,413,1488,1196,776,50,527,213
SATU M.,4568,627,1823,1326,361,21,311,99
SIBIU,3617,351,970,756,720,57,518,245
SUCEAVA,10098,1031,1917,2909,2142,116,1672,311
TELEORMAN,8713,534,1606,3837,1502,66,1015,153
TIMIS,3011,294,213,563,966,44,477,454
TULCEA,2336,0,650,658,647,0,309,72
VALCEA,4877,183,469,1298,1531,100,971,325
VASLUI,8896,375,2057,3543,1443,46,1314,118
VRANCEA,5800,362,1554,1857,1237,83,602,105
Total general,249151,20199,50529,72187,53851,3301,35464,13620
