judet ,TOTAL ,Sub 25 ani,25 - 29 ani,30 - 39 ani,40 - 49 ani,50 - 55 ani,peste 55 ani
ALBA,4815,564,270,909,1236,895,941
ARAD,3540,594,116,431,879,674,846
ARGES,8254,757,416,1452,2269,1816,1544
BACAU,11881,1420,542,1819,2986,2335,2779
BIHOR,3864,390,175,714,1083,675,827
BISTRITA NASAUD,4044,824,181,527,934,827,751
BOTOSANI,2944,397,82,334,720,596,815
BRAILA,3932,393,150,591,1063,759,976
BRASOV,5934,1376,281,1060,1270,965,982
BUZAU,9373,975,315,1302,2515,2126,2140
CALARASI,3030,386,116,578,789,562,599
CARAS-SEVERIN,3036,458,110,407,775,635,651
CLUJ,4756,583,227,851,1169,1024,902
CONSTANTA,5360,941,179,816,1196,1003,1225
COVASNA,3472,751,249,686,826,508,452
DAMBOVITA,5412,707,292,769,1268,1223,1153
DOLJ,15452,1398,692,2500,4348,3313,3201
GALATI,10780,1449,325,1326,2924,2126,2630
GIURGIU,2151,446,96,276,450,436,447
GORJ,4218,656,143,518,990,1042,869
HARGHITA,4665,984,242,897,1123,767,652
HUNEDOARA,6275,683,294,925,1763,1581,1029
IALOMITA,4009,624,145,514,999,737,990
IASI,8533,726,217,1112,2402,1858,2218
ILFOV,1113,134,29,167,337,247,199
MARAMURES,4460,1470,242,660,892,650,546
MEHEDINTI,5793,480,209,829,1567,1347,1361
MUNICIPIUL BUCURESTI,14445,297,1318,3239,4036,3171,2384
MURES,5606,1145,310,1075,1459,753,864
NEAMT,6935,883,271,937,1848,1430,1566
OLT,8106,1084,327,1068,2046,1762,1819
PRAHOVA,6384,865,197,954,1666,1495,1207
SALAJ,4663,843,276,957,1136,750,701
SATU-MARE,4568,685,286,992,1287,690,628
SIBIU,3617,562,180,640,974,565,696
SUCEAVA,10098,2228,559,1738,2408,1458,1707
TELEORMAN,8713,1040,479,1453,2146,1836,1759
TIMIS,3011,541,111,428,724,627,580
TULCEA,2336,354,89,289,631,576,397
VALCEA,4877,809,185,674,1191,1115,903
VASLUI ,8896,552,226,1157,2732,1926,2303
VRANCEA,5800,1063,247,849,1340,1138,1163
TOTAL,249151,33517,11396,39420,64397,50019,50402
