judet ,TOTAL ,Sub 25 ani,25 - 29 ani,30 - 39 ani,40 - 49 ani,50 - 55 ani,peste 55 ani
ALBA,4671,393,270,914,1323,859,912
ARAD,2882,845,103,315,613,463,543
ARGES,7414,660,399,1416,2079,1385,1475
BACAU,10802,918,994,1638,2647,2278,2327
BIHOR,3348,283,179,625,905,706,650
BISTRITA NASAUD,3273,320,183,610,878,667,615
BOTOSANI,3604,309,140,522,1098,662,873
BRAILA,4503,426,212,803,1335,666,1061
BRASOV,5777,952,363,1171,1350,921,1020
BUZAU,11430,882,472,1983,3377,2081,2635
CALARASI,3270,382,156,642,855,568,667
CARAS-SEVERIN,3130,278,151,496,881,625,699
CLUJ,4509,462,254,836,1200,877,880
CONSTANTA,5656,933,238,960,1377,964,1184
COVASNA,2611,458,192,547,642,340,432
DAMBOVITA,6613,1272,270,919,1516,1142,1494
DOLJ,18278,1434,954,3254,5539,3453,3644
GALATI,10823,895,347,1588,3326,2143,2524
GIURGIU,1783,306,91,265,376,340,405
GORJ,4693,482,175,734,1297,844,1161
HARGHITA,4910,746,313,1078,1289,709,775
HUNEDOARA,5614,481,301,924,1833,1044,1031
IALOMITA,4570,359,189,780,1348,864,1030
IASI,8545,846,226,1220,2357,1698,2198
ILFOV,913,135,40,177,264,127,170
MARAMURES,6394,1238,358,1189,1708,1068,833
MEHEDINTI,7013,309,198,1631,2565,1082,1228
MUNICIPIUL BUCURESTI,15525,144,1350,3928,4589,2836,2678
MURES,6043,820,378,1446,1621,871,907
NEAMT,7274,838,352,1197,2050,1344,1493
OLT,8691,783,327,1328,2575,1698,1980
PRAHOVA,6444,509,258,1107,1937,1350,1283
SALAJ,4119,606,277,895,1033,665,643
SATU-MARE,3364,411,208,835,946,459,505
SIBIU,3283,341,180,632,899,544,687
SUCEAVA,10657,1956,669,1924,2795,1512,1801
TELEORMAN,9570,746,503,1607,2665,1937,2112
TIMIS,2920,319,141,537,838,536,549
TULCEA,2430,407,106,410,720,459,328
VALCEA,4838,684,241,803,1372,984,754
VASLUI ,10151,423,309,1757,3395,2079,2188
VRANCEA,5245,721,247,831,1316,959,1171
TOTAL,257583,26712,13314,46474,72729,46809,51545
