JUDET, Numar total someri , Numar total someri femei  , Numar total someri barbati  , Numar  someri indemnizati  , Numar someri neindemnizati ,  Rata somajului (%)  ,  Rata somajului Feminina (%)  ,  Rata somajului Masculina (%)  ,
ALBA ," 4,671     "," 2,096     "," 2,575     "," 1,332     "," 3,339     ", 2.78     , 2.74     , 2.81     ,
ARAD," 2,882     "," 1,458     "," 1,424     ", 683     ," 2,199     ", 2.78     , 2.74     , 2.81     ,
ARGES," 7,414     "," 3,517     "," 3,897     "," 1,669     "," 5,745     ", 2.78     , 2.74     , 2.81     ,
BACAU," 10,802     "," 4,301     "," 6,501     "," 1,387     "," 9,415     ", 2.78     , 2.74     , 2.81     ,
BIHOR," 3,348     "," 1,745     "," 1,603     "," 1,314     "," 2,034     ", 2.78     , 2.74     , 2.81     ,
BISTRITA NASAUD," 3,273     "," 1,665     "," 1,608     "," 1,411     "," 1,862     ", 2.78     , 2.74     , 2.81     ,
BOTOSANI," 3,604     "," 1,617     "," 1,987     ", 694     ," 2,910     ", 2.78     , 2.74     , 2.81     ,
BRAILA," 4,503     "," 1,792     "," 2,711     ", 540     ," 3,963     ", 2.78     , 2.74     , 2.81     ,
BRASOV," 5,777     "," 2,657     "," 3,120     ", 844     ," 4,933     ", 2.78     , 2.74     , 2.81     ,
BUZAU," 11,430     "," 4,678     "," 6,752     "," 1,090     "," 10,340     ", 2.78     , 2.74     , 2.81     ,
CALARASI," 3,270     "," 1,576     "," 1,694     ", 396     ," 2,874     ", 2.78     , 2.74     , 2.81     ,
CARA?-SEVERIN," 3,130     "," 1,406     "," 1,724     ", 843     ," 2,287     ", 2.78     , 2.74     , 2.81     ,
CLUJ," 4,509     "," 2,301     "," 2,208     "," 1,155     "," 3,354     ", 2.78     , 2.74     , 2.81     ,
CONSTANTA," 5,656     "," 2,906     "," 2,750     "," 1,398     "," 4,258     ", 2.78     , 2.74     , 2.81     ,
COVASNA," 2,611     "," 1,170     "," 1,441     ", 345     ," 2,266     ", 2.78     , 2.74     , 2.81     ,
DAMBOVITA," 6,613     "," 3,134     "," 3,479     ", 858     ," 5,755     ", 2.78     , 2.74     , 2.81     ,
DOLJ," 18,278     "," 7,593     "," 10,685     "," 1,828     "," 16,450     ", 2.78     , 2.74     , 2.81     ,
GALATI," 10,823     "," 4,707     "," 6,116     "," 1,119     "," 9,704     ", 2.78     , 2.74     , 2.81     ,
GIURGIU," 1,783     "," 1,023     ", 760     , 338     ," 1,445     ", 2.78     , 2.74     , 2.81     ,
GORJ," 4,693     "," 2,235     "," 2,458     "," 1,278     "," 3,415     ", 2.78     , 2.74     , 2.81     ,
HARGHITA," 4,910     "," 2,182     "," 2,728     ", 965     ," 3,945     ", 2.78     , 2.74     , 2.81     ,
HUNEDOARA," 5,614     "," 2,886     "," 2,728     "," 2,439     "," 3,175     ", 2.78     , 2.74     , 2.81     ,
IALOMITA," 4,570     "," 2,064     "," 2,506     ", 749     ," 3,821     ", 2.78     , 2.74     , 2.81     ,
IASI," 8,545     "," 3,759     "," 4,786     ", 864     ," 7,681     ", 2.78     , 2.74     , 2.81     ,
ILFOV, 913     , 479     , 434     , 281     , 632     , 2.78     , 2.74     , 2.81     ,
MARAMURES," 6,394     "," 3,240     "," 3,154     "," 1,319     "," 5,075     ", 2.78     , 2.74     , 2.81     ,
MEHEDINTI," 7,013     "," 2,790     "," 4,223     ", 934     ," 6,079     ", 2.78     , 2.74     , 2.81     ,
Municipiul  BUCURESTI," 15,525     "," 8,294     "," 7,231     "," 1,864     "," 13,661     ", 2.78     , 2.74     , 2.81     ,
MURES," 6,043     "," 2,658     "," 3,385     ", 858     ," 5,185     ", 2.78     , 2.74     , 2.81     ,
NEAMT," 7,274     "," 3,172     "," 4,102     "," 1,181     "," 6,093     ", 2.78     , 2.74     , 2.81     ,
OLT," 8,691     "," 3,739     "," 4,952     ", 903     ," 7,788     ", 2.78     , 2.74     , 2.81     ,
PRAHOVA," 6,444     "," 3,104     "," 3,340     "," 2,027     "," 4,417     ", 2.78     , 2.74     , 2.81     ,
SALAJ," 4,119     "," 1,754     "," 2,365     ", 700     ," 3,419     ", 2.78     , 2.74     , 2.81     ,
SATU-MARE," 3,364     "," 1,505     "," 1,859     ", 348     ," 3,016     ", 2.78     , 2.74     , 2.81     ,
SIBIU," 3,283     "," 1,542     "," 1,741     ", 937     ," 2,346     ", 2.78     , 2.74     , 2.81     ,
SUCEAVA," 10,657     "," 4,630     "," 6,027     "," 2,466     "," 8,191     ", 2.78     , 2.74     , 2.81     ,
TELEORMAN," 9,570     "," 3,992     "," 5,578     "," 1,156     "," 8,414     ", 2.78     , 2.74     , 2.81     ,
TIMIS," 2,920     "," 1,600     "," 1,320     "," 1,490     "," 1,430     ", 2.78     , 2.74     , 2.81     ,
TULCEA," 2,430     "," 1,189     "," 1,241     ", 533     ," 1,897     ", 2.78     , 2.74     , 2.81     ,
VALCEA," 4,838     "," 2,358     "," 2,480     "," 1,565     "," 3,273     ", 2.78     , 2.74     , 2.81     ,
VASLUI," 10,151     "," 4,085     "," 6,066     ", 736     ," 9,415     ", 2.78     , 2.74     , 2.81     ,
