judet ,TOTAL ,Sub 25 ani,25 - 29 ani,30 - 39 ani,40 - 49 ani,50 - 55 ani,peste 55 ani
ALBA,5190,421,304,1041,1491,1000,933
ARAD,2234,221,120,307,639,460,487
ARGES,8096,567,422,1611,2353,1646,1497
BACAU,10983,915,652,2140,2149,2429,2698
BIHOR,4155,303,216,844,1240,829,723
BISTRITA NASAUD,3216,406,158,620,779,641,612
BOTOSANI,3132,199,100,461,925,633,814
BRAILA,4301,374,196,733,1245,711,1042
BRASOV,5113,522,313,1124,1318,907,929
BUZAU,10990,663,450,1858,3323,2134,2562
CALARASI,3012,267,112,647,820,533,633
CARAS-SEVERIN,3236,311,163,528,912,630,692
CLUJ,4479,417,269,881,1274,897,741
CONSTANTA,6763,479,272,1142,1874,1462,1534
COVASNA,2680,431,195,576,727,352,399
DAMBOVITA,6207,655,393,1052,1570,1156,1381
DOLJ,17131,1398,861,2962,4960,3399,3551
GALATI,10247,590,347,1463,3196,2253,2398
GIURGIU,1640,203,51,258,392,349,387
GORJ,4314,325,160,726,1229,861,1013
HARGHITA,4843,649,311,1151,1282,723,727
HUNEDOARA,5822,444,360,964,1871,1305,878
IALOMITA,3996,300,157,696,1122,788,933
IASI,7613,585,188,1062,2122,1554,2102
ILFOV,738,99,30,134,232,125,118
MARAMURES,4530,702,327,896,1248,773,584
MEHEDINTI,6923,475,224,1586,2427,1015,1196
MUNICIPIUL BUCURESTI,14996,176,1189,3693,4473,2949,2516
MURES,6094,883,425,1377,1577,924,908
NEAMT,7500,632,307,1273,2142,1547,1599
OLT,8318,609,304,1209,2490,1800,1906
PRAHOVA,6656,504,235,1145,2054,1500,1218
SALAJ,4226,517,304,946,1079,723,657
SATU-MARE,3834,439,245,922,1103,576,549
SIBIU,3688,434,253,685,1000,613,703
SUCEAVA,10389,1326,667,2010,2898,1626,1862
TELEORMAN,9304,714,472,1650,2587,1922,1959
TIMIS,2449,206,82,497,751,498,415
TULCEA,2800,313,222,461,775,586,443
VALCEA,4591,327,201,788,1360,1080,835
VASLUI ,9600,336,249,1380,3267,2043,2325
VRANCEA,4853,397,240,795,1326,987,1108
TOTAL,250882,20734,12746,46294,71602,48939,50567
