JUDET, Numar total someri , Numar total someri femei  , Numar total someri barbati  , Numar  someri indemnizati  , Numar someri neindemnizati ,  Rata somajului (%)  ,  Rata somajului Feminina (%)  ,  Rata somajului Masculina (%)  ,
ALBA ," 5,190     "," 2,360     "," 2,830     "," 2,001     "," 3,189     ", 3.09     , 3.05     , 3.12     ,
ARAD," 2,234     "," 1,153     "," 1,081     ", 911     ," 1,323     ", 1.04     , 1.20     , 0.91     ,
ARGES," 8,096     "," 3,925     "," 4,171     "," 2,608     "," 5,488     ", 3.12     , 3.20     , 3.05     ,
BACAU," 10,983     "," 4,520     "," 6,463     "," 1,821     "," 9,162     ", 5.18     , 4.96     , 5.35     ,
BIHOR," 4,155     "," 2,386     "," 1,769     "," 2,138     "," 2,017     ", 1.56     , 1.97     , 1.23     ,
BISTRITA NASAUD," 3,216     "," 1,593     "," 1,623     "," 1,452     "," 1,764     ", 2.49     , 2.79     , 2.25     ,
BOTOSANI," 3,132     "," 1,390     "," 1,742     ", 779     ," 2,353     ", 2.30     , 2.12     , 2.46     ,
BRAILA," 4,301     "," 1,793     "," 2,508     ", 664     ," 3,637     ", 3.50     , 3.24     , 3.71     ,
BRASOV," 5,113     "," 2,330     "," 2,783     "," 1,028     "," 4,085     ", 1.95     , 2.11     , 1.82     ,
BUZAU," 10,990     "," 4,433     "," 6,557     "," 1,234     "," 9,756     ", 6.40     , 5.56     , 7.13     ,
CALARASI," 3,012     "," 1,477     "," 1,535     ", 439     ," 2,573     ", 3.32     , 3.33     , 3.30     ,
CARA?-SEVERIN," 3,236     "," 1,466     "," 1,770     "," 1,023     "," 2,213     ", 3.03     , 3.16     , 2.93     ,
CLUJ," 4,479     "," 2,381     "," 2,098     "," 1,629     "," 2,850     ", 1.22     , 1.48     , 1.02     ,
CONSTANTA," 6,763     "," 4,247     "," 2,516     "," 3,289     "," 3,474     ", 2.31     , 3.38     , 1.51     ,
COVASNA," 2,680     "," 1,195     "," 1,485     ", 477     ," 2,203     ", 3.14     , 3.03     , 3.24     ,
DAMBOVITA," 6,207     "," 2,937     "," 3,270     ", 893     ," 5,314     ", 3.23     , 3.59     , 2.96     ,
DOLJ," 17,131     "," 7,145     "," 9,986     "," 1,992     "," 15,139     ", 6.44     , 6.02     , 6.77     ,
GALATI," 10,247     "," 4,367     "," 5,880     "," 1,464     "," 8,783     ", 5.39     , 5.03     , 5.69     ,
GIURGIU," 1,640     ", 873     , 767     , 386     ," 1,254     ", 2.02     , 2.30     , 1.77     ,
GORJ," 4,314     "," 2,096     "," 2,218     "," 1,522     "," 2,792     ", 3.18     , 3.40     , 2.99     ,
HARGHITA," 4,843     "," 2,167     "," 2,676     "," 1,222     "," 3,621     ", 3.60     , 3.65     , 3.55     ,
HUNEDOARA," 5,822     "," 3,159     "," 2,663     "," 2,832     "," 2,990     ", 3.38     , 3.85     , 2.96     ,
IALOMITA," 3,996     "," 1,795     "," 2,201     ", 878     ," 3,118     ", 4.27     , 4.18     , 4.35     ,
IASI," 7,613     "," 3,381     "," 4,232     ", 876     ," 6,737     ", 2.57     , 2.48     , 2.65     ,
ILFOV, 738     , 418     , 320     , 309     , 429     , 0.37     , 0.48     , 0.28     ,
MARAMURES," 4,530     "," 2,204     "," 2,326     "," 1,336     "," 3,194     ", 2.26     , 2.39     , 2.14     ,
