JUDET  ,"Total someri, din care: ",fara studii,invatamant primar ,invatamant gimnazial ,invatamant liceal,invatamant posticeal,invatamant profesional/arte si meserii,invatamant universitar
ALBA ,4875,594,688,1462,1010,48,799,274
ARAD,3255,348,535,530,1347,26,264,205
ARGES,7750,695,1803,2349,1366,97,1104,336
BACAU,10945,1648,1172,3766,1157,65,1181,1956
BIHOR,3441,184,643,620,1067,66,428,433
BISTRITA,3274,162,278,963,985,64,600,222
BOTOSANI,3726,160,1005,962,788,80,587,144
BRAILA,4389,698,1056,1561,442,46,445,141
BRASOV,5730,916,1318,1371,1127,51,626,321
BUZAU,11691,2225,2386,3713,1607,55,1576,129
CALARASI,3280,364,831,1063,585,26,356,55
CARAS,3398,538,392,704,1042,68,422,232
CLUJ,4750,861,640,946,1009,121,702,471
CONSTANTA,5791,927,337,1362,1873,92,794,406
COVASNA,2828,414,909,590,562,29,249,75
DAMBOVITA,6372,820,1219,1923,1290,114,784,222
DOLJ,18025,838,5823,4990,3971,94,1867,442
GALATI,11058,1035,2033,4256,1799,147,1425,363
GIURGIU,1734,222,234,524,551,12,131,60
GORJ,4731,282,271,1331,1506,136,867,338
HARGHITA,4855,1088,1077,857,1008,67,530,228
HUNEDOARA,5180,514,276,1154,1608,118,981,529
IALOMITA,4194,282,1019,1377,763,43,639,71
IASI,8877,611,1639,2827,1071,70,2307,352
ILFOV,849,90,235,128,254,4,65,73
MARAMURES,5753,133,1980,901,1539,126,696,378
MEHEDINTI,6961,0,1516,3353,1098,57,828,109
MUN. BUC.,15418,26,134,2631,5274,288,2772,4293
MURES,6006,1064,2018,1281,690,83,636,234
NEAMT,7577,1004,1140,2275,1184,85,1641,248
OLT,8761,1786,765,2820,1858,42,1375,115
PRAHOVA,6949,663,1295,1891,1432,103,1123,442
SALAJ,4244,275,1102,1031,1115,52,470,199
SATU M.,3378,379,1588,819,269,18,211,94
SIBIU,3229,343,885,758,590,27,383,243
SUCEAVA,11403,510,2296,2796,3252,159,1960,430
TELEORMAN,9309,372,1124,4969,1481,29,1233,101
TIMIS,3189,365,159,452,1119,69,516,509
TULCEA,2644,0,452,1297,530,0,315,50
VALCEA,5277,217,604,1248,2056,103,656,393
VASLUI,10309,426,1968,3788,995,36,3008,88
VRANCEA,5230,376,1309,1672,1140,62,523,148
Total general,260635,24455,48154,75311,55410,3078,38075,16152
