judet ,TOTAL ,Sub 25 ani,25 - 29 ani,30 - 39 ani,40 - 49 ani,50 - 55 ani,peste 55 ani
ALBA,4875,708,281,950,1265,811,860
ARAD,3255,1320,119,305,572,431,508
ARGES,7750,992,400,1398,2061,1441,1458
BACAU,10945,1421,584,1521,2767,2033,2619
BIHOR,3441,574,174,570,877,634,612
BISTRITA NASAUD,3274,521,188,537,814,601,613
BOTOSANI,3726,595,133,495,1007,663,833
BRAILA,4389,503,198,775,1251,642,1020
BRASOV,5730,1158,333,1113,1307,879,940
BUZAU,11691,1304,467,1928,3307,2092,2593
CALARASI,3280,498,135,629,821,539,658
CARAS-SEVERIN,3398,520,180,490,869,624,715
CLUJ,4750,782,245,860,1150,915,798
CONSTANTA,5791,1205,227,913,1327,951,1168
COVASNA,2828,779,179,532,612,336,390
DAMBOVITA,6372,1686,238,815,1278,1004,1351
DOLJ,18025,1861,898,3069,5208,3374,3615
GALATI,11058,1397,342,1512,3173,2122,2512
GIURGIU,1734,420,67,224,334,308,381
GORJ,4731,814,179,686,1170,800,1082
HARGHITA,4855,1149,306,971,1164,633,632
HUNEDOARA,5180,713,378,826,1488,985,790
IALOMITA,4194,508,167,670,1127,752,970
IASI,8877,1274,212,1224,2296,1674,2197
ILFOV,849,191,40,143,227,116,132
MARAMURES,5753,1889,313,840,1234,888,589
MEHEDINTI,6961,549,205,1587,2423,1005,1192
MUNICIPIUL BUCURESTI,15418,324,1200,3718,4575,2984,2617
MURES,6006,1095,391,1361,1511,756,892
NEAMT,7577,1182,328,1185,2010,1321,1551
OLT,8761,1148,321,1204,2469,1676,1943
PRAHOVA,6949,1045,247,1123,1927,1366,1241
SALAJ,4244,842,288,877,974,633,630
SATU-MARE,3378,510,209,790,925,459,485
SIBIU,3229,492,181,570,822,523,641
SUCEAVA,11403,2998,608,1846,2730,1435,1786
TELEORMAN,9309,1104,482,1578,2483,1813,1849
TIMIS,3189,528,190,532,794,580,565
TULCEA,2644,450,131,387,668,545,463
VALCEA,5277,1380,268,767,1219,909,734
VASLUI ,10309,678,288,1648,3443,2053,2199
VRANCEA,5230,920,239,768,1230,936,1137
TOTAL,260635,40027,12559,43937,68909,45242,49961
