judet ,TOTAL ,Sub 25 ani,25 - 29 ani,30 - 39 ani,40 - 49 ani,50 - 55 ani,peste 55 ani
ALBA,5194,786,317,1056,1331,837,867
ARAD,3211,1252,108,290,596,457,508
ARGES,7731,925,416,1482,2078,1444,1386
BACAU,10743,1200,536,1742,2820,2006,2439
BIHOR,3652,531,191,626,951,715,638
BISTRITA NASAUD,3225,540,188,603,712,579,603
BOTOSANI,3521,505,116,478,959,653,810
BRAILA,4286,479,218,748,1202,648,991
BRASOV,5540,1022,330,1128,1298,852,910
BUZAU,11343,1173,455,1893,3253,2043,2526
CALARASI,3246,465,131,645,833,548,624
CARAS-SEVERIN,3369,497,164,520,881,638,669
CLUJ,4616,655,270,861,1118,902,810
CONSTANTA,7536,1185,273,1178,1936,1447,1517
COVASNA,2819,734,195,536,648,324,382
DAMBOVITA,6678,1740,256,856,1348,1030,1448
DOLJ,17816,1777,915,3075,5142,3381,3526
GALATI,10836,1359,375,1511,3122,2116,2353
GIURGIU,1683,335,53,241,354,328,372
GORJ,4725,671,175,738,1217,837,1087
HARGHITA,5120,1046,331,1114,1251,702,676
HUNEDOARA,5183,655,390,888,1368,1007,875
IALOMITA,4094,448,164,693,1096,756,937
IASI,8242,1240,196,1098,2130,1518,2060
ILFOV,817,184,39,131,210,121,132
MARAMURES,5611,1597,296,805,1359,892,662
MEHEDINTI,6917,574,193,1571,2406,991,1182
MUNICIPIUL BUCURESTI,15300,258,1180,3751,4534,2992,2585
MURES,6356,1154,460,1401,1603,830,908
NEAMT,7282,1046,310,1160,1927,1353,1486
OLT,8666,1084,308,1178,2486,1691,1919
PRAHOVA,7185,921,253,1156,2071,1514,1270
SALAJ,4274,823,313,901,975,637,625
SATU-MARE,3478,481,231,831,965,482,488
SIBIU,3422,540,210,598,875,539,660
SUCEAVA,11189,2901,603,1846,2623,1438,1778
TELEORMAN,8988,1102,479,1524,2334,1718,1831
TIMIS,2832,361,178,515,789,517,472
TULCEA,2815,958,148,447,670,383,209
VALCEA,4888,875,196,783,1267,975,792
VASLUI ,9868,657,295,1579,3292,1975,2070
VRANCEA,5091,791,228,766,1257,944,1105
TOTAL,259388,37527,12683,44943,69287,45760,49188
