JUDET  ,"Total someri, din care: ",fara studii,invatamant primar ,invatamant gimnazial ,invatamant liceal,invatamant posticeal,invatamant profesional/arte si meserii,invatamant universitar
ALBA ,5735,368,886,1784,1324,51,960,362
ARAD,2335,551,285,680,378,33,253,155
ARGES,8375,418,2226,2872,1180,91,1307,281
BACAU,5233,294,818,1997,850,58,986,230
BIHOR,3469,318,794,895,666,68,413,315
BISTRITA,4384,252,481,1534,1063,66,763,225
BOTOSANI,3792,137,684,1597,590,51,643,90
BRAILA,3756,524,867,1351,360,51,479,124
BRASOV,6368,607,1516,2706,679,42,503,315
BUZAU,8112,875,1953,2956,924,50,1245,109
CALARASI,4103,497,1036,1257,689,46,479,99
CARAS,2652,236,427,740,687,57,350,155
CLUJ,4509,691,808,1153,704,100,648,405
CONSTANTA,6056,739,799,1681,1479,92,962,304
COVASNA,3369,455,1304,743,467,26,304,70
DAMBOVITA,4651,343,1040,1576,922,54,559,157
DOLJ,16868,1093,5071,5810,2645,107,1813,329
GALATI,8825,1062,1931,3485,1010,57,1025,255
GIURGIU,2156,262,420,856,422,15,149,32
GORJ,3960,0,524,1195,1057,77,912,195
HARGHITA,5246,971,1533,1195,749,67,591,140
HUNEDOARA,7275,518,934,1997,2010,127,1129,560
IALOMITA,4066,416,870,1541,502,31,664,42
IASI,8245,448,1795,2863,792,60,1998,289
ILFOV,1001,90,253,298,167,4,98,91
MARAMURES,4494,201,1029,1254,857,87,778,288
MEHEDINTI,6188,565,1075,2531,1182,60,662,113
MUN. BUC.,10802,24,71,1834,3492,236,2017,3128
MURES,6834,750,2403,1890,822,62,730,177
NEAMT,6396,453,911,2232,929,75,1554,242
OLT,7370,593,797,2960,1461,94,1323,142
PRAHOVA,6331,425,1059,1839,1217,87,1363,341
SALAJ,5123,581,1567,1460,643,55,670,147
SATU M.,5360,848,2081,1639,340,26,346,80
SIBIU,4283,363,1484,1090,527,38,543,238
SUCEAVA,11571,992,2530,4169,1567,123,1867,323
TELEORMAN,8058,624,1249,3719,1391,48,906,121
TIMIS,2615,374,262,554,624,47,410,344
TULCEA,2597,0,310,1184,573,0,450,80
VALCEA,5421,155,594,1486,1593,96,1235,262
VASLUI,8864,378,1946,4090,993,47,1339,71
VRANCEA,2967,183,826,1096,443,38,297,84
Total general,239815,19674,49449,79789,40970,2700,35723,11510
