JUDET, Numar total someri , Numar total someri femei  , Numar total someri barbati  , Numar  someri indemnizati  , Numar someri neindemnizati ,  Rata somajului (%)  ,  Rata somajului Feminina (%)  ,  Rata somajului Masculina (%)  ,
ALBA ," 5,735     "," 2,781     "," 2,954     "," 2,046     "," 3,689     ", 3.64     , 3.91     , 3.41     ,
ARAD," 2,335     "," 1,197     "," 1,138     ", 932     ," 1,403     ", 1.20     , 1.44     , 1.02     ,
ARGES," 8,375     "," 3,979     "," 4,396     "," 1,930     "," 6,445     ", 3.59     , 3.68     , 3.51     ,
BACAU," 5,233     "," 2,229     "," 3,004     "," 1,644     "," 3,589     ", 2.76     , 2.76     , 2.75     ,
BIHOR," 3,469     "," 1,884     "," 1,585     "," 1,662     "," 1,807     ", 1.46     , 1.80     , 1.19     ,
BISTRITA NASAUD," 4,384     "," 2,135     "," 2,249     "," 2,196     "," 2,188     ", 3.79     , 4.34     , 3.38     ,
BOTOSANI," 3,792     "," 1,799     "," 1,993     ", 876     ," 2,916     ", 3.40     , 3.53     , 3.29     ,
BRAILA," 3,756     "," 1,590     "," 2,166     ", 725     ," 3,031     ", 3.41     , 3.14     , 3.64     ,
BRASOV," 6,368     "," 3,129     "," 3,239     "," 1,007     "," 5,361     ", 2.45     , 2.75     , 2.22     ,
BUZAU," 8,112     "," 3,405     "," 4,707     "," 1,306     "," 6,806     ", 5.58     , 5.42     , 5.70     ,
CALARASI," 4,103     "," 1,979     "," 2,124     ", 539     ," 3,564     ", 5.38     , 5.74     , 5.08     ,
CARA?-SEVERIN," 2,652     "," 1,235     "," 1,417     "," 1,085     "," 1,567     ", 2.85     , 3.11     , 2.65     ,
CLUJ," 4,509     "," 2,303     "," 2,206     "," 1,383     "," 3,126     ", 1.25     , 1.43     , 1.10     ,
CONSTANTA," 6,056     "," 3,998     "," 2,058     "," 2,882     "," 3,174     ", 2.16     , 3.32     , 1.29     ,
COVASNA," 3,369     "," 1,581     "," 1,788     ", 595     ," 2,774     ", 4.20     , 4.40     , 4.03     ,
DAMBOVITA," 4,651     "," 2,450     "," 2,201     "," 1,181     "," 3,470     ", 2.73     , 3.51     , 2.19     ,
DOLJ," 16,868     "," 7,344     "," 9,524     "," 1,905     "," 14,963     ", 7.31     , 7.23     , 7.37     ,
