JUDET ,NUMAR TOTAL SOMERI ,NUMAR TOTAL SOMERI FEMEI  ,NUMAR TOTAL SOMERI BARBATI ,NUMAR TOTAL SOMERI DIN MEDIUL URBAN ,NUMAR SOMERI FEMEI DIN MEDIUL URBAN ,NUMAR SOMERI BARBATI DIN MEDIUL URBAN ,NUMAR TOTAL SOMERI DIN MEDIUL RURAL ,NUMAR SOMERI FEMEI DIN MEDIUL RURAL ,NUMAR SOMERI BARBATI DIN MEDIUL RURAL ,
 ALBA,5064,2364,2700,1842,983,859,3222,1381,1841,
 ARAD,3193,1685,1508,1428,775,653,1765,910,855,
 ARGES,7544,3563,3981,1322,727,595,6222,2836,3386,
 BACAU,10808,4456,6352,2394,917,1477,8414,3539,4875,
 BIHOR,3330,1815,1515,1165,684,481,2165,1131,1034,
 BISTRITA-NASAUD,3337,1763,1574,1049,615,434,2288,1148,1140,
 BOTOSANI,3633,1685,1948,1274,645,629,2359,1040,1319,
 BRAILA,4299,1774,2525,1092,541,551,3207,1233,1974,
 BRASOV,5631,2597,3034,1742,961,781,3889,1636,2253,
 BUZAU,11532,4860,6672,2151,1114,1037,9381,3746,5635,
 CALARASI,3309,1605,1704,804,412,392,2505,1193,1312,
 CARAS-SEVERIN,3389,1563,1826,1425,657,768,1964,906,1058,
 CLUJ,4599,2470,2129,2121,1317,804,2478,1153,1325,
 CONSTANTA,6836,4098,2738,3456,2296,1160,3380,1802,1578,
 COVASNA,2829,1302,1527,863,438,425,1966,864,1102,
 DAMBOVITA,6676,3250,3426,1119,595,524,5557,2655,2902,
 DOLJ,17887,7520,10367,2688,1437,1251,15199,6083,9116,
 GALATI,10624,4708,5916,2033,1109,924,8591,3599,4992,
 GIURGIU,1720,949,771,448,271,177,1272,678,594,
 GORJ,4721,2292,2429,1420,802,618,3301,1490,1811,
 HARGHITA,5111,2345,2766,1582,825,757,3529,1520,2009,
 HUNEDOARA,5040,2689,2351,3487,1929,1558,1553,760,793,
 IALOMITA,4023,1840,2183,1226,590,636,2797,1250,1547,
 IASI,8553,3934,4619,1382,763,619,7171,3171,4000,
 ILFOV,850,471,379,246,135,111,604,336,268,
 MARAMURES,5528,2852,2676,2529,1394,1135,2999,1458,1541,
 MEHEDINTI,6786,2926,3860,1646,785,861,5140,2141,2999,
 MURES,6248,2832,3416,1183,669,514,5065,2163,2902,
 NEAMT,7367,3247,4120,1218,626,592,6149,2621,3528,
 OLT,8738,3838,4900,1886,1016,870,6852,2822,4030,
 PRAHOVA,6914,3389,3525,2368,1273,1095,4546,2116,2430,
 SALAJ,4186,1848,2338,904,520,384,3282,1328,1954,
 SATU MARE,3446,1568,1878,685,358,327,2761,1210,1551,
 SIBIU,3399,1653,1746,1152,601,551,2247,1052,1195,
 SUCEAVA,11193,5284,5909,3072,1641,1431,8121,3643,4478,
 TELEORMAN,9078,3880,5198,2132,1048,1084,6946,2832,4114,
 TIMIS,2925,1635,1290,1389,814,575,1536,821,715,
 TULCEA,2654,1341,1313,737,419,318,1917,922,995,
 VALCEA,5189,2564,2625,1901,1005,896,3288,1559,1729,
 VASLUI,9913,4142,5771,1271,685,586,8642,3457,5185,
 VRANCEA,5241,2368,2873,1131,590,541,4110,1778,2332,
BUCURESTI,15394,8225,7169,15394,8225,7169,0,0,0,
Total TARA ,258737,121190,137547,80357,43207,37150,178380,77983,100397,
