judet ,TOTAL ,Sub 25 ani,25 - 29 ani,30 - 39 ani,40 - 49 ani,50 - 55 ani,peste 55 ani
ALBA,5064,764,312,1018,1266,837,867
ARAD,3193,1287,98,291,590,429,498
ARGES,7544,934,393,1401,2036,1396,1384
BACAU,10808,1306,596,1704,2632,2092,2478
BIHOR,3330,551,171,542,834,627,605
BISTRITA NASAUD,3337,575,203,596,767,590,606
BOTOSANI,3633,547,124,497,986,665,814
BRAILA,4299,497,202,757,1219,627,997
BRASOV,5631,1071,341,1117,1306,864,932
BUZAU,11532,1269,466,1920,3268,2063,2546
CALARASI,3309,481,131,657,831,551,658
CARAS-SEVERIN,3389,518,170,506,869,643,683
CLUJ,4599,700,253,857,1128,914,747
CONSTANTA,6836,1239,249,1085,1667,1240,1356
COVASNA,2829,752,184,533,642,323,395
DAMBOVITA,6676,1757,253,856,1342,1041,1427
DOLJ,17887,1846,923,3054,5151,3360,3553
GALATI,10624,1368,373,1469,3063,2037,2314
GIURGIU,1720,360,58,237,352,329,384
GORJ,4721,742,169,738,1210,813,1049
HARGHITA,5111,1123,320,1098,1205,685,680
HUNEDOARA,5040,662,392,788,1401,1007,790
IALOMITA,4023,480,160,654,1077,740,912
IASI,8553,1281,189,1147,2192,1609,2135
ILFOV,850,200,36,140,223,121,130
MARAMURES,5528,1646,312,781,1164,912,713
MEHEDINTI,6786,551,172,1551,2385,971,1156
MUNICIPIUL BUCURESTI,15394,302,1204,3760,4565,2985,2578
MURES,6248,1159,435,1354,1581,819,900
NEAMT,7367,1063,320,1168,1979,1340,1497
OLT,8738,1138,314,1204,2480,1691,1911
PRAHOVA,6914,981,251,1145,1951,1359,1227
SALAJ,4186,831,297,877,955,615,611
SATU-MARE,3446,498,228,817,940,461,502
SIBIU,3399,535,206,601,845,551,661
SUCEAVA,11193,2939,613,1841,2596,1427,1777
TELEORMAN,9078,1152,468,1607,2379,1719,1753
TIMIS,2925,516,150,468,754,559,478
TULCEA,2654,484,138,443,651,506,432
VALCEA,5189,1002,214,805,1354,993,821
VASLUI ,9913,650,292,1592,3320,1972,2087
VRANCEA,5241,878,235,788,1277,934,1129
TOTAL,258737,38635,12615,44464,68433,45417,49173
