judet ,TOTAL ,Sub 25 ani,25 - 29 ani,30 - 39 ani,40 - 49 ani,50 - 55 ani,peste 55 ani
ALBA,5040,591,340,939,1308,961,901
ARAD,2949,502,112,377,701,646,611
ARGES,8254,830,472,1421,2235,1774,1522
BACAU,6878,951,308,947,1646,1444,1582
BIHOR,3523,367,179,607,930,654,786
BISTRITA NASAUD,3930,593,191,553,952,851,790
BOTOSANI,2835,298,83,323,709,623,799
BRAILA,3643,348,141,540,972,720,922
BRASOV,5123,859,311,1004,1192,880,877
BUZAU,8138,753,309,1112,2231,1969,1764
CALARASI,2843,278,113,586,766,500,600
CARAS-SEVERIN,2392,299,83,322,597,544,547
CLUJ,4442,498,217,804,1120,924,879
CONSTANTA,6454,836,232,936,1624,1245,1581
COVASNA,3269,846,356,549,719,420,379
DAMBOVITA,4613,560,247,636,1081,1044,1045
DOLJ,15375,1573,835,2420,4139,3288,3120
GALATI,10626,1414,644,1289,2803,2300,2176
GIURGIU,1979,388,114,183,296,584,414
GORJ,4295,530,193,554,1064,1066,888
HARGHITA,4639,835,263,964,1167,744,666
HUNEDOARA,6231,573,311,910,1748,1615,1074
IALOMITA,4116,517,186,525,1066,794,1028
IASI,7987,783,275,1012,2162,1729,2026
ILFOV,767,54,23,118,239,187,146
MARAMURES,3711,739,236,614,862,685,575
MEHEDINTI,5641,415,191,790,1610,1300,1335
MUNICIPIUL BUCURESTI,14004,259,1329,3124,3864,3109,2319
MURES,5188,1096,355,914,1277,744,802
NEAMT,6582,736,254,914,1772,1419,1487
OLT,7659,861,435,1047,1920,1691,1705
PRAHOVA,5915,824,219,831,1551,1373,1117
SALAJ,4352,696,289,880,1098,711,678
SATU-MARE,4597,663,291,1040,1288,691,624
SIBIU,3672,479,220,711,976,591,695
SUCEAVA,10401,1920,600,1879,2575,1622,1805
TELEORMAN,8640,826,436,1390,2174,1955,1859
TIMIS,2592,371,117,351,693,548,512
TULCEA,2268,248,130,316,628,538,408
VALCEA,4830,605,259,679,1208,1124,955
VASLUI ,9153,506,267,1316,2827,2201,2036
VRANCEA,5211,660,250,831,1274,1092,1104
TOTAL,234757,27980,12416,37258,61064,48900,47139
