JUDET, Numar total someri , Numar total someri femei  , Numar total someri barbati  , Numar  someri indemnizati  , Numar someri neindemnizati ,  Rata somajului (%)  ,  Rata somajului Feminina (%)  ,  Rata somajului Masculina (%)  ,
ALBA ," 5,320     "," 2,567     "," 2,753     "," 1,960     "," 3,360     ", 3.37     , 3.61     , 3.18     ,
ARAD," 2,814     "," 1,454     "," 1,360     "," 1,054     "," 1,760     ", 1.45     , 1.75     , 1.22     ,
ARGES," 8,385     "," 3,910     "," 4,475     "," 1,813     "," 6,572     ", 3.59     , 3.61     , 3.57     ,
BACAU," 5,614     "," 2,390     "," 3,224     "," 1,478     "," 4,136     ", 2.96     , 2.96     , 2.96     ,
BIHOR," 4,475     "," 2,397     "," 2,078     "," 1,654     "," 2,821     ", 1.88     , 2.29     , 1.56     ,
BISTRITA NASAUD," 4,607     "," 2,199     "," 2,408     "," 2,269     "," 2,338     ", 3.98     , 4.47     , 3.62     ,
BOTOSANI," 4,788     "," 2,150     "," 2,638     ", 756     ," 4,032     ", 4.29     , 4.22     , 4.35     ,
BRAILA," 4,178     "," 1,756     "," 2,422     ", 675     ," 3,503     ", 3.79     , 3.47     , 4.07     ,
BRASOV," 6,467     "," 3,023     "," 3,444     ", 993     ," 5,474     ", 2.49     , 2.65     , 2.36     ,
BUZAU," 7,668     "," 3,229     "," 4,439     "," 1,165     "," 6,503     ", 5.27     , 5.14     , 5.37     ,
CALARASI," 4,080     "," 1,963     "," 2,117     ", 516     ," 3,564     ", 5.35     , 5.69     , 5.06     ,
CARA?-SEVERIN," 2,922     "," 1,363     "," 1,559     "," 1,110     "," 1,812     ", 3.14     , 3.43     , 2.91     ,
CLUJ," 4,904     "," 2,476     "," 2,428     "," 1,463     "," 3,441     ", 1.36     , 1.54     , 1.21     ,
CONSTANTA," 5,602     "," 3,609     "," 1,993     "," 2,553     "," 3,049     ", 2.00     , 2.99     , 1.25     ,
COVASNA," 3,234     "," 1,506     "," 1,728     ", 533     ," 2,701     ", 4.03     , 4.19     , 3.89     ,
DAMBOVITA," 4,985     "," 2,548     "," 2,437     "," 1,177     "," 3,808     ", 2.93     , 3.65     , 2.42     ,
DOLJ," 18,664     "," 8,376     "," 10,288     "," 1,809     "," 16,855     ", 8.09     , 8.24     , 7.96     ,
GALATI," 8,664     "," 3,641     "," 5,023     "," 1,056     "," 7,608     ", 5.15     , 4.80     , 5.43     ,
GIURGIU," 2,200     "," 1,143     "," 1,057     ", 357     ," 1,843     ", 3.30     , 3.93     , 2.82     ,
GORJ," 4,080     "," 2,061     "," 2,019     "," 1,124     "," 2,956     ", 3.34     , 3.72     , 3.02     ,
